step,train_loss,val_bpb
200,8.351313,2.205904
400,6.697579,1.916125
600,6.062235,1.806044
800,5.731840,1.734593
1000,5.508723,1.678592
1200,5.354272,1.637800
1400,5.220923,1.608407
1600,5.128038,1.582973
1800,5.057145,1.563223
2000,4.988428,1.545968
2200,4.940154,1.532478
2400,4.899015,1.520333
2600,4.847327,1.509451
2800,4.818595,1.499881
3000,4.792673,1.489747
3200,4.760161,1.481058
3400,4.734910,1.473883
3600,4.711890,1.466029
3800,4.691954,1.459965
4000,4.663207,1.452985
4200,4.641598,1.447413
4400,4.629363,1.441246
4600,4.608064,1.435744
4800,4.597716,1.432035
5000,4.576456,1.426746
5200,4.558121,1.422333
