step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498828,0.498990,0.497346,0.497364,0.497707,0.497526,0.497985,0.497612,0.502135,0.500754,0.498347,0.498337,0.500183,0.499694,0.499669,0.498582,0.502820,0.501888,0.497943,0.497937,0.499619,0.499360,0.500996,0.499564,0.501885,0.500751,0.498942,0.498936,0.501159,0.501053,0.502227,0.501265,0.500571,0.499933,0.499772,0.499755,0.501547,0.501486,0.502837,0.502441,0.500099,0.499721,0.499834,0.499857,0.501553,0.501531,0.503202,0.503118
400,0.496145,0.497886,0.488294,0.488567,0.488609,0.488199,0.492548,0.491147,0.511494,0.506492,0.491092,0.491105,0.497815,0.495788,0.496009,0.492549,0.513156,0.510305,0.490216,0.490150,0.496732,0.495173,0.496910,0.492961,0.510007,0.504953,0.494248,0.494134,0.504864,0.504174,0.503974,0.498654,0.505773,0.502057,0.496477,0.496492,0.505361,0.504405,0.509020,0.504816,0.500755,0.499126,0.497712,0.497810,0.506412,0.505741,0.512334,0.510511
600,0.491125,0.496821,0.474072,0.475286,0.474089,0.473385,0.486065,0.482589,0.526498,0.514495,0.478130,0.477836,0.493793,0.488412,0.491035,0.483585,0.530518,0.523168,0.477026,0.476479,0.493383,0.489406,0.491308,0.482319,0.523457,0.510180,0.483500,0.483116,0.508573,0.505975,0.504891,0.491882,0.518101,0.507665,0.488904,0.488995,0.509825,0.506407,0.515601,0.503320,0.504582,0.500941,0.492958,0.493209,0.513714,0.511255,0.523945,0.515987
800,0.484650,0.493551,0.454235,0.456318,0.455510,0.453553,0.480695,0.473831,0.546306,0.521829,0.460343,0.459342,0.489100,0.477473,0.487841,0.473835,0.554235,0.535692,0.457187,0.455813,0.488527,0.479607,0.487274,0.470368,0.542569,0.514353,0.468249,0.467053,0.513402,0.506758,0.507015,0.483654,0.536489,0.514387,0.477732,0.477976,0.515482,0.508463,0.524120,0.500356,0.510471,0.502747,0.487662,0.488115,0.524845,0.519051,0.538252,0.520025
1000,0.477435,0.487749,0.433980,0.436594,0.442624,0.435611,0.476509,0.463757,0.568595,0.526467,0.443685,0.441013,0.488170,0.464568,0.489106,0.463612,0.580840,0.546314,0.438198,0.434159,0.486948,0.469254,0.487738,0.456543,0.564833,0.517009,0.450887,0.448257,0.518428,0.505051,0.515641,0.475503,0.558825,0.521308,0.465790,0.465715,0.521427,0.508950,0.536149,0.495225,0.520447,0.506711,0.479431,0.480103,0.532974,0.523164,0.553377,0.521277
1200,0.471648,0.482397,0.417568,0.420261,0.439849,0.420403,0.473593,0.454083,0.588543,0.527085,0.431022,0.425633,0.494463,0.453763,0.492359,0.454035,0.605919,0.550087,0.422450,0.414152,0.489594,0.459499,0.492613,0.445196,0.588447,0.516266,0.437533,0.432770,0.520178,0.498522,0.524213,0.467662,0.580169,0.523656,0.454225,0.453656,0.527583,0.508822,0.547905,0.490691,0.530217,0.508991,0.472556,0.473235,0.543055,0.528382,0.566850,0.519982
1400,0.465752,0.475939,0.401456,0.403380,0.450108,0.412170,0.472209,0.444805,0.607034,0.525573,0.422816,0.412010,0.509705,0.447794,0.498429,0.446523,0.630000,0.548673,0.414995,0.397804,0.495482,0.449842,0.500914,0.433761,0.612139,0.512017,0.426084,0.418770,0.521907,0.490557,0.536855,0.460237,0.602624,0.526190,0.444345,0.442845,0.532092,0.507285,0.561175,0.485236,0.540181,0.511584,0.465180,0.465831,0.550017,0.530753,0.580842,0.517197
1600,0.460817,0.469858,0.387691,0.387967,0.465107,0.406478,0.470611,0.433724,0.622673,0.521169,0.416236,0.400544,0.526616,0.443113,0.507384,0.438244,0.652253,0.544531,0.411843,0.382900,0.506840,0.442339,0.515013,0.424747,0.633567,0.506779,0.415081,0.404829,0.520411,0.480415,0.551866,0.453158,0.621028,0.524548,0.433475,0.430680,0.535532,0.502845,0.576360,0.479286,0.551632,0.512908,0.455955,0.456616,0.556989,0.533098,0.594819,0.512040
1800,0.455972,0.463282,0.375914,0.373530,0.484430,0.404799,0.470254,0.423940,0.636985,0.515495,0.411226,0.388032,0.546910,0.440628,0.517802,0.432203,0.675222,0.538095,0.414857,0.370182,0.519586,0.434337,0.528492,0.417809,0.654603,0.500325,0.407234,0.392867,0.519409,0.469087,0.565906,0.447179,0.640120,0.523434,0.425296,0.420749,0.539243,0.498879,0.590061,0.473258,0.561287,0.511719,0.448367,0.449117,0.563221,0.534174,0.606695,0.506769
