step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.356941e+01,7.216157e-01,8.634926e-03
200,layers.0.qkv_lut.weights,3.607071e+00,3.434660e+00,9.522020e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.971874e-01,4.040241e-03,5.795058e-03
200,layers.0.qkv_lut.log_select_temp,6.966492e-01,3.502011e-03,5.026937e-03
200,layers.0.v_lut.weights,1.843942e+00,1.691170e+00,9.171493e-01
200,layers.0.v_lut.log_soft_score_temp,6.958085e-01,2.661288e-03,3.824742e-03
200,layers.0.v_lut.log_select_temp,6.958004e-01,2.653241e-03,3.813222e-03
200,layers.0.out_proj.weights,3.199881e+00,2.989397e+00,9.342214e-01
200,layers.0.out_proj.log_soft_score_temp,6.963155e-01,3.168285e-03,4.550071e-03
200,layers.0.out_proj.log_select_temp,6.966373e-01,3.490090e-03,5.009910e-03
200,layers.0.residual_lut.weights,2.528352e+00,2.319089e+00,9.172338e-01
200,layers.0.residual_lut.log_soft_score_temp,6.958783e-01,2.731144e-03,3.924744e-03
200,layers.0.residual_lut.log_select_temp,6.963410e-01,3.193796e-03,4.586540e-03
200,layers.0.q_norm.weight,8.023537e+00,2.623750e-02,3.270067e-03
200,layers.0.q_norm.bias,1.190405e-02,1.190405e-02,1.000000e+00
200,layers.0.k_norm.weight,8.022761e+00,2.523974e-02,3.146017e-03
200,layers.0.k_norm.bias,1.201659e-02,1.201659e-02,1.000000e+00
200,layers.0.ln_pre.weight,8.005548e+00,7.977013e-03,9.964355e-04
200,layers.0.ln_pre.bias,4.390248e-03,4.390248e-03,1.000000e+00
200,layers.0.ln_post.weight,8.005252e+00,6.406156e-03,8.002441e-04
200,layers.0.ln_post.bias,1.208204e-03,1.208204e-03,1.000000e+00
200,layers.1.qkv_lut.weights,3.560640e+00,3.395161e+00,9.535256e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.907240e-01,2.423167e-03,3.508155e-03
200,layers.1.qkv_lut.log_select_temp,6.923622e-01,7.849932e-04,1.133790e-03
200,layers.1.v_lut.weights,1.895957e+00,1.751504e+00,9.238097e-01
200,layers.1.v_lut.log_soft_score_temp,6.965879e-01,3.440678e-03,4.939331e-03
200,layers.1.v_lut.log_select_temp,6.965145e-01,3.367364e-03,4.834593e-03
200,layers.1.out_proj.weights,2.924306e+00,2.683946e+00,9.178060e-01
200,layers.1.out_proj.log_soft_score_temp,6.944871e-01,1.339912e-03,1.929355e-03
200,layers.1.out_proj.log_select_temp,6.950216e-01,1.874387e-03,2.696876e-03
200,layers.1.residual_lut.weights,2.331925e+00,2.104145e+00,9.023212e-01
