step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.357726e+01,8.076197e-01,9.663152e-03
200,layers.0.qkv_lut.weights,3.503070e+00,3.321004e+00,9.480265e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.939480e-01,8.007884e-04,1.153960e-03
200,layers.0.qkv_lut.log_select_temp,6.937960e-01,6.487966e-04,9.351403e-04
200,layers.0.v_lut.weights,1.752756e+00,1.595167e+00,9.100906e-01
200,layers.0.v_lut.log_soft_score_temp,6.940610e-01,9.138584e-04,1.316683e-03
200,layers.0.v_lut.log_select_temp,6.940526e-01,9.054542e-04,1.304590e-03
200,layers.0.out_proj.weights,3.537464e+00,3.342794e+00,9.449691e-01
200,layers.0.out_proj.log_soft_score_temp,6.937820e-01,6.348491e-04,9.150555e-04
200,layers.0.out_proj.log_select_temp,6.938631e-01,7.159114e-04,1.031776e-03
200,layers.0.residual_lut.weights,3.332457e+00,3.171740e+00,9.517721e-01
200,layers.0.residual_lut.log_soft_score_temp,6.981030e-01,4.955769e-03,7.098908e-03
200,layers.0.residual_lut.log_select_temp,6.977859e-01,4.638731e-03,6.647786e-03
200,layers.0.q_norm.weight,8.007926e+00,9.968904e-03,1.244880e-03
200,layers.0.q_norm.bias,8.417276e-03,8.417276e-03,1.000000e+00
200,layers.0.k_norm.weight,8.007800e+00,9.761279e-03,1.218971e-03
200,layers.0.k_norm.bias,9.557601e-03,9.557601e-03,1.000000e+00
200,layers.0.ln_pre.weight,8.003081e+00,6.009057e-03,7.508429e-04
200,layers.0.ln_pre.bias,4.516037e-03,4.516037e-03,1.000000e+00
200,layers.0.ln_post.weight,8.013236e+00,1.407386e-02,1.756327e-03
200,layers.0.ln_post.bias,5.352779e-03,5.352779e-03,1.000000e+00
200,layers.1.qkv_lut.weights,3.337668e+00,3.159267e+00,9.465494e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.940639e-01,9.167194e-04,1.320800e-03
200,layers.1.qkv_lut.log_select_temp,6.940933e-01,9.461641e-04,1.363166e-03
200,layers.1.v_lut.weights,1.835190e+00,1.686479e+00,9.189669e-01
200,layers.1.v_lut.log_soft_score_temp,6.940453e-01,8.981228e-04,1.294041e-03
200,layers.1.v_lut.log_select_temp,6.938049e-01,6.576777e-04,9.479289e-04
200,layers.1.out_proj.weights,3.307812e+00,3.098989e+00,9.368696e-01
200,layers.1.out_proj.log_soft_score_temp,6.923416e-01,8.055568e-04,1.163525e-03
200,layers.1.out_proj.log_select_temp,6.926713e-01,4.758835e-04,6.870264e-04
200,layers.1.residual_lut.weights,2.574868e+00,2.363395e+00,9.178704e-01
200,layers.1.residual_lut.log_soft_score_temp,6.966519e-01,3.504753e-03,5.030852e-03
200,layers.1.residual_lut.log_select_temp,6.961697e-01,3.022552e-03,4.341688e-03
200,layers.1.q_norm.weight,8.008112e+00,1.403097e-02,1.752094e-03
200,layers.1.q_norm.bias,1.011249e-02,1.011249e-02,1.000000e+00
200,layers.1.k_norm.weight,8.007116e+00,1.321170e-02,1.649995e-03
200,layers.1.k_norm.bias,1.289117e-02,1.289117e-02,1.000000e+00
200,layers.1.ln_pre.weight,8.000981e+00,2.700400e-03,3.375086e-04
200,layers.1.ln_pre.bias,2.292167e-03,2.292167e-03,1.000000e+00
200,layers.1.ln_post.weight,8.008391e+00,9.160048e-03,1.143806e-03
200,layers.1.ln_post.bias,5.359240e-03,5.359240e-03,1.000000e+00
200,layers.2.qkv_lut.weights,3.119498e+00,2.925016e+00,9.376559e-01
200,layers.2.qkv_lut.log_soft_score_temp,6.939350e-01,7.878542e-04,1.135343e-03
200,layers.2.qkv_lut.log_select_temp,6.938782e-01,7.310510e-04,1.053572e-03
200,layers.2.v_lut.weights,1.703583e+00,1.542819e+00,9.056314e-01
200,layers.2.v_lut.log_soft_score_temp,6.940335e-01,8.863211e-04,1.277058e-03
200,layers.2.v_lut.log_select_temp,6.938301e-01,6.828904e-04,9.842329e-04
200,layers.2.out_proj.weights,3.258856e+00,3.042310e+00,9.335517e-01
200,layers.2.out_proj.log_soft_score_temp,6.928370e-01,3.101826e-04,4.476992e-04
200,layers.2.out_proj.log_select_temp,6.929997e-01,1.474619e-04,2.127878e-04
200,layers.2.residual_lut.weights,2.367554e+00,2.135729e+00,9.020825e-01
200,layers.2.residual_lut.log_soft_score_temp,6.955132e-01,2.366006e-03,3.401814e-03
200,layers.2.residual_lut.log_select_temp,6.951474e-01,2.000213e-03,2.877394e-03
200,layers.2.q_norm.weight,8.002637e+00,8.060740e-03,1.007261e-03
200,layers.2.q_norm.bias,6.297242e-03,6.297242e-03,1.000000e+00
200,layers.2.k_norm.weight,8.002205e+00,7.648024e-03,9.557396e-04
200,layers.2.k_norm.bias,9.761607e-03,9.761607e-03,1.000000e+00
200,layers.2.ln_pre.weight,8.000252e+00,2.004899e-03,2.506045e-04
200,layers.2.ln_pre.bias,1.772902e-03,1.772902e-03,1.000000e+00
