step,param_name,weight_norm,delta_norm,rel_delta
100,tok_emb_E.weight,8.490632e+01,1.518530e+01,1.788476e-01
100,layers.0.qkv_lut.weights,1.593225e+01,1.589562e+01,9.977014e-01
100,layers.0.qkv_lut.log_soft_score_temp,7.271193e-01,3.397214e-02,4.672155e-02
100,layers.0.qkv_lut.log_select_temp,7.236079e-01,3.046072e-02,4.209561e-02
100,layers.0.v_lut.weights,7.655295e+00,7.619132e+00,9.952760e-01
100,layers.0.v_lut.log_soft_score_temp,6.914144e-01,1.732767e-03,2.506119e-03
100,layers.0.v_lut.log_select_temp,6.918148e-01,1.332343e-03,1.925866e-03
100,layers.0.out_proj.weights,1.505923e+01,1.501378e+01,9.969824e-01
100,layers.0.out_proj.log_soft_score_temp,6.852460e-01,7.901192e-03,1.153045e-02
100,layers.0.out_proj.log_select_temp,6.853031e-01,7.844090e-03,1.144616e-02
100,layers.0.residual_lut.weights,1.215980e+01,1.209837e+01,9.949479e-01
100,layers.0.residual_lut.log_soft_score_temp,6.926277e-01,5.195141e-04,7.500626e-04
100,layers.0.residual_lut.log_select_temp,6.925939e-01,5.533099e-04,7.988952e-04
100,layers.0.q_norm.weight,8.008563e+00,5.906041e-02,7.374658e-03
100,layers.0.q_norm.bias,4.022243e-02,4.022243e-02,1.000000e+00
100,layers.0.k_norm.weight,8.004943e+00,5.484018e-02,6.850790e-03
100,layers.0.k_norm.bias,4.813743e-02,4.813743e-02,1.000000e+00
100,layers.0.ln_pre.weight,8.063055e+00,8.231602e-02,1.020904e-02
100,layers.0.ln_pre.bias,3.257328e-02,3.257328e-02,1.000000e+00
100,layers.0.ln_post.weight,7.989341e+00,4.653621e-02,5.824787e-03
100,layers.0.ln_post.bias,3.108121e-02,3.108121e-02,1.000000e+00
100,layers.1.qkv_lut.weights,1.253675e+01,1.249004e+01,9.962749e-01
100,layers.1.qkv_lut.log_soft_score_temp,6.815616e-01,1.158553e-02,1.699851e-02
100,layers.1.qkv_lut.log_select_temp,6.840554e-01,9.091735e-03,1.329093e-02
100,layers.1.v_lut.weights,8.510401e+00,8.479112e+00,9.963234e-01
100,layers.1.v_lut.log_soft_score_temp,6.893615e-01,3.785670e-03,5.491560e-03
100,layers.1.v_lut.log_select_temp,6.893858e-01,3.761351e-03,5.456090e-03
100,layers.1.out_proj.weights,1.396239e+01,1.391262e+01,9.964349e-01
100,layers.1.out_proj.log_soft_score_temp,6.837283e-01,9.418845e-03,1.377571e-02
100,layers.1.out_proj.log_select_temp,6.841158e-01,9.031355e-03,1.320150e-02
100,layers.1.residual_lut.weights,1.200776e+01,1.194487e+01,9.947627e-01
100,layers.1.residual_lut.log_soft_score_temp,6.921014e-01,1.045823e-03,1.511084e-03
100,layers.1.residual_lut.log_select_temp,6.924545e-01,6.926656e-04,1.000305e-03
100,layers.1.q_norm.weight,7.942946e+00,7.865151e-02,9.902057e-03
100,layers.1.q_norm.bias,3.521156e-02,3.521156e-02,1.000000e+00
100,layers.1.k_norm.weight,7.939311e+00,8.355325e-02,1.052399e-02
100,layers.1.k_norm.bias,4.625380e-02,4.625380e-02,1.000000e+00
100,layers.1.ln_pre.weight,7.994827e+00,2.719285e-02,3.401306e-03
100,layers.1.ln_pre.bias,2.324839e-02,2.324839e-02,1.000000e+00
100,layers.1.ln_post.weight,7.989275e+00,4.640589e-02,5.808524e-03
100,layers.1.ln_post.bias,3.668740e-02,3.668740e-02,1.000000e+00
100,layers.2.qkv_lut.weights,1.232789e+01,1.228028e+01,9.961381e-01
