step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
100,0.499383,0.499450,0.499753,0.499752,0.499899,0.499893,0.499216,0.499334,0.500100,0.500117,0.500194,0.500185,0.500316,0.500320,0.499754,0.499816,0.500028,0.500050,0.500002,0.500041,0.499800,0.499742,0.499916,0.499936,0.500053,0.500103,0.500012,0.500036,0.499860,0.499819,0.499944,0.499953,0.500099,0.500151,0.500143,0.500175,0.500051,0.500042,0.499891,0.499904,0.500285,0.500327,0.500286,0.500341,0.500008,0.499977,0.499778,0.499806
200,0.496947,0.497346,0.498446,0.498453,0.497536,0.497212,0.497217,0.497765,0.497595,0.497345,0.497395,0.497835,0.499464,0.499303,0.499069,0.499420,0.499577,0.499784,0.500069,0.500241,0.501868,0.501671,0.500527,0.500435,0.499899,0.500207,0.500611,0.500948,0.501693,0.501544,0.500621,0.500538,0.501726,0.502348,0.502415,0.502795,0.504532,0.504666,0.500364,0.500318,0.502483,0.503371,0.503390,0.504020,0.504963,0.504972,0.499279,0.499483
300,0.494075,0.495041,0.496579,0.496602,0.491723,0.491516,0.495471,0.496327,0.492938,0.491297,0.489870,0.491076,0.491809,0.491670,0.498732,0.499163,0.494327,0.494726,0.497200,0.497724,0.504122,0.503896,0.502046,0.501613,0.496707,0.497120,0.498917,0.499798,0.506446,0.506461,0.501976,0.501695,0.498199,0.499196,0.500327,0.501518,0.510205,0.510422,0.500333,0.500377,0.500816,0.502401,0.503770,0.505237,0.511826,0.511920,0.496508,0.497318
400,0.490844,0.492494,0.494807,0.494872,0.485476,0.486092,0.494154,0.494686,0.489169,0.485021,0.482884,0.484675,0.483976,0.483866,0.499332,0.498510,0.487487,0.485588,0.491505,0.492449,0.503264,0.502701,0.503559,0.502428,0.492853,0.492283,0.495275,0.496737,0.509234,0.509359,0.502968,0.502246,0.493409,0.492674,0.496092,0.497986,0.514537,0.514658,0.499911,0.499801,0.497520,0.498956,0.501700,0.503500,0.516876,0.516584,0.494289,0.495110
500,0.487063,0.489376,0.493136,0.493278,0.478979,0.480390,0.493178,0.492798,0.485221,0.477410,0.474874,0.477213,0.476690,0.476135,0.502300,0.498466,0.481973,0.474789,0.485586,0.486802,0.498803,0.497566,0.506876,0.503771,0.489929,0.486449,0.490731,0.493124,0.508995,0.508925,0.504824,0.502765,0.489972,0.484911,0.490921,0.493560,0.517143,0.516877,0.500001,0.499104,0.493711,0.493753,0.498230,0.500325,0.517606,0.516869,0.492654,0.492943
600,0.482878,0.485780,0.491323,0.491559,0.472371,0.474132,0.492638,0.490756,0.480993,0.469422,0.466775,0.469618,0.470284,0.468803,0.507095,0.499423,0.480105,0.465660,0.479617,0.480889,0.491977,0.489829,0.511636,0.505875,0.487886,0.479458,0.485556,0.488900,0.507686,0.506856,0.507895,0.503724,0.488643,0.477747,0.485695,0.488885,0.517650,0.516717,0.500899,0.498561,0.490903,0.487302,0.494291,0.496872,0.516941,0.515690,0.491833,0.491182
700,0.478476,0.481867,0.489251,0.489648,0.467531,0.468986,0.492104,0.488124,0.478439,0.462549,0.459344,0.462447,0.465872,0.462723,0.513429,0.500857,0.481665,0.457285,0.473758,0.474865,0.484561,0.481385,0.516504,0.507623,0.489405,0.473085,0.480615,0.484781,0.504885,0.502782,0.511564,0.504647,0.489927,0.471224,0.481474,0.484928,0.516562,0.514507,0.502341,0.498021,0.490968,0.482327,0.490495,0.493560,0.514796,0.512948,0.491550,0.489616
800,0.473751,0.477539,0.486830,0.487463,0.463681,0.464047,0.492064,0.485516,0.476842,0.456440,0.452809,0.455728,0.462830,0.457307,0.520517,0.502699,0.485106,0.450648,0.469087,0.469974,0.477548,0.473101,0.521704,0.509434,0.492818,0.466784,0.475492,0.480239,0.502141,0.498430,0.516096,0.505865,0.492503,0.465228,0.477649,0.481149,0.514049,0.510767,0.504510,0.497723,0.491513,0.478290,0.487725,0.491077,0.512258,0.509636,0.491892,0.488241
900,0.468942,0.473033,0.484991,0.485840,0.461133,0.459646,0.492021,0.482485,0.476815,0.451192,0.447451,0.449977,0.461651,0.452749,0.528402,0.504782,0.490673,0.444420,0.464572,0.464993,0.470710,0.464839,0.527184,0.511303,0.497673,0.461268,0.471131,0.476069,0.499675,0.494275,0.521523,0.507363,0.496902,0.459838,0.474405,0.477718,0.509280,0.504780,0.507100,0.497455,0.493410,0.474932,0.485376,0.488955,0.509263,0.505834,0.492605,0.486953
1000,0.464104,0.468487,0.483108,0.484221,0.459631,0.455278,0.491856,0.479045,0.477274,0.445945,0.443288,0.445112,0.461723,0.448558,0.536198,0.506384,0.496937,0.439025,0.460452,0.460141,0.464991,0.457574,0.532603,0.513014,0.503288,0.456275,0.467585,0.472514,0.496914,0.489736,0.527034,0.508812,0.502040,0.455257,0.472058,0.474999,0.504512,0.498829,0.510094,0.497262,0.495883,0.471967,0.483484,0.487142,0.505746,0.501482,0.493680,0.485721
1100,0.459651,0.464246,0.481104,0.482527,0.458960,0.451390,0.491625,0.475236,0.478059,0.441826,0.440233,0.441170,0.462608,0.444925,0.544298,0.508245,0.503041,0.434295,0.457370,0.456174,0.460205,0.451134,0.538182,0.514774,0.508620,0.452096,0.464733,0.469483,0.494250,0.485169,0.532210,0.510062,0.507387,0.451106,0.469937,0.472339,0.499710,0.492836,0.513233,0.497124,0.498819,0.469483,0.481777,0.485435,0.502485,0.497426,0.495012,0.484625
1200,0.455700,0.460443,0.479304,0.481034,0.458781,0.448012,0.491164,0.471127,0.479087,0.437922,0.437833,0.437732,0.464536,0.441743,0.551422,0.508905,0.509111,0.430052,0.454266,0.452004,0.456552,0.445742,0.543100,0.516120,0.514114,0.448281,0.462011,0.466409,0.491822,0.480960,0.537336,0.511226,0.513118,0.447771,0.467703,0.469284,0.494999,0.487050,0.516405,0.496968,0.502389,0.467299,0.480076,0.483636,0.499215,0.493461,0.496498,0.483612
1300,0.451913,0.456766,0.477978,0.479977,0.459228,0.445025,0.490329,0.466866,0.480217,0.434548,0.436189,0.434846,0.467075,0.439030,0.557794,0.508324,0.514611,0.426364,0.452067,0.448579,0.453571,0.441096,0.548041,0.517283,0.519177,0.445240,0.460189,0.464174,0.489729,0.477202,0.542477,0.512281,0.517837,0.444990,0.466446,0.467249,0.490994,0.482184,0.520000,0.496751,0.505816,0.465363,0.478765,0.482154,0.495759,0.489391,0.498384,0.482481
1400,0.448801,0.453766,0.476839,0.479088,0.460029,0.442463,0.489298,0.463113,0.481288,0.431482,0.435244,0.432440,0.469703,0.436759,0.563274,0.506089,0.519503,0.423263,0.450632,0.445792,0.451224,0.437244,0.552121,0.517867,0.523625,0.442646,0.458946,0.462333,0.487859,0.474022,0.546875,0.512890,0.522175,0.442984,0.465481,0.465368,0.487334,0.477859,0.523220,0.496443,0.509133,0.463769,0.477665,0.480838,0.492713,0.485789,0.500152,0.481485
1500,0.446169,0.451250,0.475681,0.478183,0.460653,0.440220,0.487697,0.459661,0.482224,0.429091,0.434942,0.430714,0.472288,0.434956,0.567728,0.503309,0.523476,0.420856,0.449735,0.443475,0.449414,0.434132,0.555667,0.517942,0.527204,0.440472,0.457961,0.460800,0.486159,0.471289,0.550676,0.513101,0.525524,0.441167,0.464874,0.463994,0.484474,0.474414,0.526235,0.496007,0.511995,0.462305,0.476726,0.479666,0.489780,0.482503,0.502008,0.480460
1600,0.443999,0.449152,0.474713,0.477460,0.461078,0.438236,0.485864,0.456760,0.483028,0.427100,0.434896,0.429287,0.474418,0.433613,0.571289,0.500576,0.526713,0.419045,0.449223,0.441721,0.448097,0.431625,0.558564,0.517672,0.530286,0.438781,0.457308,0.459581,0.484838,0.469034,0.553827,0.513037,0.528549,0.439787,0.464570,0.462744,0.482237,0.471645,0.528799,0.495530,0.514540,0.461083,0.475917,0.478560,0.487513,0.479922,0.503657,0.479525
1700,0.442200,0.447406,0.473776,0.476769,0.461512,0.436612,0.484038,0.454403,0.483638,0.425461,0.435063,0.428125,0.476212,0.432575,0.574119,0.498126,0.529299,0.417484,0.449054,0.440200,0.446933,0.429595,0.560946,0.516918,0.532731,0.437390,0.456820,0.458498,0.483647,0.467133,0.556475,0.512614,0.530894,0.438525,0.464229,0.461478,0.480402,0.469462,0.531043,0.494870,0.516788,0.459953,0.475189,0.477526,0.485536,0.477761,0.505231,0.478568
1800,0.440756,0.446001,0.473073,0.476241,0.461614,0.435174,0.482367,0.452526,0.484011,0.424123,0.435304,0.427356,0.477746,0.431655,0.576323,0.496100,0.531331,0.416322,0.449037,0.439068,0.446090,0.427994,0.562907,0.515903,0.534713,0.436355,0.456545,0.457686,0.482745,0.465649,0.558614,0.511923,0.532808,0.437538,0.464083,0.460561,0.478835,0.467671,0.532957,0.494096,0.518660,0.459040,0.474639,0.476708,0.483839,0.475957,0.506672,0.477610
1900,0.439555,0.444843,0.472429,0.475770,0.461712,0.434116,0.480967,0.451003,0.484295,0.423036,0.435580,0.426717,0.479078,0.430922,0.578055,0.494437,0.533005,0.415387,0.449132,0.438116,0.445452,0.426706,0.564481,0.514885,0.536339,0.435452,0.456296,0.456936,0.481856,0.464347,0.560309,0.511185,0.534447,0.436715,0.464041,0.459686,0.477659,0.466262,0.534488,0.493405,0.520147,0.458248,0.474095,0.475927,0.482449,0.474494,0.507818,0.476844
2000,0.438472,0.443791,0.471868,0.475351,0.461687,0.433116,0.479666,0.449651,0.484565,0.422085,0.435867,0.426142,0.480265,0.430276,0.579570,0.492961,0.534503,0.414546,0.449272,0.437236,0.444820,0.425527,0.565909,0.513809,0.537800,0.434611,0.456109,0.456227,0.481100,0.463220,0.561885,0.510307,0.535905,0.436000,0.464034,0.458967,0.476582,0.464998,0.535930,0.492620,0.521511,0.457581,0.473684,0.475276,0.481229,0.473203,0.508974,0.476016
