step,param_name,weight_norm,delta_norm,rel_delta
100,tok_emb_E.weight,8.360378e+01,1.298412e+00,1.553055e-02
100,layers.0.qkv_lut.weights,4.145376e+00,4.002729e+00,9.655889e-01
100,layers.0.qkv_lut.log_soft_score_temp,6.943824e-01,1.235187e-03,1.778828e-03
100,layers.0.qkv_lut.log_select_temp,6.942488e-01,1.101613e-03,1.586770e-03
100,layers.0.v_lut.weights,1.835558e+00,1.686363e+00,9.187192e-01
100,layers.0.v_lut.log_soft_score_temp,6.936404e-01,4.932284e-04,7.110722e-04
100,layers.0.v_lut.log_select_temp,6.936432e-01,4.959702e-04,7.150222e-04
100,layers.0.out_proj.weights,3.665480e+00,3.472357e+00,9.473130e-01
100,layers.0.out_proj.log_soft_score_temp,6.933500e-01,2.028346e-04,2.925429e-04
100,layers.0.out_proj.log_select_temp,6.933609e-01,2.137423e-04,3.082698e-04
100,layers.0.residual_lut.weights,2.776024e+00,2.573429e+00,9.270197e-01
100,layers.0.residual_lut.log_soft_score_temp,6.947160e-01,1.568794e-03,2.258181e-03
100,layers.0.residual_lut.log_select_temp,6.944810e-01,1.333773e-03,1.920532e-03
100,layers.0.q_norm.weight,8.004786e+00,6.518342e-03,8.143056e-04
100,layers.0.q_norm.bias,5.740219e-03,5.740219e-03,1.000000e+00
100,layers.0.k_norm.weight,8.004971e+00,6.556715e-03,8.190805e-04
100,layers.0.k_norm.bias,6.377918e-03,6.377918e-03,1.000000e+00
100,layers.0.ln_pre.weight,8.005162e+00,6.988661e-03,8.730193e-04
100,layers.0.ln_pre.bias,4.633083e-03,4.633083e-03,1.000000e+00
100,layers.0.ln_post.weight,8.005619e+00,6.787340e-03,8.478220e-04
100,layers.0.ln_post.bias,3.170396e-03,3.170396e-03,1.000000e+00
100,layers.1.qkv_lut.weights,2.950334e+00,2.740672e+00,9.289361e-01
100,layers.1.qkv_lut.log_soft_score_temp,6.929471e-01,2.000332e-04,2.886702e-04
100,layers.1.qkv_lut.log_select_temp,6.929141e-01,2.330542e-04,3.363392e-04
100,layers.1.v_lut.weights,1.420793e+00,1.221758e+00,8.599129e-01
100,layers.1.v_lut.log_soft_score_temp,6.927586e-01,3.886223e-04,5.609780e-04
100,layers.1.v_lut.log_select_temp,6.927767e-01,3.705025e-04,5.348079e-04
100,layers.1.out_proj.weights,1.974347e+00,1.583540e+00,8.020573e-01
100,layers.1.out_proj.log_soft_score_temp,6.925154e-01,6.317496e-04,9.122535e-04
100,layers.1.out_proj.log_select_temp,6.925073e-01,6.398559e-04,9.239698e-04
100,layers.1.residual_lut.weights,2.187285e+00,1.924850e+00,8.800176e-01
100,layers.1.residual_lut.log_soft_score_temp,6.936400e-01,4.928112e-04,7.104711e-04
100,layers.1.residual_lut.log_select_temp,6.935143e-01,3.671646e-04,5.294261e-04
100,layers.1.q_norm.weight,8.001128e+00,6.362024e-03,7.951408e-04
100,layers.1.q_norm.bias,6.389071e-03,6.389071e-03,1.000000e+00
100,layers.1.k_norm.weight,8.000491e+00,5.739317e-03,7.173706e-04
100,layers.1.k_norm.bias,6.809405e-03,6.809405e-03,1.000000e+00
100,layers.1.ln_pre.weight,7.999581e+00,2.491687e-03,3.114772e-04
100,layers.1.ln_pre.bias,2.311993e-03,2.311993e-03,1.000000e+00
100,layers.1.ln_post.weight,8.001345e+00,3.539508e-03,4.423642e-04
100,layers.1.ln_post.bias,3.407208e-03,3.407208e-03,1.000000e+00
100,layers.2.qkv_lut.weights,2.351313e+00,2.084718e+00,8.866187e-01
100,layers.2.qkv_lut.log_soft_score_temp,6.930921e-01,5.507469e-05,7.946230e-05
100,layers.2.qkv_lut.log_select_temp,6.930468e-01,1.003742e-04,1.448304e-04
100,layers.2.v_lut.weights,1.271738e+00,1.044153e+00,8.210443e-01
100,layers.2.v_lut.log_soft_score_temp,6.931427e-01,4.470348e-06,6.449391e-06
100,layers.2.v_lut.log_select_temp,6.930645e-01,8.267164e-05,1.192842e-04
100,layers.2.out_proj.weights,1.624046e+00,1.115363e+00,6.867806e-01
100,layers.2.out_proj.log_soft_score_temp,6.935478e-01,4.006028e-04,5.776139e-04
