step,train_loss,val_bpb
200,8.553579,2.273009
400,7.021268,2.015810
600,6.419106,1.913728
800,6.122420,1.855431
1000,5.944856,1.806068
1200,5.795149,1.769729
1400,5.684561,1.741178
1600,5.592178,1.714173
1800,5.520991,1.699651
2000,5.443111,1.678664
2200,5.413318,1.665835
2400,5.371899,1.651416
2600,5.309674,1.637774
2800,5.280368,1.626000
3000,5.246122,1.616299
3200,5.204279,1.605102
3400,5.169273,1.595782
3600,5.146680,1.590382
3800,5.114076,1.579344
4000,5.091762,1.572802
4200,5.063753,1.566374
4400,5.048452,1.559789
4600,5.021940,1.552417
4800,5.028007,1.548096
5000,4.979838,1.539853
5200,4.965374,1.536896
5400,4.948286,1.532944
5600,4.917628,1.528546
5800,4.915576,1.524255
6000,4.901948,1.519859
6200,4.884892,1.516371
6400,4.882544,1.514169
6600,4.859792,1.510929
6800,4.858590,1.508231
7000,4.862143,1.505748
7200,4.848783,1.505036
7400,4.825861,1.502856
7600,4.816454,1.501537
7800,4.815775,1.499003
8000,4.823779,1.498315
