step,layer,module,mean_abs_f,cv_inside_entry,cv_inside_table,cv_inside_lut,frac_within_entry,frac_between_row,frac_between_table
200,0,qkv_lut,1.630171e-01,0.7193,0.7430,0.7439,0.9517,0.0467,0.0016
200,0,v_lut,1.520401e-01,0.6235,0.7469,0.7564,0.7499,0.2328,0.0172
200,0,out_proj,1.374333e-01,0.7147,0.7787,0.7811,0.8862,0.1100,0.0038
200,0,residual_lut,1.401028e-01,0.7289,0.7624,0.7629,0.9403,0.0589,0.0008
200,1,qkv_lut,1.595392e-01,0.7146,0.7638,0.7670,0.9031,0.0910,0.0058
200,1,v_lut,1.530201e-01,0.6348,0.7690,0.7727,0.7515,0.2426,0.0060
200,1,out_proj,1.321728e-01,0.7130,0.8059,0.8082,0.8457,0.1504,0.0039
200,1,residual_lut,1.417985e-01,0.7275,0.7594,0.7599,0.9426,0.0566,0.0009
200,2,qkv_lut,1.596164e-01,0.7160,0.7612,0.7630,0.9141,0.0826,0.0033
200,2,v_lut,1.531180e-01,0.6259,0.7687,0.7743,0.7308,0.2603,0.0089
200,2,out_proj,1.298024e-01,0.7183,0.7999,0.8023,0.8635,0.1323,0.0043
200,2,residual_lut,1.409115e-01,0.7278,0.7592,0.7598,0.9433,0.0556,0.0011
200,3,qkv_lut,1.655289e-01,0.7134,0.7556,0.7587,0.9161,0.0781,0.0058
200,3,v_lut,1.489162e-01,0.6216,0.7680,0.7731,0.7271,0.2644,0.0084
200,3,out_proj,1.221276e-01,0.7189,0.8424,0.8450,0.8103,0.1855,0.0042
200,3,residual_lut,1.414361e-01,0.7271,0.7621,0.7630,0.9366,0.0618,0.0016
200,4,qkv_lut,1.536479e-01,0.7201,0.7701,0.7750,0.9017,0.0897,0.0086
200,4,v_lut,1.425191e-01,0.6089,0.7797,0.7862,0.6775,0.3120,0.0104
200,4,out_proj,1.073890e-01,0.7166,0.9664,0.9740,0.6856,0.3033,0.0111
200,4,residual_lut,1.391371e-01,0.7260,0.7718,0.7737,0.9181,0.0787,0.0032
200,5,qkv_lut,1.579229e-01,0.7180,0.7750,0.7837,0.8835,0.1000,0.0165
200,5,v_lut,1.570520e-01,0.5868,0.7680,0.7768,0.6549,0.3293,0.0157
200,5,out_proj,9.704752e-02,0.7092,1.1243,1.1474,0.5704,0.4025,0.0271
200,5,residual_lut,1.368743e-01,0.7226,0.7838,0.7872,0.8918,0.1022,0.0060
400,0,qkv_lut,1.709482e-01,0.7130,0.7325,0.7328,0.9611,0.0384,0.0006
400,0,v_lut,1.643922e-01,0.6492,0.7338,0.7359,0.8325,0.1635,0.0041
400,0,out_proj,1.644641e-01,0.7117,0.7499,0.7511,0.9282,0.0697,0.0021
400,0,residual_lut,1.676318e-01,0.7231,0.7419,0.7422,0.9643,0.0352,0.0005
400,1,qkv_lut,1.721771e-01,0.7108,0.7434,0.7442,0.9365,0.0619,0.0016
400,1,v_lut,1.641396e-01,0.6606,0.7463,0.7480,0.8392,0.1579,0.0029
400,1,out_proj,1.610953e-01,0.7133,0.7583,0.7597,0.9174,0.0797,0.0029
400,1,residual_lut,1.670518e-01,0.7241,0.7381,0.7384,0.9732,0.0263,0.0005
400,2,qkv_lut,1.740279e-01,0.7104,0.7395,0.7402,0.9431,0.0555,0.0013
400,2,v_lut,1.636046e-01,0.6526,0.7508,0.7534,0.8128,0.1825,0.0046
400,2,out_proj,1.613950e-01,0.7127,0.7648,0.7665,0.9058,0.0909,0.0033
400,2,residual_lut,1.676522e-01,0.7238,0.7388,0.7391,0.9713,0.0282,0.0005
400,3,qkv_lut,1.724016e-01,0.7113,0.7422,0.7428,0.9399,0.0589,0.0012
400,3,v_lut,1.529627e-01,0.6423,0.7578,0.7605,0.7815,0.2139,0.0046
400,3,out_proj,1.613794e-01,0.7128,0.7693,0.7707,0.8991,0.0984,0.0025
400,3,residual_lut,1.687919e-01,0.7230,0.7380,0.7383,0.9711,0.0283,0.0006
400,4,qkv_lut,1.709398e-01,0.7101,0.7435,0.7460,0.9313,0.0641,0.0046
400,4,v_lut,1.543170e-01,0.6255,0.7581,0.7626,0.7424,0.2494,0.0081
400,4,out_proj,1.527249e-01,0.7081,0.8382,0.8437,0.7929,0.1966,0.0105
400,4,residual_lut,1.690751e-01,0.7221,0.7394,0.7398,0.9666,0.0325,0.0009
400,5,qkv_lut,1.780607e-01,0.7100,0.7434,0.7454,0.9323,0.0639,0.0038
400,5,v_lut,1.559888e-01,0.6336,0.7640,0.7700,0.7508,0.2392,0.0099
400,5,out_proj,1.415894e-01,0.7102,0.8953,0.9041,0.7350,0.2490,0.0160
400,5,residual_lut,1.668617e-01,0.7211,0.7479,0.7491,0.9487,0.0490,0.0023
600,0,qkv_lut,1.706892e-01,0.7123,0.7322,0.7325,0.9603,0.0390,0.0006
600,0,v_lut,1.649225e-01,0.6649,0.7347,0.7365,0.8659,0.1307,0.0034
600,0,out_proj,1.678268e-01,0.7126,0.7452,0.7462,0.9384,0.0597,0.0019
600,0,residual_lut,1.695612e-01,0.7212,0.7394,0.7396,0.9651,0.0345,0.0004
600,1,qkv_lut,1.705089e-01,0.7151,0.7428,0.7432,0.9468,0.0525,0.0008
600,1,v_lut,1.538004e-01,0.6806,0.7545,0.7580,0.8634,0.1299,0.0067
600,1,out_proj,1.636112e-01,0.7153,0.7559,0.7570,0.9258,0.0720,0.0021
600,1,residual_lut,1.701287e-01,0.7221,0.7362,0.7364,0.9727,0.0270,0.0003
600,2,qkv_lut,1.733842e-01,0.7123,0.7373,0.7380,0.9510,0.0478,0.0012
600,2,v_lut,1.559498e-01,0.6700,0.7473,0.7511,0.8523,0.1410,0.0067
