step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498662,0.498852,0.497514,0.497531,0.497952,0.497760,0.498247,0.497766,0.501834,0.500492,0.497998,0.497970,0.500013,0.499599,0.499685,0.498573,0.502220,0.500686,0.498041,0.498032,0.499377,0.499104,0.500915,0.499466,0.501748,0.500644,0.498693,0.498671,0.500574,0.500415,0.501823,0.500739,0.500539,0.499813,0.499637,0.499619,0.501205,0.501134,0.502629,0.502050,0.499493,0.499173,0.500024,0.500023,0.501200,0.501175,0.503016,0.502838
400,0.494858,0.496339,0.488605,0.488898,0.489294,0.488873,0.493698,0.491948,0.510358,0.505462,0.490117,0.490012,0.498109,0.496121,0.496564,0.493373,0.511934,0.507337,0.490906,0.490780,0.497963,0.496233,0.498249,0.494049,0.508719,0.503309,0.491571,0.491525,0.501298,0.500239,0.501524,0.496303,0.505544,0.501263,0.496944,0.497041,0.504614,0.503677,0.507803,0.502685,0.498603,0.497448,0.498104,0.498207,0.506926,0.506610,0.511793,0.509182
600,0.488367,0.492566,0.474260,0.475396,0.476358,0.475219,0.488932,0.485022,0.523229,0.511045,0.476552,0.476369,0.494141,0.489139,0.492649,0.485927,0.526791,0.514738,0.476647,0.476022,0.494500,0.489964,0.493315,0.484168,0.519731,0.505034,0.478321,0.478011,0.500018,0.496716,0.500602,0.488194,0.514090,0.502380,0.489750,0.489873,0.509571,0.506165,0.513384,0.500532,0.499445,0.495939,0.492232,0.492366,0.512980,0.511605,0.522167,0.512725
800,0.476594,0.483771,0.455043,0.457160,0.460794,0.457287,0.484586,0.476677,0.540133,0.514739,0.460132,0.459565,0.490636,0.477628,0.489120,0.476055,0.547364,0.520239,0.457056,0.455711,0.488649,0.478799,0.489090,0.471335,0.535925,0.505573,0.461149,0.460261,0.496990,0.489935,0.501821,0.477541,0.525239,0.501282,0.480829,0.480796,0.517257,0.509635,0.521474,0.497401,0.500760,0.493669,0.484549,0.484609,0.523446,0.519992,0.536004,0.515733
1000,0.464820,0.473709,0.434286,0.436954,0.452592,0.441354,0.482083,0.468263,0.557550,0.516708,0.444906,0.442887,0.495356,0.467695,0.488940,0.466175,0.568773,0.521617,0.438509,0.434431,0.488408,0.467777,0.489491,0.458723,0.554911,0.504044,0.443299,0.441020,0.493506,0.480569,0.509658,0.467553,0.540403,0.501346,0.470166,0.470070,0.524796,0.511548,0.535457,0.493964,0.504426,0.491919,0.475308,0.475359,0.532349,0.525208,0.552022,0.515268
1200,0.453352,0.462476,0.416225,0.418756,0.455620,0.429420,0.480401,0.459604,0.573023,0.515340,0.430221,0.425963,0.508279,0.460198,0.492540,0.457313,0.588931,0.519801,0.424250,0.415195,0.491871,0.456594,0.494515,0.447891,0.572534,0.500674,0.427138,0.422652,0.487027,0.467747,0.517956,0.458595,0.557152,0.499284,0.460226,0.459933,0.533412,0.513160,0.547698,0.488926,0.510528,0.491286,0.467552,0.467496,0.542231,0.530344,0.565869,0.512813
1400,0.443917,0.452141,0.401068,0.402729,0.468712,0.424146,0.478664,0.449876,0.586783,0.512323,0.420050,0.411689,0.525197,0.454315,0.497417,0.449334,0.607915,0.514705,0.416815,0.399517,0.502185,0.447530,0.504437,0.437815,0.591779,0.494036,0.415154,0.406930,0.482739,0.454839,0.529971,0.451237,0.572674,0.496807,0.450004,0.449301,0.540983,0.512442,0.563023,0.484130,0.515292,0.488452,0.460283,0.460104,0.549477,0.531982,0.581067,0.508399
1600,0.434884,0.441770,0.387226,0.387224,0.487742,0.419866,0.476408,0.438511,0.599265,0.507626,0.413007,0.399835,0.546324,0.451917,0.504546,0.441516,0.626233,0.508522,0.414001,0.385669,0.515413,0.438728,0.516340,0.428937,0.608674,0.487063,0.406624,0.393588,0.478374,0.440927,0.544104,0.444242,0.588419,0.492930,0.439845,0.438473,0.547527,0.511495,0.579614,0.479703,0.521659,0.486251,0.453018,0.452557,0.556553,0.533508,0.594220,0.502742
1800,0.426943,0.431489,0.375776,0.373227,0.508293,0.418906,0.476439,0.428939,0.609404,0.502307,0.409577,0.388258,0.569737,0.451447,0.512956,0.434721,0.642756,0.501402,0.417601,0.373977,0.532233,0.432031,0.530679,0.421429,0.627736,0.481610,0.400315,0.381220,0.478208,0.429322,0.558143,0.437774,0.604327,0.489232,0.430990,0.428390,0.554443,0.508551,0.592903,0.474417,0.530409,0.485492,0.446085,0.445414,0.562890,0.533247,0.606340,0.497006
2000,0.419505,0.421128,0.366607,0.360597,0.530908,0.420195,0.476824,0.419665,0.619420,0.497316,0.409312,0.379123,0.594874,0.451254,0.521481,0.428907,0.659165,0.495350,0.422670,0.364036,0.552444,0.426948,0.545220,0.415628,0.645962,0.474210,0.396577,0.369762,0.479095,0.416701,0.572158,0.431391,0.618612,0.484104,0.423013,0.419044,0.559902,0.504769,0.605126,0.469154,0.539241,0.483315,0.438513,0.437440,0.566184,0.530831,0.617043,0.490245
2200,0.413765,0.412078,0.360180,0.349373,0.555392,0.421913,0.477549,0.409786,0.630336,0.492853,0.411712,0.372285,0.621562,0.453466,0.531778,0.422664,0.674958,0.488936,0.430898,0.357045,0.572651,0.423698,0.564296,0.411263,0.663484,0.467678,0.396890,0.360652,0.482879,0.405510,0.590884,0.425939,0.635083,0.479970,0.415914,0.410107,0.566135,0.500898,0.621376,0.463683,0.548202,0.481195,0.431137,0.429813,0.567984,0.526358,0.628886,0.483008
2400,0.409462,0.403470,0.355883,0.338884,0.579635,0.424552,0.480009,0.401144,0.639433,0.485993,0.416669,0.365558,0.647910,0.452948,0.541789,0.417339,0.688225,0.481230,0.442299,0.351251,0.595914,0.423156,0.581269,0.406388,0.680822,0.460891,0.399995,0.352485,0.490927,0.396256,0.608408,0.420006,0.650795,0.474921,0.408827,0.400817,0.571609,0.496065,0.635456,0.458176,0.560218,0.481594,0.425394,0.423740,0.568796,0.520845,0.640548,0.475324
