step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.356782e+01,6.950507e-01,8.317206e-03
200,unembedder.weight,1.054196e+02,1.546592e+01,1.467082e-01
200,layers.0.qkv_lut.base.weights,4.047320e+00,3.901950e+00,9.640824e-01
200,layers.0.qkv_lut.base.log_soft_score_temp,6.988893e-01,5.742073e-03,8.215998e-03
200,layers.0.qkv_lut.base.log_select_temp,6.987134e-01,5.566239e-03,7.966413e-03
200,layers.0.qkv_lut.main.weights,1.185397e+00,1.089908e+00,9.194453e-01
200,layers.0.qkv_lut.main.log_soft_score_temp,6.953262e-01,2.179027e-03,3.133819e-03
200,layers.0.qkv_lut.main.log_select_temp,6.941985e-01,1.051307e-03,1.514418e-03
200,layers.0.v_lut.base.weights,2.939194e+00,2.847984e+00,9.689678e-01
200,layers.0.v_lut.base.log_soft_score_temp,6.970939e-01,3.946722e-03,5.661678e-03
200,layers.0.v_lut.base.log_select_temp,6.971203e-01,3.973126e-03,5.699341e-03
200,layers.0.v_lut.main.weights,9.519759e-01,8.967358e-01,9.419732e-01
200,layers.0.v_lut.main.log_soft_score_temp,6.965611e-01,3.413916e-03,4.901100e-03
200,layers.0.v_lut.main.log_select_temp,6.965477e-01,3.400505e-03,4.881941e-03
200,layers.0.out_proj.base.weights,6.189380e+00,6.075080e+00,9.815329e-01
200,layers.0.out_proj.base.log_soft_score_temp,6.987706e-01,5.623400e-03,8.047563e-03
200,layers.0.out_proj.base.log_select_temp,6.989365e-01,5.789340e-03,8.283069e-03
200,layers.0.out_proj.main.weights,2.660773e+00,2.611909e+00,9.816355e-01
200,layers.0.out_proj.main.log_soft_score_temp,6.974123e-01,4.265130e-03,6.115650e-03
200,layers.0.out_proj.main.log_select_temp,6.970057e-01,3.858566e-03,5.535917e-03
200,layers.0.residual_lut.base.weights,7.631008e+00,7.565064e+00,9.913585e-01
200,layers.0.residual_lut.base.log_soft_score_temp,6.995316e-01,6.384432e-03,9.126724e-03
200,layers.0.residual_lut.base.log_select_temp,6.996879e-01,6.540716e-03,9.348047e-03
200,layers.0.residual_lut.main.weights,2.206249e+00,2.163885e+00,9.807983e-01
200,layers.0.residual_lut.main.log_soft_score_temp,6.981030e-01,4.955769e-03,7.098908e-03
200,layers.0.residual_lut.main.log_select_temp,6.977584e-01,4.611254e-03,6.608668e-03
200,layers.0.q_norm.weight,8.012760e+00,1.390323e-02,1.735136e-03
200,layers.0.q_norm.bias,7.251550e-03,7.251550e-03,1.000000e+00
200,layers.0.k_norm.weight,8.012415e+00,1.329398e-02,1.659173e-03
200,layers.0.k_norm.bias,9.455895e-03,9.455895e-03,1.000000e+00
200,layers.0.ln_pre.weight,8.008858e+00,1.198680e-02,1.496693e-03
200,layers.0.ln_pre.bias,4.698202e-03,4.698202e-03,1.000000e+00
200,layers.0.ln_post.weight,8.009372e+00,1.260063e-02,1.573235e-03
200,layers.0.ln_post.bias,3.877213e-03,3.877213e-03,1.000000e+00
200,layers.1.qkv_lut.base.weights,7.880628e+00,7.805870e+00,9.905137e-01
200,layers.1.qkv_lut.base.log_soft_score_temp,6.964768e-01,3.329635e-03,4.780683e-03
200,layers.1.qkv_lut.base.log_select_temp,6.962327e-01,3.085554e-03,4.431785e-03
200,layers.1.qkv_lut.main.weights,1.941817e+00,1.884464e+00,9.704641e-01
