step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498666,0.498909,0.498844,0.498849,0.499960,0.499454,0.497053,0.496875,0.500741,0.499254,0.498389,0.498368,0.500169,0.499892,0.498288,0.497611,0.501449,0.499677,0.497929,0.497923,0.499772,0.499534,0.499901,0.498827,0.500039,0.498507,0.499384,0.499372,0.500815,0.500776,0.500885,0.500010,0.500383,0.498773,0.499038,0.499046,0.500499,0.500473,0.501360,0.500757,0.500261,0.499179,0.499047,0.499038,0.500411,0.500385,0.501668,0.501252
400,0.494916,0.496494,0.489524,0.489684,0.491505,0.490182,0.490124,0.488490,0.510371,0.504751,0.490414,0.489629,0.495285,0.493457,0.497414,0.491996,0.511630,0.506847,0.490444,0.489995,0.494434,0.493155,0.501083,0.494220,0.506047,0.498973,0.497637,0.497611,0.505710,0.504903,0.507676,0.501502,0.507522,0.502117,0.497492,0.497565,0.503698,0.503036,0.510179,0.506285,0.504532,0.501647,0.497333,0.497373,0.503448,0.502847,0.511523,0.509303
600,0.487096,0.492311,0.473718,0.474559,0.476381,0.474126,0.485425,0.478953,0.526961,0.514707,0.479323,0.476182,0.490528,0.483555,0.498251,0.484719,0.528605,0.517178,0.477886,0.475790,0.483817,0.480559,0.499672,0.483786,0.516443,0.499533,0.493051,0.492927,0.515869,0.512145,0.516755,0.498555,0.516882,0.505181,0.492598,0.492736,0.511492,0.508250,0.522752,0.509237,0.511118,0.504850,0.492555,0.492667,0.508375,0.505389,0.525451,0.516103
800,0.476621,0.485357,0.453526,0.455443,0.462959,0.454571,0.483683,0.467567,0.549910,0.526099,0.469856,0.460840,0.495957,0.473574,0.500520,0.474570,0.552717,0.528416,0.463251,0.457111,0.473421,0.464140,0.499520,0.469110,0.531499,0.499077,0.484548,0.484064,0.530389,0.520370,0.529570,0.492350,0.530966,0.509023,0.482973,0.482797,0.524538,0.516068,0.540449,0.510517,0.521765,0.509728,0.485519,0.485866,0.520658,0.512536,0.544776,0.523114
1000,0.467795,0.478598,0.432970,0.435537,0.472694,0.439416,0.487672,0.456499,0.573457,0.532602,0.467938,0.447124,0.515883,0.468780,0.507646,0.462854,0.578565,0.534013,0.455656,0.439225,0.475809,0.451049,0.509327,0.454428,0.547304,0.494806,0.473546,0.472310,0.549097,0.529400,0.547399,0.484131,0.542893,0.508969,0.472011,0.471272,0.540203,0.523416,0.561912,0.508003,0.535010,0.515581,0.477529,0.478069,0.532628,0.517157,0.564444,0.525058
1200,0.457945,0.468931,0.414891,0.417569,0.494794,0.433879,0.493887,0.446581,0.596626,0.536900,0.475143,0.437551,0.541169,0.470237,0.518176,0.453149,0.601451,0.535117,0.458417,0.424809,0.488293,0.440412,0.521069,0.440634,0.566137,0.491568,0.465439,0.462729,0.566553,0.534297,0.566316,0.477025,0.554776,0.508279,0.461566,0.459226,0.555295,0.527582,0.580300,0.502675,0.547810,0.520017,0.471565,0.472117,0.546233,0.521118,0.583227,0.523624
1400,0.449468,0.459666,0.399712,0.401097,0.520813,0.433692,0.499114,0.435259,0.617586,0.536076,0.485407,0.429508,0.569474,0.474517,0.530823,0.445001,0.625272,0.533077,0.464277,0.412392,0.507271,0.434102,0.536647,0.430432,0.583322,0.487043,0.457589,0.452827,0.583329,0.535406,0.585906,0.469320,0.568045,0.506760,0.451710,0.447392,0.569956,0.529693,0.598489,0.496736,0.559565,0.521060,0.464619,0.464694,0.560378,0.523804,0.601104,0.519199
1600,0.441865,0.450586,0.385963,0.385139,0.548582,0.437534,0.506780,0.425978,0.636205,0.533250,0.496450,0.423384,0.599501,0.479618,0.545812,0.437894,0.645071,0.527543,0.475499,0.401903,0.530287,0.431793,0.555257,0.420828,0.599976,0.482074,0.450202,0.443020,0.595525,0.530592,0.606940,0.460636,0.580122,0.505128,0.441882,0.435072,0.582141,0.529005,0.616778,0.488287,0.570147,0.520567,0.458055,0.457721,0.574580,0.527210,0.617179,0.512308
1800,0.436262,0.442339,0.375824,0.371136,0.577364,0.442756,0.514895,0.416151,0.651765,0.528866,0.510055,0.418267,0.630315,0.484226,0.561458,0.431041,0.664296,0.520707,0.488855,0.393946,0.555131,0.430236,0.576492,0.413448,0.616872,0.475481,0.444098,0.433851,0.607256,0.526470,0.626827,0.453319,0.592608,0.501879,0.433774,0.423831,0.592520,0.525571,0.634578,0.479470,0.579802,0.519934,0.452057,0.451081,0.583416,0.526052,0.634029,0.504635
