step,train_loss,val_bpb
200,8.539642,2.259509
400,6.963032,1.995513
600,6.356131,1.893441
800,6.061103,1.837125
1000,5.890344,1.789406
1200,5.746151,1.754654
1400,5.642567,1.727077
1600,5.552931,1.703946
1800,5.486412,1.687874
2000,5.409978,1.670781
2200,5.382864,1.656605
2400,5.342233,1.643337
2600,5.282137,1.630524
2800,5.255011,1.619416
3000,5.220546,1.609481
3200,5.179244,1.599202
3400,5.146156,1.591815
3600,5.122772,1.584595
3800,5.091425,1.573943
4000,5.070261,1.567556
4200,5.042140,1.559724
4400,5.028540,1.553914
4600,5.002363,1.548581
4800,5.010090,1.542427
5000,4.961318,1.534902
5200,4.947269,1.531554
5400,4.929052,1.527623
5600,4.899883,1.523562
5800,4.896375,1.517732
6000,4.883557,1.514680
6200,4.866110,1.511983
6400,4.862590,1.508721
6600,4.842138,1.504984
6800,4.839992,1.502666
7000,4.844197,1.501272
7200,4.830446,1.499892
7400,4.808685,1.497782
7600,4.798116,1.497395
7800,4.797627,1.495000
8000,4.805153,1.493745
