step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498271,0.498495,0.497999,0.498005,0.498680,0.498486,0.497975,0.497641,0.501137,0.499685,0.498236,0.498237,0.499814,0.499696,0.499191,0.498451,0.501599,0.500231,0.498977,0.498946,0.500132,0.500093,0.500056,0.499168,0.500701,0.499132,0.498883,0.498910,0.500254,0.500240,0.500897,0.500013,0.500285,0.498982,0.499257,0.499281,0.500180,0.500168,0.501545,0.500837,0.499896,0.499399,0.499462,0.499475,0.499924,0.499916,0.502042,0.501610
400,0.493132,0.495097,0.490254,0.490422,0.490933,0.490249,0.492769,0.491004,0.510619,0.505858,0.490558,0.490470,0.493764,0.492924,0.496769,0.493159,0.510822,0.505883,0.495064,0.494643,0.499386,0.498544,0.500075,0.495341,0.507463,0.501735,0.495247,0.495185,0.500661,0.500186,0.504625,0.499582,0.504677,0.500138,0.496741,0.496823,0.501328,0.501045,0.508516,0.504131,0.503018,0.500908,0.498931,0.498934,0.501237,0.501096,0.511702,0.509638
600,0.484162,0.489368,0.476142,0.476925,0.477201,0.476012,0.489091,0.483764,0.525782,0.514622,0.478104,0.477261,0.483563,0.481462,0.491854,0.483317,0.525056,0.511441,0.486627,0.485000,0.497502,0.494837,0.499974,0.487659,0.519638,0.503630,0.485845,0.485573,0.498207,0.495895,0.510650,0.496354,0.511997,0.500884,0.490907,0.491023,0.503340,0.501674,0.519513,0.506367,0.508682,0.503665,0.495752,0.495839,0.504484,0.503731,0.524752,0.516349
800,0.471081,0.479745,0.456678,0.458240,0.459999,0.457619,0.485678,0.474022,0.546625,0.523798,0.461462,0.459163,0.470189,0.465482,0.489028,0.470045,0.544932,0.515198,0.473505,0.469843,0.492626,0.487118,0.502527,0.476428,0.538381,0.505714,0.471223,0.469910,0.493275,0.488215,0.521017,0.491054,0.524147,0.503600,0.481897,0.481806,0.508104,0.504088,0.535689,0.507963,0.515280,0.505336,0.489026,0.489227,0.508764,0.506682,0.542016,0.521461
1000,0.458592,0.468800,0.436162,0.438289,0.444645,0.439626,0.485610,0.463622,0.567760,0.528659,0.447650,0.441541,0.459171,0.449202,0.492768,0.457817,0.565781,0.513373,0.458866,0.451725,0.485092,0.475393,0.509102,0.463409,0.556564,0.503267,0.454769,0.452065,0.487536,0.478352,0.536824,0.484246,0.538148,0.504989,0.472404,0.471597,0.513665,0.506036,0.555474,0.507808,0.522823,0.505691,0.481179,0.481377,0.515498,0.511057,0.559844,0.522230
1200,0.447042,0.457149,0.417604,0.419765,0.434446,0.424137,0.488347,0.454525,0.588201,0.530975,0.438525,0.425811,0.452569,0.434423,0.500531,0.446563,0.585142,0.509242,0.446994,0.435185,0.476310,0.461237,0.520277,0.452309,0.575405,0.500898,0.441872,0.436626,0.482418,0.468214,0.554565,0.476829,0.551426,0.503875,0.463424,0.461527,0.519972,0.508181,0.574295,0.504219,0.531438,0.504774,0.473686,0.473337,0.519902,0.512789,0.575693,0.519009
1400,0.436971,0.445953,0.401961,0.403184,0.433004,0.413683,0.491381,0.445222,0.605907,0.528709,0.436121,0.412493,0.451523,0.420830,0.512329,0.438421,0.606641,0.503541,0.439354,0.419824,0.469641,0.448058,0.533792,0.442614,0.594973,0.495153,0.430912,0.421229,0.476381,0.456595,0.572296,0.469042,0.565171,0.502325,0.454583,0.450914,0.524593,0.508037,0.593485,0.498367,0.539058,0.502183,0.465769,0.464718,0.521709,0.512093,0.589382,0.511831
1600,0.427441,0.434606,0.388867,0.388239,0.437282,0.404415,0.496806,0.435715,0.621239,0.526064,0.437856,0.402558,0.458517,0.411918,0.526513,0.430259,0.626616,0.495321,0.435937,0.405637,0.464484,0.435372,0.550291,0.433619,0.611424,0.489515,0.423408,0.408041,0.472902,0.446801,0.592019,0.460964,0.578992,0.500479,0.446013,0.440395,0.527441,0.506812,0.615069,0.490986,0.546208,0.499999,0.459032,0.457083,0.522025,0.509661,0.601095,0.503908
1800,0.418741,0.423087,0.378750,0.374735,0.447021,0.399656,0.500684,0.426199,0.634768,0.520896,0.444754,0.394521,0.468564,0.405539,0.541643,0.422898,0.643760,0.485806,0.437636,0.393745,0.460652,0.422015,0.567576,0.426367,0.630641,0.483890,0.417365,0.395470,0.469182,0.437006,0.612125,0.454289,0.592625,0.496606,0.437750,0.429995,0.529096,0.503759,0.634309,0.483754,0.555376,0.498714,0.450007,0.447417,0.518575,0.503633,0.614369,0.494982
