step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.356991e+01,7.492992e-01,8.966137e-03
200,unembedder.weight,1.053455e+02,1.548623e+01,1.470041e-01
200,layers.0.qkv_lut.weights,3.630979e+00,3.457897e+00,9.523318e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.889939e-01,4.153252e-03,6.027995e-03
200,layers.0.qkv_lut.log_select_temp,6.888127e-01,4.334450e-03,6.292639e-03
200,layers.0.v_lut.weights,2.622407e+00,2.517822e+00,9.601189e-01
200,layers.0.v_lut.log_soft_score_temp,6.956369e-01,2.489746e-03,3.579088e-03
200,layers.0.v_lut.log_select_temp,6.956446e-01,2.497375e-03,3.590016e-03
200,layers.0.out_proj.weights,5.268293e+00,5.135688e+00,9.748295e-01
200,layers.0.out_proj.log_soft_score_temp,6.969872e-01,3.839970e-03,5.509384e-03
200,layers.0.out_proj.log_select_temp,6.972119e-01,4.064679e-03,5.829905e-03
200,layers.0.residual_lut.weights,4.547083e+00,4.450182e+00,9.786894e-01
200,layers.0.residual_lut.log_soft_score_temp,6.970412e-01,3.894031e-03,5.586515e-03
200,layers.0.residual_lut.log_select_temp,6.971144e-01,3.967226e-03,5.690925e-03
200,layers.0.q_norm.weight,8.011860e+00,1.363729e-02,1.702137e-03
200,layers.0.q_norm.bias,6.889991e-03,6.889991e-03,1.000000e+00
200,layers.0.k_norm.weight,8.011682e+00,1.337160e-02,1.669013e-03
200,layers.0.k_norm.bias,9.037223e-03,9.037223e-03,1.000000e+00
200,layers.0.ln_pre.gamma,9.977453e-01,2.254725e-03,2.259820e-03
200,layers.0.ln_post.gamma,1.003892e+00,3.892183e-03,3.877093e-03
200,layers.1.qkv_lut.weights,3.631471e+00,3.475222e+00,9.569735e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.932802e-01,1.329780e-04,1.918098e-04
200,layers.1.qkv_lut.log_select_temp,6.936918e-01,5.446076e-04,7.850859e-04
200,layers.1.v_lut.weights,2.380537e+00,2.268088e+00,9.527632e-01
200,layers.1.v_lut.log_soft_score_temp,6.951281e-01,1.980901e-03,2.849692e-03
200,layers.1.v_lut.log_select_temp,6.950623e-01,1.915097e-03,2.755289e-03
200,layers.1.out_proj.weights,5.907301e+00,5.789963e+00,9.801368e-01
200,layers.1.out_proj.log_soft_score_temp,6.938126e-01,6.654263e-04,9.590864e-04
200,layers.1.out_proj.log_select_temp,6.939538e-01,8.065701e-04,1.162282e-03
200,layers.1.residual_lut.weights,4.444161e+00,4.346870e+00,9.781082e-01
200,layers.1.residual_lut.log_soft_score_temp,6.956427e-01,2.495527e-03,3.587369e-03
200,layers.1.residual_lut.log_select_temp,6.958380e-01,2.690852e-03,3.867066e-03
200,layers.1.q_norm.weight,8.014160e+00,2.408437e-02,3.005227e-03
200,layers.1.q_norm.bias,1.039473e-02,1.039473e-02,1.000000e+00
200,layers.1.k_norm.weight,8.013412e+00,2.346714e-02,2.928483e-03
200,layers.1.k_norm.bias,1.795007e-02,1.795007e-02,1.000000e+00
