step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498522,0.498819,0.497604,0.497602,0.498063,0.497821,0.498384,0.497972,0.502439,0.501405,0.497902,0.497906,0.499316,0.499131,0.499289,0.498600,0.502042,0.500925,0.499358,0.499317,0.500310,0.500235,0.500054,0.499234,0.501075,0.499969,0.499844,0.499850,0.500522,0.500507,0.500929,0.500068,0.500916,0.499894,0.499585,0.499583,0.500321,0.500302,0.501589,0.500929,0.499911,0.499318,0.499625,0.499637,0.499981,0.499946,0.501878,0.501476
400,0.494447,0.496774,0.489555,0.489869,0.490019,0.489277,0.493999,0.492011,0.512533,0.509183,0.491003,0.490517,0.494549,0.493270,0.496354,0.492985,0.511003,0.505933,0.494558,0.494184,0.499695,0.498609,0.501036,0.495870,0.507878,0.503435,0.497223,0.497200,0.504520,0.503983,0.505505,0.499901,0.506976,0.502878,0.497948,0.498005,0.502845,0.502158,0.509276,0.505050,0.502002,0.499875,0.499271,0.499369,0.503244,0.503102,0.511665,0.509666
600,0.487237,0.493653,0.475601,0.476847,0.476522,0.474794,0.489472,0.483755,0.529523,0.521238,0.480675,0.478584,0.486443,0.482719,0.490763,0.482470,0.527028,0.512910,0.483720,0.481899,0.497320,0.493245,0.503673,0.489041,0.520204,0.507942,0.488317,0.488102,0.511904,0.508781,0.514783,0.498821,0.517324,0.507834,0.493250,0.493352,0.509337,0.506245,0.521957,0.510210,0.506171,0.502017,0.495698,0.495934,0.510744,0.509954,0.526736,0.519784
800,0.477483,0.487625,0.457088,0.459484,0.462825,0.457411,0.485842,0.473175,0.552138,0.534071,0.469065,0.462987,0.478098,0.467942,0.486528,0.468417,0.549651,0.518451,0.470075,0.465495,0.496067,0.486018,0.510207,0.480036,0.537787,0.511587,0.474334,0.473381,0.523220,0.514105,0.527999,0.495685,0.529532,0.511921,0.487596,0.487803,0.521078,0.514103,0.538997,0.513962,0.512986,0.504222,0.490561,0.490932,0.523041,0.519741,0.544136,0.527096
1000,0.466824,0.478537,0.438572,0.441564,0.461902,0.444094,0.485424,0.461320,0.576767,0.543504,0.462831,0.448034,0.480729,0.454554,0.488870,0.453680,0.572924,0.518427,0.455784,0.447138,0.495193,0.476126,0.520683,0.467994,0.555283,0.510999,0.458368,0.456081,0.537423,0.519206,0.542347,0.488229,0.541333,0.512562,0.481223,0.481146,0.534587,0.521714,0.555506,0.512156,0.519470,0.504775,0.483696,0.484096,0.535129,0.527183,0.557315,0.526393
1200,0.457032,0.468893,0.421986,0.424825,0.474087,0.437181,0.487068,0.450837,0.599831,0.549287,0.463743,0.437129,0.494869,0.445969,0.495879,0.440827,0.593586,0.512558,0.447604,0.432026,0.498361,0.465802,0.531214,0.455639,0.572660,0.508991,0.444681,0.440037,0.549043,0.518894,0.554460,0.478746,0.551894,0.510110,0.474687,0.473994,0.548145,0.528151,0.567480,0.504893,0.526312,0.504886,0.477780,0.477920,0.544636,0.531840,0.565940,0.520188
1400,0.450275,0.460498,0.407436,0.408611,0.492779,0.435139,0.488955,0.439385,0.620387,0.547648,0.469130,0.427646,0.514652,0.440091,0.504531,0.429592,0.614216,0.505069,0.442963,0.418018,0.506606,0.456219,0.543671,0.444695,0.587528,0.501804,0.433221,0.425012,0.558338,0.516122,0.565974,0.468566,0.559138,0.505587,0.466648,0.465479,0.561077,0.533968,0.576756,0.495007,0.530714,0.503452,0.471520,0.471569,0.550798,0.532827,0.570687,0.510430
1600,0.442513,0.450397,0.395506,0.393938,0.514679,0.436416,0.490822,0.427384,0.639947,0.546239,0.476513,0.420245,0.538111,0.437873,0.515931,0.419368,0.630764,0.495260,0.441955,0.405121,0.516958,0.446784,0.556356,0.433381,0.599729,0.495549,0.423726,0.410756,0.567425,0.511693,0.576464,0.457263,0.566495,0.500380,0.458135,0.456161,0.572433,0.537382,0.585141,0.484231,0.537133,0.502622,0.465229,0.464839,0.556458,0.532500,0.574569,0.499305
1800,0.436438,0.441159,0.386924,0.381060,0.540041,0.441867,0.494827,0.416745,0.657556,0.542688,0.484963,0.413460,0.563577,0.437419,0.529236,0.410800,0.645621,0.484696,0.443190,0.393259,0.528852,0.436837,0.569755,0.423172,0.610780,0.485476,0.416554,0.398063,0.574805,0.504558,0.586048,0.445175,0.572434,0.493806,0.450497,0.447497,0.582683,0.538885,0.592178,0.472155,0.543738,0.501867,0.459709,0.458840,0.561091,0.530981,0.577001,0.486736
2000,0.430829,0.431213,0.382221,0.370181,0.565231,0.445887,0.497843,0.405701,0.670567,0.537126,0.494602,0.409025,0.590615,0.437931,0.543068,0.402737,0.659555,0.473960,0.447230,0.383468,0.546948,0.431375,0.584107,0.413335,0.623948,0.478603,0.410688,0.385233,0.582915,0.497795,0.595421,0.433282,0.576681,0.485739,0.441443,0.437400,0.590509,0.538140,0.598262,0.459738,0.547262,0.498614,0.452735,0.451428,0.563328,0.527427,0.578766,0.474352
2200,0.428321,0.424108,0.378569,0.359774,0.590865,0.450029,0.501906,0.395180,0.683488,0.530653,0.507844,0.406104,0.618888,0.440959,0.557764,0.395767,0.672067,0.462456,0.454153,0.375288,0.564610,0.424862,0.598038,0.404312,0.633129,0.468961,0.405950,0.372465,0.591614,0.490632,0.605920,0.422923,0.582552,0.478630,0.432511,0.426873,0.596531,0.535035,0.603868,0.448549,0.552466,0.496029,0.445344,0.443581,0.563829,0.522050,0.580452,0.462070
2400,0.425437,0.416055,0.378137,0.350658,0.617413,0.454579,0.507666,0.385421,0.694352,0.523170,0.521838,0.402551,0.647663,0.444218,0.571207,0.387808,0.682850,0.450659,0.461695,0.367629,0.585053,0.419760,0.610533,0.394251,0.644975,0.460398,0.404247,0.362468,0.602593,0.485290,0.616585,0.412126,0.585334,0.469633,0.424534,0.417397,0.600772,0.531345,0.609898,0.437603,0.556064,0.490964,0.438144,0.435319,0.563157,0.515331,0.582012,0.449436
