step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.358563e+01,6.844797e-01,8.188963e-03
200,unembedder.weight,1.053910e+02,1.567521e+01,1.487339e-01
200,layers.0.qkv_lut.weight_table,4.336051e+00,4.103958e+00,9.464736e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.975632e-01,4.415989e-03,6.330594e-03
200,layers.0.qkv_lut.log_select_temp,6.974317e-01,4.284501e-03,6.143256e-03
200,layers.0.v_lut.weight_table,1.542909e+00,1.389661e+00,9.006759e-01
200,layers.0.v_lut.log_soft_score_temp,6.943001e-01,1.152933e-03,1.660568e-03
200,layers.0.v_lut.log_select_temp,6.942546e-01,1.107454e-03,1.595170e-03
200,layers.0.out_proj.weight_table,1.482743e+00,1.005493e+00,6.781307e-01
200,layers.0.out_proj.log_soft_score_temp,6.931080e-01,3.916025e-05,5.649949e-05
200,layers.0.out_proj.log_select_temp,6.930938e-01,5.340576e-05,7.705416e-05
200,layers.0.residual_lut.weight_table,3.723407e+00,3.628339e+00,9.744675e-01
200,layers.0.residual_lut.log_soft_score_temp,6.996159e-01,6.468713e-03,9.246092e-03
200,layers.0.residual_lut.log_select_temp,6.997294e-01,6.582260e-03,9.406865e-03
200,layers.0.q_norm.weight,8.014941e+00,1.761467e-02,2.197729e-03
200,layers.0.q_norm.bias,1.100088e-02,1.100088e-02,1.000000e+00
200,layers.0.k_norm.weight,8.015388e+00,1.788959e-02,2.231906e-03
200,layers.0.k_norm.bias,1.495355e-02,1.495355e-02,1.000000e+00
200,layers.1.qkv_lut.weight_table,4.459395e+00,4.234658e+00,9.496036e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.955296e-01,2.382398e-03,3.425300e-03
200,layers.1.qkv_lut.log_select_temp,6.962004e-01,3.053248e-03,4.385588e-03
200,layers.1.v_lut.weight_table,1.700226e+00,1.563646e+00,9.196692e-01
200,layers.1.v_lut.log_soft_score_temp,6.939714e-01,8.242130e-04,1.187676e-03
200,layers.1.v_lut.log_select_temp,6.939195e-01,7.723570e-04,1.113035e-03
200,layers.1.out_proj.weight_table,1.463047e+00,9.752153e-01,6.665645e-01
200,layers.1.out_proj.log_soft_score_temp,6.930677e-01,7.951260e-05,1.147256e-04
200,layers.1.out_proj.log_select_temp,6.930556e-01,9.161234e-05,1.321861e-04
200,layers.1.residual_lut.weight_table,3.638865e+00,3.543587e+00,9.738167e-01
200,layers.1.residual_lut.log_soft_score_temp,6.985517e-01,5.404532e-03,7.736767e-03
200,layers.1.residual_lut.log_select_temp,6.989548e-01,5.807579e-03,8.308948e-03
200,layers.1.q_norm.weight,8.007719e+00,9.415082e-03,1.175751e-03
200,layers.1.q_norm.bias,5.896566e-03,5.896566e-03,1.000000e+00
200,layers.1.k_norm.weight,8.007772e+00,9.024093e-03,1.126917e-03
200,layers.1.k_norm.bias,7.697318e-03,7.697318e-03,1.000000e+00
200,layers.2.qkv_lut.weight_table,4.586971e+00,4.369558e+00,9.526021e-01
200,layers.2.qkv_lut.log_soft_score_temp,6.957147e-01,2.567530e-03,3.690492e-03
200,layers.2.qkv_lut.log_select_temp,6.963739e-01,3.226697e-03,4.633570e-03
200,layers.2.v_lut.weight_table,1.821275e+00,1.693200e+00,9.296783e-01
200,layers.2.v_lut.log_soft_score_temp,6.945065e-01,1.359344e-03,1.957280e-03
200,layers.2.v_lut.log_select_temp,6.945496e-01,1.402378e-03,2.019119e-03
200,layers.2.out_proj.weight_table,1.461510e+00,9.727529e-01,6.655807e-01
200,layers.2.out_proj.log_soft_score_temp,6.924159e-01,7.312894e-04,1.056142e-03
200,layers.2.out_proj.log_select_temp,6.924062e-01,7.409453e-04,1.070102e-03
200,layers.2.residual_lut.weight_table,3.599739e+00,3.503933e+00,9.733853e-01
200,layers.2.residual_lut.log_soft_score_temp,6.964622e-01,3.315032e-03,4.759815e-03
200,layers.2.residual_lut.log_select_temp,6.976066e-01,4.459441e-03,6.392486e-03
200,layers.2.q_norm.weight,8.006767e+00,8.380920e-03,1.046730e-03
200,layers.2.q_norm.bias,4.357298e-03,4.357298e-03,1.000000e+00
200,layers.2.k_norm.weight,8.006467e+00,8.222115e-03,1.026934e-03
200,layers.2.k_norm.bias,6.672244e-03,6.672244e-03,1.000000e+00
200,layers.3.qkv_lut.weight_table,4.637333e+00,4.422501e+00,9.536733e-01
200,layers.3.qkv_lut.log_soft_score_temp,6.946874e-01,1.540184e-03,2.217089e-03
200,layers.3.qkv_lut.log_select_temp,6.954326e-01,2.285421e-03,3.286330e-03
200,layers.3.v_lut.weight_table,1.948381e+00,1.830666e+00,9.395832e-01
200,layers.3.v_lut.log_soft_score_temp,6.945427e-01,1.395524e-03,2.009270e-03
200,layers.3.v_lut.log_select_temp,6.946258e-01,1.478612e-03,2.128646e-03
200,layers.3.out_proj.weight_table,1.730025e+00,1.341416e+00,7.753736e-01
200,layers.3.out_proj.log_soft_score_temp,6.931946e-01,4.744530e-05,6.844441e-05
200,layers.3.out_proj.log_select_temp,6.931923e-01,4.512072e-05,6.509120e-05
200,layers.3.residual_lut.weight_table,3.621971e+00,3.528073e+00,9.740753e-01
200,layers.3.residual_lut.log_soft_score_temp,6.944137e-01,1.266539e-03,1.823897e-03
