step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497187,0.497192,0.496681,0.496679,0.497119,0.496993,0.497189,0.496788,0.501310,0.499606,0.499035,0.498989,0.500506,0.500371,0.500808,0.498374,0.501111,0.499351,0.499709,0.499628,0.501366,0.501345,0.501821,0.500884,0.500814,0.499568,0.499628,0.499604,0.500779,0.500769,0.502214,0.501623,0.500555,0.499753,0.499429,0.499423,0.501020,0.501015,0.502575,0.502081,0.500037,0.499519,0.499503,0.499478,0.500625,0.500624,0.502761,0.502330
400,0.490137,0.490428,0.486591,0.486588,0.486731,0.486367,0.489906,0.487318,0.512533,0.508599,0.490438,0.490047,0.491742,0.491126,0.509072,0.496276,0.511509,0.508170,0.496220,0.495611,0.500006,0.499198,0.511907,0.507882,0.510937,0.507776,0.497552,0.496625,0.500177,0.499796,0.512608,0.510416,0.506513,0.504506,0.497238,0.497216,0.501645,0.501300,0.513096,0.511516,0.503419,0.501417,0.499573,0.499320,0.501208,0.501024,0.513153,0.511753
600,0.477850,0.479069,0.473937,0.473823,0.472434,0.470951,0.488212,0.475718,0.531210,0.524847,0.481177,0.477578,0.477962,0.476507,0.521320,0.490290,0.528714,0.520251,0.487095,0.484546,0.489233,0.487263,0.527073,0.509585,0.526686,0.518437,0.492098,0.488951,0.495344,0.493968,0.528300,0.515956,0.518069,0.510986,0.492704,0.491930,0.498721,0.497334,0.528885,0.519336,0.512972,0.506006,0.496418,0.495791,0.500359,0.499434,0.526557,0.516262
800,0.460314,0.462132,0.463930,0.463273,0.461283,0.453564,0.494805,0.464142,0.558000,0.547254,0.478390,0.462868,0.463351,0.459353,0.536335,0.480909,0.552477,0.532721,0.477346,0.468721,0.474130,0.470431,0.546482,0.503949,0.546265,0.527276,0.485448,0.477739,0.487348,0.483932,0.547600,0.512020,0.535173,0.517996,0.487571,0.485607,0.497660,0.494381,0.548631,0.519868,0.526650,0.509812,0.493295,0.491764,0.497880,0.495514,0.540389,0.513091
1000,0.445157,0.445296,0.460851,0.458114,0.465788,0.439344,0.507599,0.453633,0.588618,0.568704,0.489082,0.453857,0.452700,0.441629,0.556583,0.472048,0.579334,0.539201,0.474779,0.454138,0.459894,0.452628,0.567688,0.492363,0.567198,0.529165,0.477042,0.463600,0.475077,0.468832,0.569257,0.501808,0.552437,0.519556,0.480252,0.475740,0.495462,0.489491,0.568440,0.513128,0.542585,0.512237,0.486008,0.483506,0.491888,0.487520,0.553390,0.504166
1200,0.432111,0.428579,0.460727,0.455222,0.480165,0.429651,0.519949,0.445938,0.618759,0.583341,0.508000,0.452938,0.455088,0.429569,0.575187,0.463163,0.602440,0.536600,0.479944,0.443781,0.450095,0.436675,0.587086,0.478936,0.587208,0.526253,0.471087,0.449988,0.464331,0.454614,0.588003,0.488920,0.569538,0.519514,0.472798,0.466001,0.493197,0.483991,0.584119,0.503116,0.558491,0.513097,0.479342,0.475672,0.484865,0.477889,0.563766,0.494116
1400,0.423785,0.414622,0.461689,0.453027,0.498426,0.425984,0.531761,0.437212,0.648052,0.589345,0.527955,0.454129,0.465367,0.421111,0.592617,0.452171,0.624444,0.531083,0.487880,0.435543,0.445538,0.422713,0.606058,0.465488,0.604417,0.518518,0.467421,0.437923,0.455611,0.441468,0.607772,0.476533,0.583393,0.515117,0.467110,0.457604,0.489441,0.477185,0.600419,0.491194,0.571808,0.511198,0.472818,0.467515,0.477876,0.468255,0.575021,0.483452
1600,0.416836,0.400710,0.462518,0.450262,0.519876,0.423110,0.544899,0.427922,0.674714,0.591123,0.548359,0.456323,0.482106,0.417519,0.611953,0.441943,0.644441,0.523028,0.498067,0.428114,0.447090,0.411002,0.624695,0.451261,0.618838,0.510162,0.467784,0.428224,0.447326,0.428099,0.627624,0.463924,0.594170,0.509091,0.462544,0.449881,0.486902,0.470828,0.617885,0.478659,0.582241,0.508012,0.467311,0.460191,0.470045,0.457846,0.584547,0.470946
1800,0.414792,0.389302,0.462596,0.446766,0.541694,0.421105,0.558425,0.419469,0.697921,0.586790,0.569222,0.459235,0.501157,0.417253,0.631882,0.432410,0.658687,0.510916,0.510531,0.422912,0.454171,0.402323,0.643106,0.439121,0.633972,0.501513,0.469625,0.419870,0.439604,0.414391,0.645890,0.450213,0.603849,0.502099,0.458322,0.442407,0.483676,0.462866,0.632946,0.466286,0.592968,0.503156,0.460747,0.451524,0.462209,0.447458,0.593877,0.458469
