step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.356933e+01,6.543537e-01,7.830071e-03
200,unembedder.weight,1.054167e+02,1.537221e+01,1.458233e-01
200,layers.0.qkv_lut.weights,1.228523e+00,5.742025e-01,4.673926e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.966476e-01,3.500402e-03,5.024638e-03
200,layers.0.qkv_lut.log_select_temp,6.965461e-01,3.398955e-03,4.879727e-03
200,layers.0.v_lut.weights,7.808618e-01,2.927472e-01,3.749027e-01
200,layers.0.v_lut.log_soft_score_temp,6.969293e-01,3.782153e-03,5.426882e-03
200,layers.0.v_lut.log_select_temp,6.972700e-01,4.122853e-03,5.912850e-03
200,layers.0.out_proj.weights,1.358467e+00,6.665497e-01,4.906631e-01
200,layers.0.out_proj.log_soft_score_temp,6.946807e-01,1.533508e-03,2.207501e-03
200,layers.0.out_proj.log_select_temp,6.954464e-01,2.299190e-03,3.306063e-03
200,layers.0.residual_lut.weights,1.227487e+00,6.784614e-01,5.527237e-01
200,layers.0.residual_lut.log_soft_score_temp,6.951692e-01,2.021968e-03,2.908599e-03
200,layers.0.residual_lut.log_select_temp,6.945560e-01,1.408815e-03,2.028368e-03
200,layers.0.q_norm.weight,8.010538e+00,1.488400e-02,1.858052e-03
200,layers.0.q_norm.bias,7.997446e-03,7.997446e-03,1.000000e+00
200,layers.0.k_norm.weight,8.010321e+00,1.435596e-02,1.792182e-03
200,layers.0.k_norm.bias,9.838540e-03,9.838540e-03,1.000000e+00
200,layers.1.qkv_lut.weights,1.140232e+00,3.491797e-01,3.062357e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.942935e-01,1.146317e-03,1.651055e-03
200,layers.1.qkv_lut.log_select_temp,6.948877e-01,1.740515e-03,2.504743e-03
200,layers.1.v_lut.weights,7.577027e-01,2.216875e-01,2.925785e-01
200,layers.1.v_lut.log_soft_score_temp,6.944282e-01,1.281023e-03,1.844716e-03
200,layers.1.v_lut.log_select_temp,6.953331e-01,2.185881e-03,3.143646e-03
200,layers.1.out_proj.weights,1.204205e+00,2.320720e-01,1.927181e-01
200,layers.1.out_proj.log_soft_score_temp,6.903747e-01,2.772510e-03,4.015950e-03
200,layers.1.out_proj.log_select_temp,6.897516e-01,3.395617e-03,4.922957e-03
200,layers.1.residual_lut.weights,1.171967e+00,5.706562e-01,4.869219e-01
200,layers.1.residual_lut.log_soft_score_temp,6.931826e-01,3.540516e-05,5.107624e-05
200,layers.1.residual_lut.log_select_temp,6.932574e-01,1.102090e-04,1.589727e-04
200,layers.1.q_norm.weight,8.000197e+00,2.210406e-03,2.762939e-04
200,layers.1.q_norm.bias,1.879813e-03,1.879813e-03,1.000000e+00
200,layers.1.k_norm.weight,8.000026e+00,2.150854e-03,2.688558e-04
200,layers.1.k_norm.bias,2.047478e-03,2.047478e-03,1.000000e+00
200,layers.2.qkv_lut.weights,1.137968e+00,3.411026e-01,2.997471e-01
200,layers.2.qkv_lut.log_soft_score_temp,6.932772e-01,1.300573e-04,1.875979e-04
200,layers.2.qkv_lut.log_select_temp,6.934028e-01,2.556443e-04,3.686808e-04
200,layers.2.v_lut.weights,7.463884e-01,1.813576e-01,2.429802e-01
200,layers.2.v_lut.log_soft_score_temp,6.943009e-01,1.153767e-03,1.661768e-03
200,layers.2.v_lut.log_select_temp,6.942137e-01,1.066506e-03,1.536279e-03
200,layers.2.out_proj.weights,1.203456e+00,2.284744e-01,1.898485e-01
200,layers.2.out_proj.log_soft_score_temp,6.909064e-01,2.240777e-03,3.243242e-03
200,layers.2.out_proj.log_select_temp,6.900824e-01,3.064752e-03,4.441138e-03
200,layers.2.residual_lut.weights,1.139487e+00,5.007920e-01,4.394891e-01
200,layers.2.residual_lut.log_soft_score_temp,6.931584e-01,1.120567e-05,1.616611e-05
200,layers.2.residual_lut.log_select_temp,6.923478e-01,7.993579e-04,1.154561e-03
200,layers.2.q_norm.weight,8.000529e+00,3.539137e-03,4.423628e-04
200,layers.2.q_norm.bias,2.769093e-03,2.769093e-03,1.000000e+00
200,layers.2.k_norm.weight,8.000365e+00,3.419439e-03,4.274104e-04
200,layers.2.k_norm.bias,3.042496e-03,3.042496e-03,1.000000e+00
200,layers.3.qkv_lut.weights,1.104367e+00,2.023883e-01,1.832617e-01
200,layers.3.qkv_lut.log_soft_score_temp,6.935474e-01,4.001856e-04,5.770126e-04
200,layers.3.qkv_lut.log_select_temp,6.935014e-01,3.541708e-04,5.106995e-04
200,layers.3.v_lut.weights,7.377270e-01,1.438207e-01,1.949511e-01
200,layers.3.v_lut.log_soft_score_temp,6.934725e-01,3.253222e-04,4.691205e-04
200,layers.3.v_lut.log_select_temp,6.937488e-01,6.015897e-04,8.671578e-04
200,layers.3.out_proj.weights,1.203205e+00,2.283019e-01,1.897449e-01
200,layers.3.out_proj.log_soft_score_temp,6.915858e-01,1.561403e-03,2.257715e-03
200,layers.3.out_proj.log_select_temp,6.908059e-01,2.341270e-03,3.389187e-03
