step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.496387,0.496317,0.497726,0.497933,0.499620,0.498363,0.496716,0.497339,0.497422,0.497483,0.498081,0.499217,0.499719,0.500244,0.497044,0.498408,0.498286,0.498641,0.498825,0.499465,0.500009,0.500358,0.497508,0.499401,0.498793,0.499323,0.499380,0.500730,0.500909,0.500960,0.498021,0.500926,0.500082,0.500203,0.499528,0.500484,0.500546,0.500631,0.498873,0.501669,0.499952,0.500309,0.500508,0.500640,0.500481,0.500506,0.501285,0.501586
400,0.485168,0.485137,0.489799,0.489876,0.495685,0.492144,0.486654,0.489890,0.488631,0.488035,0.488704,0.489923,0.492345,0.498722,0.487134,0.492998,0.490232,0.489956,0.491426,0.492564,0.497412,0.500750,0.487695,0.495256,0.491605,0.491091,0.492767,0.495689,0.500849,0.503559,0.487926,0.497965,0.495173,0.492391,0.493658,0.496951,0.500053,0.501993,0.488709,0.503591,0.495477,0.496889,0.496833,0.500155,0.501176,0.501802,0.497461,0.504325
600,0.467251,0.467263,0.477688,0.477980,0.491897,0.482552,0.469933,0.478706,0.476015,0.472955,0.474002,0.475815,0.480587,0.496128,0.470965,0.486469,0.475508,0.473882,0.477698,0.479115,0.490132,0.501087,0.471908,0.489792,0.480279,0.475176,0.480019,0.483700,0.495495,0.504951,0.472193,0.493207,0.484737,0.477299,0.481239,0.485274,0.494930,0.502183,0.472316,0.499147,0.487754,0.486809,0.488336,0.496600,0.500387,0.502255,0.482473,0.505453
800,0.443941,0.443902,0.461782,0.462976,0.489264,0.471377,0.447813,0.467003,0.457408,0.451775,0.454499,0.456632,0.468864,0.490815,0.449079,0.476921,0.455551,0.452375,0.457396,0.460021,0.483089,0.499813,0.450899,0.482882,0.463278,0.453572,0.461155,0.465750,0.489147,0.505896,0.452006,0.488583,0.470088,0.456330,0.462945,0.467041,0.490037,0.501784,0.452890,0.494079,0.474991,0.468003,0.472423,0.487334,0.499650,0.501309,0.464998,0.504993
1000,0.419190,0.418886,0.445104,0.447573,0.489699,0.459770,0.424252,0.454589,0.437344,0.428932,0.433763,0.436417,0.461292,0.482911,0.426418,0.466292,0.435125,0.429282,0.435757,0.439791,0.478335,0.498293,0.428601,0.474227,0.445264,0.429992,0.439254,0.446496,0.484427,0.505165,0.431895,0.484026,0.454737,0.433382,0.441546,0.445658,0.487454,0.500451,0.433491,0.488269,0.462370,0.446649,0.455215,0.471847,0.499257,0.499050,0.451812,0.503254
1200,0.396333,0.395811,0.431581,0.435123,0.493927,0.450271,0.402436,0.446319,0.418403,0.406811,0.414340,0.417821,0.458140,0.476183,0.405709,0.456471,0.417843,0.407603,0.415561,0.421073,0.477996,0.495643,0.407939,0.465230,0.430205,0.407582,0.420084,0.428043,0.482955,0.502666,0.413952,0.478833,0.441050,0.411901,0.422339,0.424848,0.485966,0.498024,0.417253,0.482134,0.452767,0.426179,0.440461,0.456693,0.498668,0.496297,0.442737,0.500896
1400,0.375599,0.374463,0.419086,0.424184,0.500754,0.442060,0.383193,0.437618,0.401650,0.386692,0.394628,0.399033,0.458800,0.469153,0.387480,0.446108,0.402656,0.387179,0.396565,0.403692,0.478308,0.493022,0.389549,0.455251,0.416741,0.386663,0.402193,0.410472,0.481678,0.499825,0.397589,0.474331,0.430995,0.390896,0.405791,0.405520,0.486207,0.495490,0.403504,0.476867,0.445115,0.406843,0.426697,0.441486,0.498856,0.493396,0.435729,0.498775
1600,0.356829,0.354615,0.408009,0.414087,0.507051,0.434349,0.365603,0.429125,0.386774,0.368093,0.377315,0.381795,0.461604,0.462016,0.371591,0.437199,0.389149,0.368088,0.379212,0.386648,0.480080,0.489838,0.372416,0.446619,0.406548,0.366904,0.386708,0.393956,0.483295,0.496453,0.382573,0.469818,0.423937,0.371640,0.388915,0.387302,0.487887,0.491975,0.391295,0.470715,0.439097,0.388130,0.413613,0.426044,0.500295,0.489885,0.429182,0.496030
1800,0.339404,0.336130,0.396966,0.404063,0.514195,0.427667,0.349667,0.421450,0.373580,0.350948,0.361307,0.366852,0.464316,0.456153,0.356445,0.428400,0.378057,0.349693,0.363457,0.371003,0.482914,0.487095,0.357697,0.436938,0.398206,0.348638,0.372424,0.377736,0.487633,0.492171,0.370452,0.465416,0.418593,0.353539,0.374622,0.370768,0.490659,0.488790,0.383458,0.465879,0.435283,0.370589,0.401539,0.412352,0.502734,0.485167,0.424404,0.493225
2000,0.323581,0.319109,0.387467,0.395340,0.524266,0.421872,0.335733,0.414927,0.363927,0.334661,0.345677,0.352035,0.470138,0.449890,0.343531,0.420937,0.369826,0.332858,0.348389,0.355329,0.489624,0.483689,0.345560,0.427579,0.392548,0.332480,0.358522,0.361560,0.494500,0.486665,0.360331,0.460831,0.416421,0.336694,0.361560,0.355501,0.494174,0.485009,0.375358,0.460513,0.435352,0.353730,0.391089,0.398004,0.505066,0.481004,0.419760,0.489921
2200,0.309235,0.303513,0.377753,0.387051,0.534247,0.416095,0.322880,0.407972,0.355565,0.320137,0.332167,0.338326,0.478333,0.444050,0.331748,0.414025,0.363334,0.317789,0.334052,0.340794,0.494453,0.481190,0.334526,0.418703,0.390306,0.318171,0.345704,0.345909,0.501991,0.481990,0.353907,0.456434,0.419549,0.320977,0.349027,0.341181,0.498569,0.480964,0.370749,0.455168,0.440908,0.338325,0.380088,0.384768,0.507451,0.475948,0.415975,0.486452
