step,train_loss,val_bpb
200,8.773644,2.346240
400,7.309936,2.117632
600,6.770956,2.022455
800,6.499971,1.969311
1000,6.347948,1.929664
1200,6.221667,1.899679
1400,6.135360,1.873830
1600,6.059608,1.854632
1800,5.998034,1.840446
2000,5.934047,1.820521
2200,5.898560,1.809229
2400,5.859161,1.793705
2600,5.795064,1.779885
2800,5.761347,1.770948
3000,5.729960,1.758530
3200,5.685978,1.746998
3400,5.657159,1.737944
3600,5.634142,1.734996
3800,5.603769,1.728871
4000,5.579670,1.719257
4200,5.555496,1.711853
