step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.355747e+01,8.335137e-01,9.975334e-03
200,unembedder.weight,1.053905e+02,1.545848e+01,1.466781e-01
200,layers.0.qkv_lut.weights,1.437585e+00,9.369841e-01,6.517763e-01
200,layers.0.qkv_lut.gate_relu_bias,1.000591e-01,1.000591e-01,1.000000e+00
200,layers.0.qkv_lut.log_soft_score_temp,6.991487e-01,6.001472e-03,8.583972e-03
200,layers.0.qkv_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.0.v_lut.weights,8.094443e-01,3.604554e-01,4.453122e-01
200,layers.0.v_lut.gate_relu_bias,9.267464e-02,9.267464e-02,1.000000e+00
200,layers.0.v_lut.log_soft_score_temp,6.931077e-01,3.945827e-05,5.692950e-05
200,layers.0.v_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.0.out_proj.weights,1.401413e+00,7.553571e-01,5.389967e-01
200,layers.0.out_proj.gate_relu_bias,7.460687e-02,7.460687e-02,1.000000e+00
200,layers.0.out_proj.log_soft_score_temp,6.925367e-01,6.105304e-04,8.815857e-04
200,layers.0.out_proj.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.0.residual_lut.weights,1.328637e+00,8.549242e-01,6.434594e-01
200,layers.0.residual_lut.gate_relu_bias,1.217997e-01,1.217997e-01,1.000000e+00
200,layers.0.residual_lut.log_soft_score_temp,7.001469e-01,6.999671e-03,9.997433e-03
200,layers.0.residual_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.0.q_norm.weight,8.006733e+00,9.329548e-03,1.165213e-03
200,layers.0.q_norm.bias,3.632234e-03,3.632234e-03,1.000000e+00
200,layers.0.k_norm.weight,8.006658e+00,9.284251e-03,1.159566e-03
200,layers.0.k_norm.bias,5.472396e-03,5.472396e-03,1.000000e+00
200,layers.1.qkv_lut.weights,1.432005e+00,9.289025e-01,6.486726e-01
200,layers.1.qkv_lut.gate_relu_bias,9.175508e-02,9.175508e-02,1.000000e+00
200,layers.1.qkv_lut.log_soft_score_temp,6.990985e-01,5.951285e-03,8.512800e-03
200,layers.1.qkv_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.1.v_lut.weights,8.031894e-01,3.437953e-01,4.280376e-01
200,layers.1.v_lut.gate_relu_bias,8.468515e-02,8.468515e-02,1.000000e+00
200,layers.1.v_lut.log_soft_score_temp,6.907758e-01,2.371430e-03,3.432996e-03
200,layers.1.v_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.1.out_proj.weights,1.403738e+00,7.595863e-01,5.411167e-01
200,layers.1.out_proj.gate_relu_bias,7.178852e-02,7.178852e-02,1.000000e+00
200,layers.1.out_proj.log_soft_score_temp,6.933457e-01,1.985431e-04,2.863551e-04
200,layers.1.out_proj.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.1.residual_lut.weights,1.290244e+00,7.933475e-01,6.148817e-01
200,layers.1.residual_lut.gate_relu_bias,9.622519e-02,9.622519e-02,1.000000e+00
200,layers.1.residual_lut.log_soft_score_temp,7.000057e-01,6.858468e-03,9.797732e-03
200,layers.1.residual_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.1.q_norm.weight,8.013707e+00,1.470875e-02,1.835448e-03
200,layers.1.q_norm.bias,6.841286e-03,6.841286e-03,1.000000e+00
200,layers.1.k_norm.weight,8.013435e+00,1.417123e-02,1.768433e-03
200,layers.1.k_norm.bias,1.069589e-02,1.069589e-02,1.000000e+00
200,layers.2.qkv_lut.weights,1.446072e+00,9.520088e-01,6.583413e-01
200,layers.2.qkv_lut.gate_relu_bias,8.126719e-02,8.126719e-02,1.000000e+00
200,layers.2.qkv_lut.log_soft_score_temp,6.965426e-01,3.395438e-03,4.874703e-03
200,layers.2.qkv_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.2.v_lut.weights,8.114414e-01,3.640042e-01,4.485896e-01
200,layers.2.v_lut.gate_relu_bias,8.514542e-02,8.514542e-02,1.000000e+00
200,layers.2.v_lut.log_soft_score_temp,6.913814e-01,1.765788e-03,2.553999e-03
200,layers.2.v_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.2.out_proj.weights,1.385926e+00,7.258413e-01,5.237229e-01
200,layers.2.out_proj.gate_relu_bias,6.448611e-02,6.448611e-02,1.000000e+00
200,layers.2.out_proj.log_soft_score_temp,6.938788e-01,7.315874e-04,1.054345e-03
200,layers.2.out_proj.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.2.residual_lut.weights,1.267887e+00,7.566103e-01,5.967492e-01
200,layers.2.residual_lut.gate_relu_bias,7.978565e-02,7.978565e-02,1.000000e+00
200,layers.2.residual_lut.log_soft_score_temp,6.986609e-01,5.513728e-03,7.891851e-03
200,layers.2.residual_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.2.q_norm.weight,8.015064e+00,1.714065e-02,2.138554e-03
200,layers.2.q_norm.bias,1.080462e-02,1.080462e-02,1.000000e+00
200,layers.2.k_norm.weight,8.015003e+00,1.690711e-02,2.109433e-03
200,layers.2.k_norm.bias,1.728251e-02,1.728251e-02,1.000000e+00
200,layers.3.qkv_lut.weights,1.436047e+00,9.386277e-01,6.536190e-01
200,layers.3.qkv_lut.gate_relu_bias,7.474346e-02,7.474346e-02,1.000000e+00
200,layers.3.qkv_lut.log_soft_score_temp,6.933311e-01,1.839399e-04,2.652988e-04
200,layers.3.qkv_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.3.v_lut.weights,8.219052e-01,3.872592e-01,4.711726e-01
200,layers.3.v_lut.gate_relu_bias,8.792336e-02,8.792336e-02,1.000000e+00
200,layers.3.v_lut.log_soft_score_temp,6.914371e-01,1.710117e-03,2.473279e-03
200,layers.3.v_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.3.out_proj.weights,1.465473e+00,8.680245e-01,5.923170e-01
200,layers.3.out_proj.gate_relu_bias,7.116004e-02,7.116004e-02,1.000000e+00
200,layers.3.out_proj.log_soft_score_temp,6.936958e-01,5.486012e-04,7.908382e-04
200,layers.3.out_proj.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.3.residual_lut.weights,1.255749e+00,7.357448e-01,5.859014e-01
200,layers.3.residual_lut.gate_relu_bias,6.689426e-02,6.689426e-02,1.000000e+00
200,layers.3.residual_lut.log_soft_score_temp,6.961718e-01,3.024578e-03,4.344586e-03
200,layers.3.residual_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.3.q_norm.weight,8.015294e+00,1.721062e-02,2.147223e-03
200,layers.3.q_norm.bias,8.613782e-03,8.613782e-03,1.000000e+00
200,layers.3.k_norm.weight,8.015303e+00,1.716029e-02,2.140941e-03
200,layers.3.k_norm.bias,1.772340e-02,1.772340e-02,1.000000e+00
200,layers.4.qkv_lut.weights,1.463853e+00,9.803074e-01,6.696760e-01
200,layers.4.qkv_lut.gate_relu_bias,6.920011e-02,6.920011e-02,1.000000e+00
200,layers.4.qkv_lut.log_soft_score_temp,6.937152e-01,5.680323e-04,8.188263e-04
200,layers.4.qkv_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.4.v_lut.weights,8.317869e-01,4.072909e-01,4.896577e-01
200,layers.4.v_lut.gate_relu_bias,8.555851e-02,8.555851e-02,1.000000e+00
200,layers.4.v_lut.log_soft_score_temp,6.907049e-01,2.442241e-03,3.535867e-03
200,layers.4.v_lut.log_select_temp,6.931472e-01,0.000000e+00,0.000000e+00
200,layers.4.out_proj.weights,1.377760e+00,7.094564e-01,5.149345e-01
200,layers.4.out_proj.gate_relu_bias,6.198046e-02,6.198046e-02,1.000000e+00
