step,train_loss,val_bpb
200,8.688700,2.325727
400,7.349163,2.144321
600,6.873603,2.056380
800,6.629647,2.023771
1000,6.454143,1.955111
1200,6.327522,1.929671
1400,6.226202,1.902533
1600,6.138275,1.875339
1800,6.070182,1.871859
2000,6.006271,1.852247
2200,5.970543,1.831040
2400,5.937303,1.820544
2600,5.872382,1.808498
2800,5.847759,1.796897
3000,5.803446,1.783509
3200,5.757552,1.773834
3400,5.731347,1.763015
3600,5.705284,1.759759
3800,5.673527,1.745776
4000,5.648024,1.743367
4200,5.626103,1.740639
4400,5.609544,1.723635
4600,5.576876,1.722407
4800,5.579601,1.712366
5000,5.541520,1.706619
5200,5.527761,1.709974
5400,5.504381,1.697085
5600,5.478975,1.690961
5800,5.476249,1.689661
6000,5.457188,1.688066
6200,5.439111,1.681230
6400,5.434254,1.679219
6600,5.418580,1.676428
6800,5.408454,1.671276
7000,5.410098,1.670147
7200,5.394480,1.668616
7400,5.372557,1.666522
7600,5.365644,1.665310
7800,5.365010,1.663493
8000,5.369975,1.662106
