step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497858,0.500000,0.498814,0.500000,0.499828,0.500000,0.496379,0.500000,0.497082,0.500000,0.497878,0.500000,0.499974,0.500000,0.496539,0.500000,0.497516,0.500000,0.498241,0.500000,0.499879,0.500000,0.496707,0.500000,0.498284,0.500000,0.498398,0.500000,0.500346,0.500000,0.496763,0.500000,0.497875,0.500000,0.497676,0.500000,0.499643,0.500000,0.497033,0.500000,0.498985,0.500000,0.498700,0.500000,0.500610,0.500000,0.497578,0.500000
400,0.488504,0.500000,0.491113,0.500000,0.495824,0.500000,0.486098,0.500000,0.489055,0.500000,0.493118,0.500000,0.499436,0.500000,0.487226,0.500000,0.491736,0.500000,0.492234,0.500000,0.498708,0.500000,0.488486,0.500000,0.494355,0.500000,0.493339,0.500000,0.499530,0.500000,0.489531,0.500000,0.490803,0.500000,0.489653,0.500000,0.494174,0.500000,0.491033,0.500000,0.494898,0.500000,0.494005,0.500000,0.499528,0.500000,0.492752,0.500000
600,0.474198,0.500000,0.477249,0.500000,0.485187,0.500000,0.473500,0.500000,0.479704,0.500000,0.486748,0.500000,0.498263,0.500000,0.476157,0.500000,0.484781,0.500000,0.481197,0.500000,0.492049,0.500000,0.479263,0.500000,0.487647,0.500000,0.486371,0.500000,0.497944,0.500000,0.481154,0.500000,0.483527,0.500000,0.480174,0.500000,0.484973,0.500000,0.481662,0.500000,0.485441,0.500000,0.484524,0.500000,0.497660,0.500000,0.483741,0.500000
800,0.453758,0.500000,0.459225,0.500000,0.468284,0.500000,0.459000,0.500000,0.465350,0.500000,0.474604,0.500000,0.496314,0.500000,0.461302,0.500000,0.471500,0.500000,0.461576,0.500000,0.479639,0.500000,0.465506,0.500000,0.478535,0.500000,0.474814,0.500000,0.495397,0.500000,0.468173,0.500000,0.469732,0.500000,0.464959,0.500000,0.471299,0.500000,0.467900,0.500000,0.472691,0.500000,0.473479,0.500000,0.493969,0.500000,0.469903,0.500000
1000,0.431421,0.500000,0.443572,0.500000,0.450443,0.500000,0.444895,0.500000,0.449772,0.500000,0.462646,0.500000,0.494571,0.500000,0.444985,0.500000,0.453785,0.500000,0.441705,0.500000,0.465335,0.500000,0.450167,0.500000,0.467570,0.500000,0.464059,0.500000,0.492392,0.500000,0.453917,0.500000,0.452689,0.500000,0.447764,0.500000,0.455848,0.500000,0.452144,0.500000,0.456701,0.500000,0.456655,0.500000,0.487350,0.500000,0.454311,0.500000
1200,0.410084,0.500000,0.430100,0.500000,0.432764,0.500000,0.431820,0.500000,0.433551,0.500000,0.448313,0.500000,0.492126,0.500000,0.429593,0.500000,0.435579,0.500000,0.421848,0.500000,0.450701,0.500000,0.436322,0.500000,0.456691,0.500000,0.454141,0.500000,0.489525,0.500000,0.441388,0.500000,0.437530,0.500000,0.432117,0.500000,0.440099,0.500000,0.438921,0.500000,0.440538,0.500000,0.438112,0.500000,0.478682,0.500000,0.441222,0.500000
1400,0.390592,0.500000,0.418258,0.500000,0.416062,0.500000,0.419286,0.500000,0.417358,0.500000,0.434975,0.500000,0.489113,0.500000,0.416213,0.500000,0.418933,0.500000,0.403636,0.500000,0.435428,0.500000,0.424506,0.500000,0.444506,0.500000,0.445446,0.500000,0.485911,0.500000,0.430656,0.500000,0.422195,0.500000,0.417360,0.500000,0.426015,0.500000,0.427013,0.500000,0.425641,0.500000,0.422638,0.500000,0.469183,0.500000,0.428748,0.500000
1600,0.371790,0.500000,0.406448,0.500000,0.399798,0.500000,0.406716,0.500000,0.402569,0.500000,0.421867,0.500000,0.485646,0.500000,0.401947,0.500000,0.401902,0.500000,0.385837,0.500000,0.421248,0.500000,0.412131,0.500000,0.431332,0.500000,0.435860,0.500000,0.481846,0.500000,0.419306,0.500000,0.408243,0.500000,0.405539,0.500000,0.413315,0.500000,0.415059,0.500000,0.411560,0.500000,0.409438,0.500000,0.460224,0.500000,0.416216,0.500000
1800,0.353944,0.500000,0.396427,0.500000,0.383260,0.500000,0.395262,0.500000,0.388452,0.500000,0.408704,0.500000,0.481067,0.500000,0.388375,0.500000,0.385896,0.500000,0.370028,0.500000,0.406557,0.500000,0.401167,0.500000,0.421333,0.500000,0.425431,0.500000,0.477113,0.500000,0.409102,0.500000,0.395799,0.500000,0.395060,0.500000,0.401193,0.500000,0.404124,0.500000,0.399360,0.500000,0.396979,0.500000,0.451977,0.500000,0.405408,0.500000
2000,0.337656,0.500000,0.386790,0.500000,0.366856,0.500000,0.383657,0.500000,0.374298,0.500000,0.397119,0.500000,0.476548,0.500000,0.374570,0.500000,0.370620,0.500000,0.354890,0.500000,0.392016,0.500000,0.389768,0.500000,0.410210,0.500000,0.415023,0.500000,0.472794,0.500000,0.398837,0.500000,0.382474,0.500000,0.384245,0.500000,0.389109,0.500000,0.393526,0.500000,0.388059,0.500000,0.386744,0.500000,0.443315,0.500000,0.395399,0.500000
2200,0.323186,0.500000,0.379560,0.500000,0.352426,0.500000,0.372725,0.500000,0.362909,0.500000,0.386914,0.500000,0.470457,0.500000,0.362559,0.500000,0.356518,0.500000,0.342097,0.500000,0.379695,0.500000,0.379665,0.500000,0.399201,0.500000,0.404970,0.500000,0.468308,0.500000,0.389854,0.500000,0.371090,0.500000,0.374868,0.500000,0.378601,0.500000,0.383935,0.500000,0.377719,0.500000,0.377491,0.500000,0.434891,0.500000,0.386550,0.500000
