step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.357507e+01,6.070713e-01,7.263784e-03
200,unembedder.weight,1.053620e+02,1.550751e+01,1.471831e-01
200,layers.0.qkv_lut.weights,3.711806e+00,3.546833e+00,9.555545e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.951752e-01,2.028048e-03,2.917319e-03
200,layers.0.qkv_lut.log_select_temp,6.950099e-01,1.862705e-03,2.680113e-03
200,layers.0.v_lut.weights,2.505828e+00,2.402876e+00,9.589151e-01
200,layers.0.v_lut.log_soft_score_temp,6.981202e-01,4.973054e-03,7.123492e-03
200,layers.0.v_lut.log_select_temp,6.981013e-01,4.954159e-03,7.096619e-03
200,layers.0.out_proj.weights,4.662346e+00,4.545137e+00,9.748604e-01
200,layers.0.out_proj.log_soft_score_temp,6.973348e-01,4.187644e-03,6.005212e-03
200,layers.0.out_proj.log_select_temp,6.921651e-01,9.820461e-04,1.418803e-03
200,layers.0.residual_lut.weights,4.491570e+00,4.397024e+00,9.789503e-01
200,layers.0.residual_lut.log_soft_score_temp,6.970796e-01,3.932416e-03,5.641273e-03
200,layers.0.residual_lut.log_select_temp,6.972065e-01,4.059315e-03,5.822256e-03
200,layers.0.q_norm.weight,8.022330e+00,2.520728e-02,3.142139e-03
200,layers.0.q_norm.bias,1.410457e-02,1.410457e-02,1.000000e+00
200,layers.0.k_norm.weight,8.021815e+00,2.461416e-02,3.068403e-03
200,layers.0.k_norm.bias,1.514312e-02,1.514312e-02,1.000000e+00
200,layers.1.qkv_lut.weights,3.571341e+00,3.408522e+00,9.544096e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.883191e-01,4.828095e-03,7.014327e-03
200,layers.1.qkv_lut.log_select_temp,6.881233e-01,5.023897e-03,7.300867e-03
200,layers.1.v_lut.weights,2.292732e+00,2.180138e+00,9.508907e-01
200,layers.1.v_lut.log_soft_score_temp,6.938683e-01,7.210970e-04,1.039242e-03
200,layers.1.v_lut.log_select_temp,6.936483e-01,5.010962e-04,7.224068e-04
200,layers.1.out_proj.weights,4.863542e+00,4.744689e+00,9.755624e-01
200,layers.1.out_proj.log_soft_score_temp,6.902532e-01,2.893984e-03,4.192642e-03
200,layers.1.out_proj.log_select_temp,6.880871e-01,5.060077e-03,7.353832e-03
200,layers.1.residual_lut.weights,4.288302e+00,4.191746e+00,9.774839e-01
200,layers.1.residual_lut.log_soft_score_temp,6.952826e-01,2.135396e-03,3.071263e-03
200,layers.1.residual_lut.log_select_temp,6.956105e-01,2.463281e-03,3.541179e-03
200,layers.1.q_norm.weight,8.007708e+00,1.808482e-02,2.258427e-03
200,layers.1.q_norm.bias,1.343221e-02,1.343221e-02,1.000000e+00
200,layers.1.k_norm.weight,8.007514e+00,1.786277e-02,2.230752e-03
200,layers.1.k_norm.bias,1.699377e-02,1.699377e-02,1.000000e+00
200,layers.2.qkv_lut.weights,3.847861e+00,3.691049e+00,9.592469e-01
200,layers.2.qkv_lut.log_soft_score_temp,6.894720e-01,3.675163e-03,5.330402e-03
200,layers.2.qkv_lut.log_select_temp,6.891238e-01,4.023373e-03,5.838389e-03
200,layers.2.v_lut.weights,2.336594e+00,2.225220e+00,9.523347e-01
200,layers.2.v_lut.log_soft_score_temp,6.908473e-01,2.299845e-03,3.329021e-03
200,layers.2.v_lut.log_select_temp,6.906726e-01,2.474546e-03,3.582807e-03
200,layers.2.out_proj.weights,5.206995e+00,5.087893e+00,9.771265e-01
200,layers.2.out_proj.log_soft_score_temp,6.879987e-01,5.148470e-03,7.483256e-03
200,layers.2.out_proj.log_select_temp,6.877369e-01,5.410254e-03,7.866749e-03
200,layers.2.residual_lut.weights,4.180034e+00,4.083369e+00,9.768745e-01
200,layers.2.residual_lut.log_soft_score_temp,6.919090e-01,1.238227e-03,1.789581e-03
200,layers.2.residual_lut.log_select_temp,6.923589e-01,7.883310e-04,1.138616e-03
200,layers.2.q_norm.weight,7.996314e+00,1.090809e-02,1.364140e-03
200,layers.2.q_norm.bias,6.371177e-03,6.371177e-03,1.000000e+00
200,layers.2.k_norm.weight,7.996599e+00,1.101336e-02,1.377255e-03
200,layers.2.k_norm.bias,8.457112e-03,8.457112e-03,1.000000e+00
200,layers.3.qkv_lut.weights,3.652086e+00,3.484204e+00,9.540311e-01
200,layers.3.qkv_lut.log_soft_score_temp,6.900735e-01,3.073692e-03,4.454152e-03
200,layers.3.qkv_lut.log_select_temp,6.897226e-01,3.424585e-03,4.965163e-03
200,layers.3.v_lut.weights,2.375645e+00,2.265494e+00,9.536332e-01
