step,train_loss,val_bpb
200,8.558647,2.261787
400,6.956728,1.991362
600,6.339146,1.889150
800,6.045409,1.831975
1000,5.875434,1.784663
1200,5.731305,1.750016
1400,5.626512,1.722466
1600,5.538296,1.698761
1800,5.469913,1.682876
2000,5.391784,1.664828
2200,5.364352,1.651326
2400,5.323318,1.636741
2600,5.262691,1.623390
2800,5.234519,1.613342
3000,5.200452,1.601716
3200,5.158835,1.592041
3400,5.124520,1.584147
3600,5.101091,1.577686
3800,5.069871,1.566524
4000,5.049332,1.560101
4200,5.018784,1.552354
4400,5.004996,1.547217
4600,4.978621,1.539498
4800,4.984713,1.533634
5000,4.935686,1.527378
5200,4.923191,1.523392
5400,4.902780,1.519527
5600,4.872254,1.514950
5800,4.869248,1.510053
6000,4.855242,1.506347
6200,4.837721,1.502716
6400,4.835104,1.500296
6600,4.813652,1.496716
6800,4.811943,1.494256
7000,4.815617,1.491793
7200,4.800716,1.489496
7400,4.778204,1.488627
7600,4.767576,1.487313
7800,4.767717,1.484873
8000,4.773964,1.483951
