step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497797,0.498162,0.497084,0.497189,0.497163,0.497129,0.498030,0.497705,0.498890,0.498932,0.498163,0.498100,0.499623,0.499512,0.498970,0.498327,0.499614,0.499635,0.499850,0.499854,0.500859,0.500838,0.500195,0.499315,0.499871,0.499838,0.499264,0.499212,0.500310,0.500293,0.500969,0.500099,0.499580,0.499588,0.499571,0.499571,0.500332,0.500321,0.501626,0.500955,0.499889,0.499919,0.499360,0.499341,0.500020,0.499975,0.501788,0.501321
400,0.490999,0.492612,0.487909,0.488523,0.487167,0.487100,0.491757,0.490246,0.496817,0.496766,0.490144,0.489536,0.493534,0.492833,0.496002,0.492532,0.497036,0.497193,0.498434,0.498605,0.506410,0.505800,0.503348,0.497678,0.498666,0.498583,0.496219,0.495661,0.502752,0.502333,0.507093,0.501900,0.498095,0.498084,0.497266,0.497211,0.502689,0.502212,0.510131,0.506475,0.500270,0.500254,0.498483,0.498289,0.501712,0.501451,0.511352,0.509079
600,0.479923,0.483440,0.472521,0.474091,0.471101,0.470691,0.484542,0.479225,0.493555,0.492854,0.477942,0.475431,0.480754,0.478926,0.493291,0.483328,0.490398,0.490943,0.491803,0.492032,0.516131,0.513365,0.509879,0.493578,0.496435,0.495466,0.489549,0.487192,0.508053,0.505610,0.519016,0.504097,0.495493,0.494412,0.491759,0.490914,0.508727,0.506351,0.524764,0.513841,0.499759,0.499413,0.494932,0.493779,0.504072,0.502576,0.526475,0.518650
800,0.465226,0.470923,0.452247,0.454784,0.451385,0.449538,0.478499,0.464663,0.488112,0.486186,0.465388,0.457278,0.465604,0.460430,0.493570,0.471522,0.480964,0.481669,0.480612,0.479983,0.530270,0.522823,0.520811,0.487578,0.492730,0.490155,0.478072,0.472663,0.519211,0.511852,0.536279,0.505271,0.493019,0.489682,0.483742,0.481519,0.520981,0.514674,0.545485,0.522658,0.496977,0.496295,0.485323,0.482543,0.502125,0.497713,0.546497,0.527918
1000,0.448794,0.456976,0.430694,0.433649,0.443652,0.430163,0.479059,0.450295,0.482295,0.478646,0.461166,0.439668,0.457031,0.441505,0.500608,0.457961,0.470753,0.470899,0.468243,0.465796,0.547840,0.532725,0.535791,0.480573,0.488692,0.482760,0.465443,0.455882,0.534959,0.518829,0.553948,0.501525,0.488732,0.483360,0.476352,0.472562,0.536498,0.524789,0.566358,0.525894,0.494382,0.493161,0.472538,0.467885,0.498787,0.490956,0.564454,0.528989
1200,0.434432,0.444865,0.411779,0.414441,0.457886,0.418627,0.483607,0.437650,0.477878,0.472030,0.467691,0.426304,0.461293,0.425911,0.510594,0.446695,0.462512,0.461506,0.458026,0.452126,0.563706,0.537467,0.550158,0.470587,0.485740,0.475592,0.458000,0.442135,0.551842,0.525253,0.568859,0.493888,0.484935,0.476388,0.469843,0.464426,0.555844,0.537016,0.581763,0.520605,0.492783,0.490876,0.460230,0.452951,0.495259,0.483811,0.575771,0.523132
1400,0.421005,0.433167,0.395847,0.396882,0.480139,0.415102,0.489558,0.425191,0.473740,0.465040,0.481540,0.416172,0.477503,0.413113,0.522571,0.436053,0.455342,0.452558,0.449440,0.438392,0.578530,0.539286,0.563692,0.460707,0.483296,0.468838,0.452289,0.428790,0.567068,0.527396,0.580757,0.485197,0.481515,0.469589,0.463761,0.456415,0.575981,0.549464,0.594804,0.513796,0.489866,0.487505,0.449667,0.438505,0.488331,0.472802,0.584559,0.514416
1600,0.408758,0.422471,0.383514,0.381364,0.505230,0.416708,0.499621,0.413607,0.470148,0.457900,0.497786,0.408443,0.499205,0.405499,0.538765,0.427384,0.449120,0.443672,0.443372,0.425650,0.589542,0.535913,0.578032,0.451323,0.480634,0.461827,0.448034,0.415632,0.580519,0.526761,0.591538,0.474590,0.477687,0.462678,0.457658,0.448040,0.593745,0.558767,0.603064,0.502463,0.486228,0.483430,0.442527,0.425887,0.482331,0.461684,0.589517,0.501448
1800,0.398108,0.413201,0.373723,0.366663,0.531539,0.419704,0.508336,0.402280,0.467258,0.451501,0.517114,0.402255,0.524034,0.403093,0.556753,0.418649,0.444554,0.434857,0.439652,0.413660,0.599856,0.531574,0.591221,0.441917,0.478520,0.454896,0.445382,0.402953,0.593072,0.523638,0.602286,0.463706,0.474673,0.455945,0.450491,0.438215,0.611275,0.565867,0.611994,0.490634,0.484164,0.480911,0.437811,0.414292,0.477575,0.451146,0.595380,0.489933
