step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
200,0.496294,0.496247,0.496156,0.496129,0.496096,0.495990,0.496241,0.496177,0.496137,0.496116,0.496097,0.495989,0.496218,0.496172,0.496142,0.496123,0.496100,0.495990,0.496205,0.496164,0.496137,0.496121,0.496095,0.495985,0.496201,0.496158,0.496136,0.496121,0.496096,0.495988,0.496195,0.496155,0.496135,0.496122,0.496095,0.495986
400,0.491763,0.491635,0.485541,0.485485,0.485416,0.484944,0.485901,0.485710,0.485536,0.485518,0.485509,0.484941,0.485820,0.485738,0.485667,0.485654,0.485636,0.484966,0.485805,0.485728,0.485673,0.485661,0.485635,0.484961,0.485808,0.485719,0.485676,0.485659,0.485632,0.484964,0.485799,0.485716,0.485677,0.485661,0.485631,0.484961
600,0.501214,0.501081,0.477057,0.476795,0.468141,0.467305,0.474044,0.473399,0.469189,0.468381,0.468103,0.466977,0.468626,0.468412,0.468263,0.468200,0.468161,0.466954,0.468628,0.468387,0.468301,0.468241,0.468191,0.466951,0.468658,0.468392,0.468313,0.468249,0.468196,0.466955,0.468629,0.468375,0.468300,0.468236,0.468182,0.466951
800,0.504497,0.502781,0.476606,0.476176,0.450616,0.448238,0.466525,0.465069,0.458902,0.454074,0.450503,0.446220,0.446994,0.445959,0.445739,0.445546,0.445444,0.443857,0.447269,0.446356,0.445747,0.445575,0.445533,0.443880,0.446607,0.445971,0.445875,0.445618,0.445540,0.443880,0.446580,0.445942,0.445739,0.445611,0.445505,0.443870
1000,0.496406,0.495121,0.474810,0.474233,0.432264,0.429338,0.461288,0.459491,0.453170,0.447341,0.439934,0.433111,0.440457,0.437190,0.438632,0.434885,0.429002,0.425905,0.438745,0.437133,0.434003,0.431791,0.430974,0.426389,0.438768,0.433058,0.433632,0.431281,0.430716,0.426245,0.436212,0.433596,0.430785,0.430395,0.430147,0.426098
1200,0.483361,0.482789,0.470902,0.470063,0.418833,0.415668,0.458775,0.457812,0.448213,0.441576,0.430581,0.421989,0.435461,0.432784,0.437564,0.432290,0.424309,0.419214,0.436650,0.434481,0.432765,0.428422,0.426824,0.419729,0.439443,0.431522,0.431759,0.427018,0.426795,0.420207,0.435861,0.431110,0.427128,0.424822,0.425349,0.419781
1400,0.473288,0.473233,0.467304,0.466108,0.407772,0.403902,0.455436,0.453788,0.442453,0.436206,0.424449,0.415033,0.434328,0.430640,0.436232,0.430535,0.423528,0.417426,0.431221,0.429983,0.430589,0.426326,0.425381,0.417836,0.441722,0.433436,0.430955,0.425749,0.426252,0.418469,0.436641,0.430556,0.425525,0.423047,0.425051,0.418191
1600,0.462886,0.463401,0.464404,0.462918,0.399603,0.393563,0.453262,0.450525,0.437124,0.431394,0.419312,0.410251,0.431273,0.427364,0.437109,0.431595,0.424292,0.418326,0.430077,0.428762,0.429517,0.425171,0.426403,0.418522,0.442746,0.433423,0.430129,0.424719,0.428121,0.419197,0.438054,0.431202,0.426058,0.422088,0.426945,0.419320
1800,0.454781,0.455644,0.462355,0.460592,0.393606,0.385365,0.451786,0.447416,0.430768,0.425831,0.413121,0.404705,0.427607,0.422641,0.434091,0.428774,0.423202,0.418224,0.426649,0.425238,0.426767,0.423099,0.428467,0.419556,0.439717,0.431700,0.429186,0.424428,0.430393,0.420865,0.435932,0.428453,0.422623,0.419697,0.429161,0.420890
2000,0.449418,0.450906,0.459099,0.456927,0.389811,0.378236,0.449359,0.443979,0.425891,0.421818,0.408660,0.400063,0.422660,0.416460,0.431302,0.426300,0.423408,0.418677,0.423566,0.421796,0.426223,0.422333,0.431156,0.421066,0.435959,0.429285,0.426028,0.422639,0.431796,0.422259,0.433905,0.427753,0.420539,0.417926,0.432058,0.422372
2200,0.444908,0.447104,0.457850,0.455432,0.386966,0.370317,0.446310,0.440224,0.422651,0.418973,0.406986,0.396326,0.418506,0.411358,0.427921,0.423030,0.425000,0.419247,0.422051,0.420350,0.423674,0.420076,0.434088,0.422612,0.434284,0.427353,0.424481,0.421286,0.433624,0.423604,0.435894,0.429909,0.421066,0.417852,0.435967,0.424427
2400,0.441007,0.443848,0.457082,0.454370,0.388062,0.364682,0.443652,0.436833,0.419095,0.416145,0.405686,0.393371,0.415403,0.407638,0.425389,0.421043,0.426551,0.419637,0.421630,0.419522,0.423030,0.419151,0.436319,0.423264,0.432056,0.425932,0.423585,0.421434,0.435589,0.424554,0.436182,0.429928,0.420460,0.417109,0.439193,0.425468
2600,0.438011,0.441343,0.455849,0.452793,0.388892,0.359774,0.440427,0.433540,0.415148,0.413074,0.404599,0.390161,0.410824,0.403312,0.422633,0.418761,0.428339,0.419905,0.420167,0.417152,0.421136,0.417109,0.438374,0.423808,0.430887,0.424900,0.422420,0.420549,0.437566,0.425454,0.435053,0.428691,0.421139,0.416612,0.441136,0.426222
2800,0.435715,0.439087,0.454483,0.451421,0.390026,0.356537,0.438656,0.431639,0.412813,0.411430,0.405145,0.387899,0.409979,0.401020,0.420110,0.416612,0.429309,0.419611,0.418140,0.415230,0.418330,0.414683,0.440166,0.424215,0.429001,0.423147,0.419749,0.418322,0.440061,0.426436,0.434213,0.428203,0.420317,0.415573,0.442514,0.426730
3000,0.433858,0.437022,0.455328,0.452129,0.390267,0.354941,0.437096,0.430017,0.410948,0.409886,0.405732,0.386030,0.407887,0.399192,0.418238,0.414899,0.430729,0.419513,0.416449,0.413151,0.417169,0.413607,0.442513,0.425089,0.428229,0.422536,0.417747,0.416598,0.441857,0.427269,0.430835,0.424997,0.418858,0.413746,0.444488,0.427671
3200,0.430943,0.434468,0.454502,0.451140,0.392089,0.353831,0.436540,0.429418,0.409376,0.408976,0.406494,0.384916,0.406995,0.398221,0.415356,0.412703,0.430838,0.418630,0.414637,0.411376,0.413842,0.410702,0.442758,0.424248,0.427088,0.421931,0.416264,0.415365,0.442199,0.426802,0.428566,0.424064,0.417598,0.411738,0.445308,0.427085
3400,0.429397,0.433043,0.453316,0.449880,0.393161,0.352990,0.435185,0.427775,0.408083,0.407963,0.406307,0.383406,0.406284,0.396668,0.414062,0.411426,0.430709,0.417523,0.413527,0.410146,0.412813,0.409739,0.443049,0.423326,0.426362,0.421275,0.414840,0.413823,0.442914,0.426527,0.425681,0.422144,0.416663,0.410235,0.445752,0.427168
