step,train_loss,val_bpb
200,8.524429,2.249434
400,6.910244,1.977366
600,6.302238,1.878314
800,6.010843,1.820159
1000,5.837877,1.773776
1200,5.695268,1.738388
1400,5.590814,1.711093
1600,5.501463,1.688389
1800,5.435648,1.672015
2000,5.358047,1.655725
2200,5.332852,1.640808
2400,5.293089,1.628426
2600,5.235183,1.616990
2800,5.207912,1.606558
3000,5.175908,1.595922
3200,5.135796,1.587529
3400,5.102872,1.579740
3600,5.081733,1.573290
3800,5.051225,1.562100
4000,5.031886,1.557725
4200,5.003839,1.549272
4400,4.990000,1.543345
4600,4.966120,1.537029
4800,4.972726,1.531476
5000,4.924756,1.525369
5200,4.913198,1.521477
5400,4.894947,1.517768
5600,4.865201,1.514559
5800,4.861240,1.508841
6000,4.849407,1.504726
6200,4.832265,1.502269
6400,4.830281,1.499874
6600,4.809961,1.495974
6800,4.808092,1.494362
7000,4.811962,1.492875
7200,4.799704,1.490011
7400,4.777181,1.488340
7600,4.766501,1.486719
7800,4.766639,1.485152
8000,4.772625,1.484294
