step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498277,0.498697,0.497297,0.497335,0.497782,0.497686,0.498415,0.497934,0.500324,0.499538,0.498248,0.498192,0.499639,0.499456,0.499394,0.498636,0.500575,0.499695,0.499116,0.499071,0.500203,0.500141,0.500223,0.499287,0.499681,0.499108,0.499608,0.499571,0.500322,0.500297,0.501089,0.500184,0.500069,0.499332,0.499358,0.499367,0.500074,0.500029,0.501393,0.500704,0.499864,0.499710,0.499666,0.499659,0.499937,0.499925,0.501773,0.501293
400,0.492219,0.494586,0.487810,0.488291,0.488292,0.488071,0.493386,0.491323,0.504289,0.501185,0.491918,0.491115,0.496614,0.495355,0.498205,0.494051,0.503468,0.500209,0.494575,0.493819,0.499981,0.498868,0.501907,0.496599,0.501717,0.498466,0.495408,0.495080,0.499481,0.498675,0.505312,0.499735,0.501343,0.499132,0.497813,0.497544,0.501701,0.501340,0.508211,0.503937,0.500217,0.499587,0.499050,0.498957,0.501985,0.501833,0.510854,0.508187
600,0.483629,0.489066,0.472824,0.474380,0.473314,0.472646,0.488535,0.482493,0.510384,0.502197,0.481041,0.478132,0.491840,0.487502,0.498393,0.486704,0.508274,0.499014,0.484410,0.481474,0.496697,0.493227,0.505108,0.490237,0.506887,0.497377,0.485998,0.484687,0.496066,0.493069,0.513348,0.496759,0.504698,0.498489,0.494114,0.492786,0.505846,0.504326,0.520052,0.507219,0.501629,0.499510,0.495992,0.495738,0.506735,0.505721,0.524558,0.515607
800,0.472521,0.480982,0.452842,0.455577,0.455347,0.452983,0.485716,0.471438,0.519216,0.502652,0.470217,0.462206,0.488172,0.476241,0.502958,0.477679,0.514883,0.495844,0.471242,0.463761,0.492205,0.483656,0.510975,0.481069,0.516216,0.495908,0.473358,0.469787,0.493141,0.485988,0.526464,0.491615,0.507553,0.495415,0.487342,0.484436,0.512788,0.508563,0.535972,0.508697,0.503527,0.498500,0.488247,0.487598,0.512219,0.509096,0.541692,0.520876
1000,0.463257,0.473574,0.432896,0.436197,0.445363,0.435830,0.487996,0.460063,0.529295,0.501458,0.463767,0.446634,0.492197,0.465855,0.513574,0.467958,0.522730,0.490968,0.460800,0.445074,0.487968,0.472039,0.522315,0.470485,0.527055,0.493255,0.460630,0.453414,0.491491,0.478677,0.540602,0.482606,0.509587,0.490956,0.478823,0.473709,0.521645,0.512857,0.553759,0.506185,0.505214,0.496872,0.477844,0.476529,0.516504,0.509630,0.556080,0.518625
1200,0.455151,0.466253,0.415240,0.418237,0.450908,0.424678,0.493142,0.449983,0.535984,0.497661,0.464790,0.434538,0.504716,0.460376,0.526761,0.459697,0.530861,0.485121,0.457398,0.429220,0.485376,0.459550,0.531566,0.459257,0.536935,0.489878,0.450186,0.437998,0.490472,0.470236,0.555064,0.472186,0.510231,0.483683,0.469747,0.462357,0.530029,0.515637,0.567061,0.498903,0.505384,0.491931,0.467653,0.465118,0.519886,0.508735,0.566245,0.511568
1400,0.447765,0.459468,0.399519,0.400950,0.465386,0.419928,0.498063,0.439442,0.544054,0.494429,0.472344,0.423760,0.523642,0.456419,0.541431,0.451795,0.539129,0.479698,0.460131,0.414153,0.487208,0.447786,0.541588,0.448073,0.545670,0.484332,0.443647,0.424390,0.490600,0.461389,0.568827,0.461725,0.512213,0.479241,0.460814,0.450723,0.536862,0.515894,0.579221,0.489752,0.505764,0.486850,0.457400,0.453258,0.520278,0.504821,0.573730,0.501374
1600,0.440873,0.452507,0.387406,0.385919,0.485106,0.418682,0.503707,0.427696,0.550383,0.490703,0.482366,0.416452,0.545388,0.456621,0.557033,0.443653,0.547953,0.472516,0.467776,0.402181,0.494820,0.437282,0.554558,0.437686,0.555930,0.479336,0.438514,0.411308,0.491090,0.451766,0.582088,0.451743,0.515483,0.474641,0.451509,0.438550,0.542962,0.514772,0.589135,0.478088,0.503931,0.480405,0.448376,0.441672,0.518020,0.497230,0.578764,0.489019
1800,0.434915,0.446317,0.379103,0.372817,0.507024,0.420855,0.509784,0.416734,0.555970,0.486542,0.495664,0.410409,0.568605,0.457265,0.572640,0.436648,0.556282,0.466094,0.477714,0.392463,0.504128,0.429007,0.566525,0.428056,0.563858,0.473337,0.435700,0.400389,0.493566,0.442528,0.594436,0.441120,0.515313,0.468246,0.442831,0.426749,0.546402,0.511038,0.596556,0.466848,0.505458,0.476219,0.439458,0.430636,0.515943,0.490580,0.583547,0.476212
2000,0.429656,0.440515,0.373646,0.360721,0.529804,0.423935,0.516802,0.406802,0.562120,0.482682,0.508511,0.404121,0.593561,0.459071,0.585706,0.428156,0.564497,0.459096,0.487920,0.382547,0.515001,0.419841,0.578598,0.419315,0.571154,0.467268,0.436040,0.389666,0.497955,0.433373,0.604527,0.429207,0.517581,0.463693,0.435592,0.415254,0.549793,0.506892,0.602888,0.455388,0.506184,0.470938,0.430843,0.419098,0.511695,0.482161,0.587584,0.464240
2200,0.425241,0.435295,0.371949,0.350892,0.554820,0.426642,0.522704,0.395956,0.566633,0.476984,0.524661,0.400988,0.620609,0.462709,0.600201,0.420729,0.572011,0.452217,0.501790,0.375062,0.531361,0.414149,0.591728,0.410582,0.580250,0.461294,0.437833,0.380332,0.505711,0.426651,0.617688,0.419501,0.520306,0.458716,0.429262,0.403985,0.551619,0.500935,0.609180,0.443817,0.508044,0.466466,0.423152,0.408461,0.505657,0.471632,0.590746,0.451684
