step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498030,0.498422,0.497349,0.497388,0.497775,0.497638,0.498268,0.497807,0.501142,0.500164,0.498058,0.497979,0.499630,0.499460,0.499389,0.498658,0.500105,0.499470,0.499262,0.499267,0.500423,0.500385,0.500309,0.499430,0.499823,0.499196,0.498762,0.498712,0.500071,0.500012,0.500893,0.500006,0.499492,0.498970,0.499302,0.499288,0.500200,0.500178,0.501333,0.500617,0.499218,0.499115,0.499412,0.499425,0.499871,0.499848,0.501787,0.501313
400,0.493528,0.495664,0.488128,0.488673,0.488295,0.488073,0.493120,0.491086,0.505988,0.502718,0.491865,0.490998,0.495455,0.494503,0.496591,0.492817,0.501591,0.498625,0.495595,0.495059,0.502258,0.501570,0.502539,0.496959,0.502348,0.498864,0.494169,0.493589,0.499753,0.498885,0.505711,0.499795,0.500761,0.498507,0.497513,0.497242,0.501864,0.501317,0.508973,0.504530,0.499891,0.498989,0.498320,0.498235,0.501531,0.501262,0.511289,0.508734
600,0.486314,0.491065,0.472730,0.474203,0.473989,0.473383,0.488044,0.481992,0.513278,0.504016,0.481008,0.478130,0.487173,0.484475,0.493781,0.483264,0.504564,0.494981,0.485201,0.483436,0.502425,0.499275,0.507272,0.491733,0.508957,0.498423,0.485508,0.482927,0.497658,0.494868,0.515353,0.498497,0.502746,0.497391,0.492372,0.491900,0.505884,0.503339,0.522524,0.510186,0.501063,0.498893,0.494609,0.494391,0.505030,0.503703,0.525357,0.516703
800,0.477863,0.485312,0.452600,0.455109,0.457021,0.454569,0.484324,0.470053,0.522967,0.504918,0.468374,0.461254,0.477746,0.469843,0.495999,0.471188,0.509739,0.488930,0.470873,0.466649,0.502847,0.494425,0.516313,0.483968,0.519048,0.496583,0.473651,0.467516,0.493375,0.487406,0.527845,0.494016,0.506121,0.495037,0.485053,0.483948,0.513228,0.507498,0.538895,0.513084,0.500663,0.497626,0.487289,0.486871,0.509980,0.506078,0.542118,0.521990
1000,0.468097,0.477215,0.431083,0.434074,0.450818,0.439420,0.485868,0.458689,0.532758,0.504193,0.462636,0.445378,0.478541,0.457327,0.505767,0.460057,0.515664,0.481373,0.457527,0.448419,0.502454,0.485418,0.528877,0.475423,0.530789,0.494091,0.460745,0.449551,0.487239,0.476046,0.541979,0.485640,0.508527,0.491102,0.474578,0.473194,0.521485,0.510462,0.555677,0.510460,0.499881,0.495589,0.479105,0.477817,0.514073,0.506541,0.556558,0.519147
1200,0.462121,0.472144,0.412159,0.414739,0.460085,0.432426,0.490988,0.448975,0.543509,0.502488,0.465849,0.433743,0.489566,0.449590,0.517819,0.451241,0.523888,0.475636,0.448187,0.432162,0.503276,0.475315,0.540180,0.466797,0.543195,0.490875,0.452572,0.433680,0.483351,0.465250,0.554110,0.475905,0.510229,0.485306,0.465177,0.463263,0.529960,0.512497,0.567196,0.502567,0.498571,0.493038,0.471817,0.469949,0.518116,0.507109,0.566367,0.512035
1400,0.456327,0.466580,0.396802,0.397671,0.478035,0.430647,0.496069,0.437348,0.552948,0.500273,0.473379,0.424129,0.507902,0.445726,0.531700,0.442354,0.532473,0.469454,0.443998,0.417322,0.506796,0.465922,0.552324,0.457229,0.555941,0.487924,0.448962,0.419359,0.481651,0.454159,0.566461,0.465086,0.512555,0.480455,0.454320,0.451581,0.535706,0.511212,0.578229,0.491973,0.497990,0.490101,0.462870,0.460112,0.517192,0.502645,0.573220,0.500975
1600,0.450444,0.460754,0.384773,0.382086,0.500342,0.433379,0.502936,0.426344,0.560784,0.496970,0.484608,0.416994,0.529961,0.446087,0.547702,0.434244,0.540650,0.463209,0.444210,0.403713,0.512007,0.455323,0.566943,0.447915,0.566358,0.482108,0.447254,0.405857,0.480218,0.443091,0.578510,0.454165,0.513201,0.473989,0.444327,0.440598,0.540531,0.508240,0.585789,0.480642,0.495785,0.485581,0.455258,0.451319,0.517691,0.498274,0.577571,0.488722
1800,0.444621,0.454560,0.376946,0.368820,0.524423,0.438777,0.510424,0.415835,0.567891,0.492937,0.497991,0.411699,0.553748,0.447090,0.564357,0.426500,0.549245,0.457466,0.448238,0.393166,0.520780,0.447578,0.580748,0.438593,0.575814,0.475704,0.448854,0.394194,0.482647,0.434007,0.589775,0.443037,0.514876,0.467355,0.434244,0.428881,0.542835,0.502479,0.593457,0.468676,0.494567,0.481466,0.446699,0.441494,0.516435,0.492284,0.582162,0.475360
2000,0.440685,0.450254,0.372518,0.356918,0.548284,0.443147,0.517376,0.405112,0.574088,0.488812,0.512616,0.407585,0.578963,0.450515,0.578238,0.418401,0.557600,0.451655,0.454521,0.382930,0.530752,0.439065,0.592130,0.429404,0.584144,0.470190,0.453915,0.383391,0.487497,0.424916,0.601297,0.432660,0.517501,0.462343,0.424855,0.417320,0.544950,0.496876,0.600493,0.457495,0.494785,0.478862,0.438728,0.431920,0.513967,0.485690,0.585358,0.461980
2200,0.437178,0.446355,0.371222,0.346522,0.573907,0.448114,0.525823,0.394569,0.579110,0.484137,0.528123,0.404253,0.605600,0.455405,0.593311,0.410956,0.568187,0.445221,0.462771,0.373767,0.543533,0.432064,0.604502,0.421230,0.592275,0.464344,0.461725,0.374161,0.494698,0.416470,0.612851,0.422295,0.520083,0.456316,0.414792,0.405227,0.545948,0.489475,0.606810,0.446692,0.494212,0.475485,0.430501,0.422293,0.510750,0.477796,0.588333,0.449223
2400,0.433879,0.442474,0.373830,0.337128,0.600330,0.453945,0.534229,0.385397,0.585637,0.480949,0.542274,0.399562,0.632306,0.459315,0.607344,0.402939,0.577593,0.439986,0.472791,0.366161,0.557030,0.423866,0.615822,0.411746,0.597858,0.457204,0.472768,0.367407,0.504650,0.409540,0.622655,0.411537,0.523632,0.451299,0.407714,0.395077,0.547726,0.482449,0.611844,0.435547,0.493551,0.471356,0.422874,0.412991,0.507359,0.469908,0.592576,0.437675
2600,0.430734,0.438670,0.378473,0.329734,0.625600,0.458233,0.542013,0.376763,0.589081,0.475706,0.557134,0.395886,0.659622,0.463095,0.620349,0.396048,0.585842,0.434372,0.482053,0.358318,0.570922,0.416888,0.628292,0.404380,0.604705,0.451300,0.482472,0.361356,0.516055,0.403602,0.631174,0.401153,0.527617,0.446561,0.401442,0.386036,0.550281,0.475817,0.619246,0.425789,0.493800,0.468334,0.415824,0.404346,0.505477,0.462880,0.596391,0.425565
2800,0.427141,0.434231,0.383573,0.323071,0.651172,0.460456,0.548595,0.367489,0.593929,0.471848,0.571429,0.392317,0.687958,0.466464,0.631352,0.388336,0.593642,0.428783,0.492959,0.352830,0.588604,0.412240,0.639587,0.396473,0.608508,0.444889,0.491607,0.354716,0.528555,0.398565,0.640531,0.391048,0.529622,0.440867,0.396950,0.378042,0.553034,0.469389,0.625824,0.415485,0.493461,0.465062,0.411294,0.398188,0.504075,0.456278,0.600510,0.415016
