step,train_loss,val_bpb
200,8.532039,2.251450
400,6.912703,1.975994
600,6.298505,1.877812
800,6.011728,1.822455
1000,5.845420,1.776044
1200,5.706084,1.742481
1400,5.604121,1.714505
1600,5.515439,1.693565
1800,5.448681,1.676909
2000,5.371521,1.658395
2200,5.343905,1.643793
2400,5.301868,1.630244
2600,5.241869,1.618014
2800,5.213301,1.607067
3000,5.179100,1.596673
3200,5.138610,1.586161
3400,5.104428,1.578749
3600,5.080872,1.571824
3800,5.050480,1.560834
4000,5.028157,1.554850
4200,4.999012,1.547390
4400,4.985176,1.540075
4600,4.960210,1.534172
4800,4.967104,1.528558
5000,4.918006,1.520865
5200,4.903862,1.517250
5400,4.885589,1.513698
5600,4.855658,1.509221
5800,4.850814,1.504362
6000,4.838447,1.501194
6200,4.820309,1.498349
6400,4.817223,1.495031
6600,4.796971,1.491630
6800,4.794313,1.490196
7000,4.798793,1.487050
7200,4.784418,1.485377
7400,4.762480,1.482936
7600,4.751673,1.482135
7800,4.751919,1.480498
8000,4.758559,1.478607
