step,train_loss,val_bpb
200,13.731981,3.479554
400,9.087674,2.324209
600,7.449040,2.169118
800,6.931068,2.087701
1000,6.643181,2.004834
1200,6.456083,1.966414
1400,6.347147,1.938851
1600,6.263243,1.919863
1800,6.201931,1.904314
2000,6.136626,1.888780
2200,6.112549,1.877652
2400,6.086187,1.864318
2600,6.024949,1.854313
2800,6.004245,1.844822
3000,5.968587,1.834304
3200,5.930933,1.825634
3400,5.918019,1.822229
3600,5.895989,1.814821
3800,5.870012,1.807322
4000,5.851003,1.802212
4200,5.836559,1.800324
4400,5.822677,1.792904
