step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,8.357531e+01,6.455472e-01,7.724138e-03
200,unembedder.weight,1.055403e+02,1.652196e+01,1.565465e-01
200,layers.0.qk_lut.weights,3.539520e+00,3.386142e+00,9.566671e-01
200,layers.0.qk_lut.log_soft_score_temp,6.976764e-01,4.529238e-03,6.491889e-03
200,layers.0.qk_lut.log_select_temp,6.967934e-01,3.646195e-03,5.232821e-03
200,layers.0.v_lut.weights,2.589149e+00,2.459372e+00,9.498764e-01
200,layers.0.v_lut.log_soft_score_temp,6.997087e-01,6.561518e-03,9.377499e-03
200,layers.0.v_lut.log_select_temp,6.996335e-01,6.486356e-03,9.271077e-03
200,layers.0.out_proj.weights,4.427317e+00,4.291414e+00,9.693035e-01
200,layers.0.out_proj.log_soft_score_temp,6.985446e-01,5.397439e-03,7.726692e-03
200,layers.0.out_proj.log_select_temp,6.987393e-01,5.592108e-03,8.003139e-03
200,layers.0.residual_lut.weights,7.087768e+00,6.909933e+00,9.749096e-01
200,layers.0.residual_lut.log_soft_score_temp,6.974719e-01,4.324675e-03,6.200501e-03
200,layers.0.residual_lut.log_select_temp,6.979005e-01,4.753292e-03,6.810845e-03
200,layers.0.q_norm.weight,8.027843e+00,3.006055e-02,3.744536e-03
200,layers.0.q_norm.bias,1.860692e-02,1.860692e-02,1.000000e+00
200,layers.0.k_norm.weight,8.027145e+00,2.921867e-02,3.639983e-03
200,layers.0.k_norm.bias,2.199100e-02,2.199100e-02,1.000000e+00
200,layers.1.qk_lut.weights,3.506183e+00,3.356276e+00,9.572450e-01
200,layers.1.qk_lut.log_soft_score_temp,6.924104e-01,7.367730e-04,1.064070e-03
200,layers.1.qk_lut.log_select_temp,6.943921e-01,1.244903e-03,1.792795e-03
200,layers.1.v_lut.weights,2.563226e+00,2.433019e+00,9.492021e-01
200,layers.1.v_lut.log_soft_score_temp,6.964427e-01,3.295481e-03,4.731877e-03
200,layers.1.v_lut.log_select_temp,6.963886e-01,3.241420e-03,4.654614e-03
