step,train_loss,val_bpb
200,9.439224,2.617142
400,7.687286,2.170776
600,6.877774,2.025597
800,6.445233,1.937909
1000,6.216716,1.882772
1200,6.051663,1.845647
1400,5.943169,1.815697
1600,5.849868,1.792938
1800,5.775942,1.775731
2000,5.697957,1.756710
2200,5.666878,1.742347
2400,5.626741,1.729615
2600,5.564046,1.714784
2800,5.538236,1.705766
3000,5.503172,1.695780
3200,5.464510,1.686967
3400,5.435466,1.679257
3600,5.413873,1.673375
3800,5.384551,1.665103
4000,5.366384,1.659718
4200,5.342556,1.651591
4400,5.330053,1.646000
4600,5.304710,1.641697
4800,5.314023,1.636971
5000,5.270324,1.629806
5200,5.258535,1.626161
5400,5.241534,1.622999
5600,5.216605,1.618203
5800,5.215636,1.614771
