step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497762,0.497934,0.498051,0.498049,0.496756,0.496732,0.498935,0.498831,0.498998,0.499008,0.499600,0.499581,0.499251,0.499300,0.499064,0.499068,0.499826,0.499752,0.499421,0.499447,0.499009,0.499042,0.499572,0.499553,0.499676,0.499620,0.499155,0.499163,0.499907,0.499847,0.499141,0.499251,0.499049,0.499059,0.499785,0.499745
400,0.492354,0.493551,0.496435,0.496416,0.487851,0.488511,0.498539,0.496208,0.496750,0.497043,0.497615,0.497943,0.498207,0.497765,0.498319,0.498457,0.500342,0.500033,0.498678,0.498021,0.497067,0.497404,0.496736,0.496649,0.499525,0.498548,0.497863,0.498073,0.498789,0.498303,0.498790,0.497881,0.498030,0.498132,0.499968,0.499705
600,0.482180,0.485391,0.494289,0.494222,0.473328,0.476292,0.503375,0.493567,0.491836,0.492399,0.493991,0.494897,0.498368,0.494114,0.496136,0.496515,0.501550,0.500256,0.500705,0.495132,0.493406,0.494191,0.492122,0.492001,0.501515,0.496493,0.494724,0.495270,0.495969,0.494368,0.500643,0.495306,0.494845,0.495076,0.499210,0.498613
800,0.469074,0.473325,0.489891,0.489544,0.454039,0.459386,0.512255,0.490930,0.485524,0.485912,0.489248,0.490086,0.503056,0.489633,0.492349,0.492838,0.507737,0.502271,0.507074,0.492280,0.487717,0.488772,0.489156,0.486618,0.506909,0.493638,0.489442,0.490021,0.495275,0.489573,0.507177,0.491489,0.490094,0.489561,0.497540,0.496372
1000,0.458991,0.460628,0.484492,0.482998,0.434966,0.441458,0.524825,0.488640,0.479543,0.478765,0.485149,0.484185,0.512347,0.484513,0.488181,0.488071,0.519355,0.506301,0.518752,0.488292,0.481430,0.481939,0.492957,0.482934,0.515941,0.489489,0.483296,0.482426,0.498614,0.485182,0.517193,0.487749,0.485725,0.482324,0.496087,0.493551
1200,0.453722,0.449745,0.479110,0.475195,0.418779,0.424382,0.537495,0.486790,0.475254,0.472135,0.483987,0.478185,0.524904,0.480217,0.484605,0.482849,0.532802,0.510160,0.533614,0.485341,0.475790,0.474452,0.502559,0.481146,0.527363,0.484327,0.479667,0.475335,0.505752,0.481598,0.531160,0.486037,0.485888,0.476973,0.496016,0.490637
1400,0.453300,0.442178,0.475034,0.466580,0.410499,0.410368,0.551098,0.484963,0.472916,0.466881,0.486938,0.473477,0.538114,0.477265,0.481916,0.477746,0.550624,0.515171,0.550314,0.482505,0.471384,0.466660,0.516592,0.480507,0.541940,0.483241,0.478667,0.469079,0.517388,0.477261,0.545881,0.483148,0.489287,0.472222,0.497197,0.487535
1600,0.455896,0.434388,0.472607,0.457665,0.407775,0.396201,0.564718,0.483477,0.472334,0.462034,0.495283,0.468743,0.554150,0.474701,0.480627,0.472146,0.568563,0.518150,0.566677,0.479889,0.468872,0.459146,0.534131,0.481974,0.555982,0.480134,0.479600,0.462392,0.530314,0.472409,0.562101,0.481879,0.496168,0.468708,0.500457,0.484370
1800,0.460396,0.427959,0.471848,0.449123,0.413465,0.385449,0.579257,0.482638,0.473300,0.458299,0.508935,0.467391,0.570175,0.472640,0.480629,0.466974,0.588136,0.521085,0.584656,0.478275,0.468815,0.452603,0.552109,0.483224,0.573694,0.479736,0.483562,0.457224,0.544414,0.467767,0.580400,0.481506,0.505720,0.466365,0.504494,0.481160
