step,train_loss,val_bpb
200,8.528991,2.250973
400,6.914814,1.978285
600,6.299427,1.878115
800,6.007826,1.821130
1000,5.834399,1.772825
1200,5.689283,1.738449
1400,5.585832,1.709555
1600,5.494677,1.686147
1800,5.425541,1.669713
2000,5.344065,1.652231
2200,5.317094,1.636485
2400,5.275237,1.622975
2600,5.214204,1.610416
2800,5.186054,1.598916
3000,5.149990,1.588875
3200,5.107084,1.576798
3400,5.071390,1.569865
3600,5.048613,1.561919
3800,5.016271,1.551014
4000,4.996480,1.544996
4200,4.964558,1.536455
4400,4.950401,1.529994
4600,4.922339,1.522548
4800,4.927781,1.516705
5000,4.877672,1.508961
5200,4.862880,1.504727
5400,4.844495,1.499963
5600,4.810722,1.495667
5800,4.808198,1.490365
6000,4.792985,1.485906
6200,4.774763,1.483186
6400,4.769747,1.480235
6600,4.747907,1.475489
6800,4.744798,1.472754
7000,4.747943,1.470464
7200,4.734526,1.468855
7400,4.711152,1.466806
7600,4.698479,1.465301
7800,4.698588,1.462538
8000,4.704216,1.462489
