step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498439,0.498703,0.497745,0.497781,0.498510,0.498369,0.498224,0.497705,0.501212,0.500142,0.498779,0.498653,0.500109,0.499994,0.499290,0.498389,0.500555,0.499734,0.499355,0.499268,0.500504,0.500439,0.500460,0.499294,0.499911,0.499216,0.499615,0.499600,0.500568,0.500552,0.501304,0.500448,0.499651,0.499509,0.499797,0.499786,0.500780,0.500771,0.501339,0.500772,0.500040,0.499985,0.499773,0.499771,0.500283,0.500276,0.501083,0.500616
400,0.495993,0.497432,0.488253,0.488560,0.488533,0.488270,0.493340,0.490790,0.506513,0.501984,0.492464,0.491465,0.496473,0.495595,0.498018,0.493250,0.505197,0.500346,0.495518,0.494578,0.500940,0.500239,0.503008,0.496833,0.501445,0.498283,0.497241,0.497130,0.503394,0.502794,0.507655,0.502228,0.501451,0.499755,0.499595,0.499445,0.505362,0.505174,0.508171,0.504842,0.500757,0.500391,0.499809,0.499817,0.502060,0.501936,0.506097,0.503503
600,0.493043,0.496278,0.473314,0.474197,0.473136,0.472421,0.489591,0.481795,0.515605,0.503896,0.481566,0.478229,0.487982,0.485411,0.499570,0.485351,0.514718,0.500421,0.486301,0.482652,0.498931,0.496194,0.509480,0.491752,0.504318,0.495127,0.489833,0.489102,0.509041,0.506121,0.518710,0.502954,0.506087,0.500780,0.495710,0.494720,0.513917,0.512374,0.519026,0.509205,0.503570,0.500719,0.499338,0.499344,0.508747,0.507717,0.512477,0.505935
800,0.489525,0.494454,0.454979,0.456324,0.455252,0.452310,0.489658,0.470402,0.529284,0.506090,0.468209,0.459974,0.476471,0.469270,0.507721,0.475277,0.531189,0.500558,0.473759,0.464307,0.497765,0.489378,0.522092,0.485232,0.512301,0.491708,0.477972,0.475579,0.519890,0.512210,0.537433,0.504513,0.510489,0.499344,0.488025,0.485285,0.525862,0.521393,0.536456,0.514872,0.505420,0.499439,0.497046,0.497177,0.520492,0.516767,0.520518,0.507888
1000,0.486286,0.491988,0.436631,0.437464,0.450800,0.435788,0.497539,0.460076,0.544673,0.507043,0.462056,0.441487,0.470992,0.452335,0.523468,0.466004,0.549564,0.499188,0.466375,0.447097,0.498258,0.480225,0.540373,0.478780,0.524388,0.488319,0.466764,0.461616,0.535991,0.521456,0.560382,0.504772,0.518496,0.498132,0.477627,0.472347,0.539847,0.530213,0.557698,0.518972,0.506251,0.496443,0.493871,0.493930,0.534874,0.527477,0.528763,0.508948
1200,0.483380,0.489520,0.422672,0.421221,0.465030,0.425379,0.507755,0.450554,0.558975,0.507218,0.469416,0.427954,0.479592,0.440433,0.542820,0.458362,0.570275,0.498588,0.467923,0.433249,0.501320,0.470419,0.560983,0.472190,0.536310,0.485423,0.457804,0.448507,0.553619,0.530250,0.585420,0.504320,0.525493,0.495443,0.470113,0.459876,0.552362,0.536203,0.579700,0.519739,0.506673,0.492040,0.490241,0.490153,0.548800,0.536179,0.535688,0.509178
1400,0.480169,0.486280,0.412482,0.407181,0.486974,0.423700,0.519612,0.441282,0.572539,0.505293,0.483043,0.418053,0.497367,0.431922,0.564344,0.452506,0.591021,0.495979,0.474339,0.420151,0.506060,0.458481,0.582478,0.466610,0.549669,0.482525,0.450557,0.436417,0.570229,0.536938,0.610747,0.502676,0.535127,0.493858,0.464847,0.448562,0.565138,0.540370,0.600804,0.518446,0.510724,0.488676,0.485666,0.485503,0.560337,0.541799,0.541262,0.508887
1600,0.477287,0.482818,0.406274,0.394394,0.512552,0.426098,0.533467,0.432247,0.586824,0.504779,0.499350,0.410959,0.520983,0.427320,0.588458,0.448377,0.612503,0.493856,0.485527,0.408993,0.517810,0.448906,0.607527,0.461231,0.565183,0.480320,0.443849,0.423393,0.586589,0.541448,0.637465,0.498600,0.546233,0.491144,0.464475,0.439150,0.575598,0.541051,0.622738,0.515113,0.514963,0.485814,0.481504,0.481141,0.569879,0.545033,0.546283,0.508306
1800,0.474565,0.479387,0.403798,0.383527,0.539053,0.430971,0.547762,0.423488,0.601594,0.504212,0.519587,0.405998,0.544906,0.425745,0.615283,0.444949,0.635203,0.491939,0.501352,0.400300,0.529824,0.438530,0.632931,0.456205,0.582367,0.478387,0.440678,0.412798,0.602325,0.544818,0.663389,0.493425,0.559999,0.490421,0.463235,0.428964,0.584027,0.539340,0.642973,0.509116,0.520076,0.482520,0.478231,0.477533,0.579909,0.548261,0.550076,0.507480
