step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,1.448204e+02,1.033136e+00,7.133917e-03
200,unembedder.weight,1.053586e+02,1.553618e+01,1.474600e-01
200,layers.0.qk_lut.weights,3.593601e+00,3.442188e+00,9.578658e-01
200,layers.0.qk_lut.log_soft_score_temp,6.962745e-01,3.127337e-03,4.491528e-03
200,layers.0.qk_lut.log_select_temp,6.957446e-01,2.597392e-03,3.733255e-03
200,layers.0.v_lut.weights,3.548702e+00,3.359004e+00,9.465443e-01
200,layers.0.v_lut.log_soft_score_temp,6.976669e-01,4.519701e-03,6.478308e-03
200,layers.0.v_lut.log_select_temp,6.975958e-01,4.448593e-03,6.377035e-03
200,layers.0.out_proj.weights,7.838760e+00,7.590075e+00,9.682750e-01
200,layers.0.out_proj.log_soft_score_temp,6.961325e-01,2.985299e-03,4.288406e-03
200,layers.0.out_proj.log_select_temp,6.964143e-01,3.267109e-03,4.691330e-03
200,layers.0.residual_lut.weights,4.325241e+00,4.229876e+00,9.779515e-01
200,layers.0.residual_lut.log_soft_score_temp,6.967048e-01,3.557622e-03,5.106356e-03
200,layers.0.residual_lut.log_select_temp,6.977472e-01,4.599988e-03,6.592629e-03
200,layers.0.q_norm.weight,8.020471e+00,2.379265e-02,2.966491e-03
200,layers.0.q_norm.bias,1.448448e-02,1.448448e-02,1.000000e+00
200,layers.0.k_norm.weight,8.020350e+00,2.353304e-02,2.934167e-03
200,layers.0.k_norm.bias,1.591587e-02,1.591587e-02,1.000000e+00
200,layers.1.qk_lut.weights,3.582227e+00,3.438421e+00,9.598557e-01
200,layers.1.qk_lut.log_soft_score_temp,6.907256e-01,2.421558e-03,3.505817e-03
200,layers.1.qk_lut.log_select_temp,6.928635e-01,2.837181e-04,4.094863e-04
200,layers.1.v_lut.weights,3.730512e+00,3.552553e+00,9.522964e-01
200,layers.1.v_lut.log_soft_score_temp,6.955923e-01,2.445102e-03,3.515136e-03
200,layers.1.v_lut.log_select_temp,6.958450e-01,2.697825e-03,3.877049e-03
200,layers.1.out_proj.weights,8.433928e+00,8.193205e+00,9.714577e-01
200,layers.1.out_proj.log_soft_score_temp,6.929290e-01,2.182126e-04,3.149134e-04
200,layers.1.out_proj.log_select_temp,6.931596e-01,1.245737e-05,1.797186e-05
200,layers.1.residual_lut.weights,4.177526e+00,4.080936e+00,9.768788e-01
200,layers.1.residual_lut.log_soft_score_temp,6.945685e-01,1.421332e-03,2.046353e-03
200,layers.1.residual_lut.log_select_temp,6.963736e-01,3.226459e-03,4.633230e-03
200,layers.1.q_norm.weight,8.010924e+00,1.797474e-02,2.243779e-03
200,layers.1.q_norm.bias,1.078313e-02,1.078313e-02,1.000000e+00
200,layers.1.k_norm.weight,8.010781e+00,1.762007e-02,2.199544e-03
200,layers.1.k_norm.bias,1.513011e-02,1.513011e-02,1.000000e+00
200,layers.2.qk_lut.weights,3.556602e+00,3.406695e+00,9.578509e-01
200,layers.2.qk_lut.log_soft_score_temp,6.920383e-01,1.108885e-03,1.602346e-03
200,layers.2.qk_lut.log_select_temp,6.936791e-01,5.319118e-04,7.667982e-04
200,layers.2.v_lut.weights,3.709047e+00,3.527932e+00,9.511695e-01
200,layers.2.v_lut.log_soft_score_temp,6.944389e-01,1.291752e-03,1.860137e-03
200,layers.2.v_lut.log_select_temp,6.946132e-01,1.465976e-03,2.110493e-03
200,layers.2.out_proj.weights,9.204475e+00,8.980157e+00,9.756294e-01
200,layers.2.out_proj.log_soft_score_temp,6.921389e-01,1.008272e-03,1.456748e-03
200,layers.2.out_proj.log_select_temp,6.922691e-01,8.780360e-04,1.268345e-03
200,layers.2.residual_lut.weights,4.108599e+00,4.010482e+00,9.761193e-01
200,layers.2.residual_lut.log_soft_score_temp,6.922274e-01,9.198189e-04,1.328781e-03
200,layers.2.residual_lut.log_select_temp,6.945598e-01,1.412570e-03,2.033764e-03
200,layers.2.q_norm.weight,8.003729e+00,9.346350e-03,1.167749e-03
200,layers.2.q_norm.bias,7.720540e-03,7.720540e-03,1.000000e+00
200,layers.2.k_norm.weight,8.003403e+00,8.913928e-03,1.113767e-03
200,layers.2.k_norm.bias,1.135166e-02,1.135166e-02,1.000000e+00
200,layers.3.qk_lut.weights,3.548371e+00,3.397458e+00,9.574698e-01
200,layers.3.qk_lut.log_soft_score_temp,6.933259e-01,1.786947e-04,2.577355e-04
200,layers.3.qk_lut.log_select_temp,6.947156e-01,1.568377e-03,2.257582e-03
200,layers.3.v_lut.weights,3.857858e+00,3.684168e+00,9.549776e-01
200,layers.3.v_lut.log_soft_score_temp,6.939175e-01,7.702708e-04,1.110032e-03
200,layers.3.v_lut.log_select_temp,6.939465e-01,7.993579e-04,1.151901e-03
200,layers.3.out_proj.weights,1.055238e+01,1.035469e+01,9.812663e-01
200,layers.3.out_proj.log_soft_score_temp,6.920112e-01,1.136005e-03,1.641599e-03
200,layers.3.out_proj.log_select_temp,6.920435e-01,1.103699e-03,1.594841e-03
200,layers.3.residual_lut.weights,4.136001e+00,4.037540e+00,9.761941e-01
200,layers.3.residual_lut.log_soft_score_temp,6.905418e-01,2.605379e-03,3.772948e-03
200,layers.3.residual_lut.log_select_temp,6.922514e-01,8.957982e-04,1.294036e-03
200,layers.3.q_norm.weight,7.996141e+00,5.315911e-03,6.648095e-04
200,layers.3.q_norm.bias,2.864353e-03,2.864353e-03,1.000000e+00
200,layers.3.k_norm.weight,7.996184e+00,5.092690e-03,6.368901e-04
200,layers.3.k_norm.bias,5.864649e-03,5.864649e-03,1.000000e+00
200,layers.4.qk_lut.weights,3.541086e+00,3.389905e+00,9.573067e-01
200,layers.4.qk_lut.log_soft_score_temp,6.938449e-01,6.977320e-04,1.005602e-03
200,layers.4.qk_lut.log_select_temp,6.941305e-01,9.832978e-04,1.416589e-03
200,layers.4.v_lut.weights,4.005319e+00,3.838382e+00,9.583212e-01
200,layers.4.v_lut.log_soft_score_temp,6.935539e-01,4.066825e-04,5.863748e-04
200,layers.4.v_lut.log_select_temp,6.935745e-01,4.273653e-04,6.161779e-04
200,layers.4.out_proj.weights,1.180227e+01,1.162550e+01,9.850225e-01
200,layers.4.out_proj.log_soft_score_temp,6.915881e-01,1.559079e-03,2.254346e-03
200,layers.4.out_proj.log_select_temp,6.916054e-01,1.541734e-03,2.229210e-03
200,layers.4.residual_lut.weights,4.966412e+00,4.882382e+00,9.830804e-01
200,layers.4.residual_lut.log_soft_score_temp,6.904719e-01,2.675295e-03,3.874589e-03
200,layers.4.residual_lut.log_select_temp,6.916045e-01,1.542687e-03,2.230592e-03
200,layers.4.q_norm.weight,8.002500e+00,5.804369e-03,7.253195e-04
200,layers.4.q_norm.bias,4.616747e-03,4.616747e-03,1.000000e+00
200,layers.4.k_norm.weight,8.002355e+00,6.086944e-03,7.606441e-04
200,layers.4.k_norm.bias,7.955048e-03,7.955048e-03,1.000000e+00
200,layers.5.qk_lut.weights,3.860033e+00,3.721421e+00,9.640905e-01
200,layers.5.qk_lut.log_soft_score_temp,6.930663e-01,8.088350e-05,1.167038e-04
200,layers.5.qk_lut.log_select_temp,6.931769e-01,2.968311e-05,4.282185e-05
200,layers.5.v_lut.weights,5.230807e+00,5.103955e+00,9.757490e-01
200,layers.5.v_lut.log_soft_score_temp,6.936005e-01,4.533529e-04,6.536225e-04
200,layers.5.v_lut.log_select_temp,6.936046e-01,4.574060e-04,6.594623e-04
200,layers.5.out_proj.weights,1.601514e+01,1.588439e+01,9.918357e-01
200,layers.5.out_proj.log_soft_score_temp,6.925810e-01,5.661845e-04,8.174994e-04
200,layers.5.out_proj.log_select_temp,6.925952e-01,5.519986e-04,7.970004e-04
200,layers.5.residual_lut.weights,7.224401e+00,7.165759e+00,9.918828e-01
200,layers.5.residual_lut.log_soft_score_temp,6.909841e-01,2.163053e-03,3.130394e-03
200,layers.5.residual_lut.log_select_temp,6.919166e-01,1.230597e-03,1.778534e-03
200,layers.5.q_norm.weight,8.000978e+00,5.249879e-03,6.561546e-04
200,layers.5.q_norm.bias,4.231890e-03,4.231890e-03,1.000000e+00
200,layers.5.k_norm.weight,8.000706e+00,5.565801e-03,6.956637e-04
200,layers.5.k_norm.bias,6.161276e-03,6.161276e-03,1.000000e+00
200,ln_final.weight,1.974446e+01,1.485530e-01,7.523784e-03
200,ln_final.bias,1.443501e-01,1.443501e-01,1.000000e+00
400,tok_emb_E.weight,1.448560e+02,3.151393e+00,2.175536e-02
400,unembedder.weight,1.114024e+02,2.709486e+01,2.432162e-01
400,layers.0.qk_lut.weights,9.554227e+00,7.982127e+00,8.354551e-01
400,layers.0.qk_lut.log_soft_score_temp,7.011934e-01,4.918873e-03,7.015002e-03
400,layers.0.qk_lut.log_select_temp,6.982973e-01,2.552688e-03,3.655589e-03
400,layers.0.v_lut.weights,1.040623e+01,8.953091e+00,8.603590e-01
400,layers.0.v_lut.log_soft_score_temp,7.169223e-01,1.925546e-02,2.685850e-02
400,layers.0.v_lut.log_select_temp,7.162938e-01,1.869798e-02,2.610378e-02
400,layers.0.out_proj.weights,2.013952e+01,1.766869e+01,8.773141e-01
400,layers.0.out_proj.log_soft_score_temp,7.163480e-01,2.021551e-02,2.822024e-02
400,layers.0.out_proj.log_select_temp,7.168874e-01,2.047306e-02,2.855827e-02
400,layers.0.residual_lut.weights,1.054451e+01,9.025828e+00,8.559745e-01
400,layers.0.residual_lut.log_soft_score_temp,7.065567e-01,9.851933e-03,1.394358e-02
400,layers.0.residual_lut.log_select_temp,7.117381e-01,1.399094e-02,1.965743e-02
400,layers.0.q_norm.weight,8.111026e+00,1.034277e-01,1.275149e-02
400,layers.0.q_norm.bias,7.369509e-02,5.990540e-02,8.128819e-01
400,layers.0.k_norm.weight,8.109658e+00,1.016971e-01,1.254024e-02
400,layers.0.k_norm.bias,8.264051e-02,6.797329e-02,8.225178e-01
400,layers.1.qk_lut.weights,9.384306e+00,8.211175e+00,8.749901e-01
400,layers.1.qk_lut.log_soft_score_temp,6.802045e-01,1.052117e-02,1.546766e-02
400,layers.1.qk_lut.log_select_temp,6.891864e-01,3.677070e-03,5.335378e-03
400,layers.1.v_lut.weights,1.049128e+01,9.321803e+00,8.885287e-01
400,layers.1.v_lut.log_soft_score_temp,7.083340e-01,1.274174e-02,1.798833e-02
400,layers.1.v_lut.log_select_temp,7.103644e-01,1.451939e-02,2.043936e-02
400,layers.1.out_proj.weights,2.036465e+01,1.795237e+01,8.815459e-01
400,layers.1.out_proj.log_soft_score_temp,7.002263e-01,7.297337e-03,1.042140e-02
400,layers.1.out_proj.log_select_temp,7.019953e-01,8.835614e-03,1.258643e-02
400,layers.1.residual_lut.weights,1.024056e+01,8.851703e+00,8.643772e-01
400,layers.1.residual_lut.log_soft_score_temp,6.971190e-01,2.550483e-03,3.658605e-03
400,layers.1.residual_lut.log_select_temp,7.067397e-01,1.036608e-02,1.466747e-02
400,layers.1.q_norm.weight,8.052082e+00,5.484827e-02,6.811688e-03
400,layers.1.q_norm.bias,4.030707e-02,2.982906e-02,7.400453e-01
400,layers.1.k_norm.weight,8.050356e+00,5.302134e-02,6.586211e-03
400,layers.1.k_norm.bias,5.954624e-02,4.585564e-02,7.700845e-01
400,layers.2.qk_lut.weights,9.487381e+00,8.364084e+00,8.816010e-01
400,layers.2.qk_lut.log_soft_score_temp,6.828064e-01,9.231925e-03,1.352056e-02
400,layers.2.qk_lut.log_select_temp,6.924556e-01,1.223445e-03,1.766821e-03
400,layers.2.v_lut.weights,1.015471e+01,9.024410e+00,8.886922e-01
400,layers.2.v_lut.log_soft_score_temp,7.021526e-01,7.713616e-03,1.098567e-02
400,layers.2.v_lut.log_select_temp,7.040498e-01,9.436667e-03,1.340341e-02
400,layers.2.out_proj.weights,2.167140e+01,1.904660e+01,8.788818e-01
400,layers.2.out_proj.log_soft_score_temp,6.912685e-01,8.704066e-04,1.259144e-03
400,layers.2.out_proj.log_select_temp,6.926690e-01,3.998280e-04,5.772280e-04
400,layers.2.residual_lut.weights,1.005516e+01,8.759285e+00,8.711237e-01
400,layers.2.residual_lut.log_soft_score_temp,6.871485e-01,5.078912e-03,7.391288e-03
400,layers.2.residual_lut.log_select_temp,6.995014e-01,4.941642e-03,7.064521e-03
400,layers.2.q_norm.weight,8.026392e+00,4.188980e-02,5.219008e-03
400,layers.2.q_norm.bias,3.893055e-02,3.189210e-02,8.192049e-01
400,layers.2.k_norm.weight,8.024943e+00,3.944313e-02,4.915066e-03
400,layers.2.k_norm.bias,5.647583e-02,4.765425e-02,8.437991e-01
400,layers.3.qk_lut.weights,9.684578e+00,8.581119e+00,8.860601e-01
400,layers.3.qk_lut.log_soft_score_temp,6.902614e-01,3.064454e-03,4.439555e-03
400,layers.3.qk_lut.log_select_temp,6.965873e-01,1.871705e-03,2.686964e-03
400,layers.3.v_lut.weights,1.027529e+01,9.062279e+00,8.819491e-01
400,layers.3.v_lut.log_soft_score_temp,6.986796e-01,4.762113e-03,6.815876e-03
400,layers.3.v_lut.log_select_temp,6.989033e-01,4.956722e-03,7.092144e-03
400,layers.3.out_proj.weights,2.401473e+01,2.088619e+01,8.697243e-01
