step,train_loss,val_bpb
200,8.515621,2.247497
400,6.905456,1.974399
600,6.289040,1.873877
800,5.990258,1.813900
1000,5.812548,1.766767
1200,5.665968,1.732679
1400,5.558352,1.700975
1600,5.468215,1.678100
1800,5.398783,1.661127
2000,5.316819,1.641513
2200,5.287835,1.626868
2400,5.243710,1.613289
2600,5.181941,1.600223
2800,5.152487,1.586929
3000,5.114804,1.578525
3200,5.072544,1.566556
3400,5.035820,1.559554
3600,5.011608,1.550341
3800,4.977945,1.540501
4000,4.957040,1.533139
4200,4.924946,1.524468
4400,4.909702,1.517769
4600,4.881167,1.510131
4800,4.886759,1.504653
5000,4.834386,1.497226
5200,4.819440,1.492831
5400,4.799081,1.487433
5600,4.765866,1.482292
5800,4.760442,1.476840
6000,4.746601,1.473132
6200,4.727851,1.468685
6400,4.722728,1.465037
6600,4.700000,1.462011
6800,4.696785,1.459036
7000,4.698321,1.456508
7200,4.685201,1.454727
7400,4.661448,1.452348
7600,4.648968,1.451245
7800,4.648269,1.448274
8000,4.653747,1.447106
