step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498327,0.498615,0.498657,0.498650,0.497515,0.497480,0.500144,0.500002,0.499117,0.499180,0.500099,0.499995,0.500129,0.500050,0.499388,0.499450,0.500381,0.500228,0.500328,0.500199,0.499708,0.499722,0.500653,0.500642,0.499887,0.499741,0.499800,0.499794,0.500426,0.500423,0.499885,0.499788,0.499754,0.499741,0.500205,0.500208,0.498894,0.498774
400,0.492133,0.494499,0.495112,0.495180,0.489687,0.489848,0.503691,0.501721,0.492545,0.492777,0.494825,0.494391,0.503240,0.501144,0.495841,0.496112,0.500375,0.499452,0.500977,0.498770,0.497414,0.497553,0.501558,0.500914,0.501820,0.500053,0.499374,0.499335,0.503196,0.502976,0.501567,0.499708,0.499189,0.499141,0.500704,0.500626,0.497125,0.496314
600,0.481037,0.487013,0.489111,0.489590,0.476548,0.477043,0.511691,0.504466,0.480315,0.479962,0.482460,0.481348,0.509691,0.502038,0.488734,0.488304,0.502983,0.499850,0.505663,0.496465,0.488928,0.488554,0.501296,0.498694,0.505587,0.498465,0.493639,0.493019,0.510610,0.508800,0.508455,0.499544,0.495477,0.494948,0.501226,0.500462,0.496179,0.492272
800,0.467079,0.476301,0.478800,0.479724,0.460066,0.459682,0.522867,0.507260,0.465745,0.463152,0.465673,0.462233,0.518912,0.502517,0.478644,0.476306,0.510527,0.501872,0.515761,0.493331,0.475898,0.473505,0.504756,0.496968,0.513052,0.496019,0.480799,0.478201,0.523377,0.516756,0.521982,0.499745,0.484545,0.482042,0.501164,0.497212,0.498429,0.487119
1000,0.454503,0.465288,0.467302,0.468267,0.446208,0.442755,0.536570,0.510032,0.452979,0.445499,0.453510,0.443670,0.531224,0.502173,0.468640,0.462650,0.527241,0.508507,0.531007,0.489616,0.461764,0.455227,0.512053,0.495403,0.523785,0.494122,0.465629,0.458581,0.539757,0.524628,0.538763,0.499194,0.471452,0.464153,0.503822,0.493274,0.504329,0.482738
1200,0.443860,0.455203,0.457078,0.457028,0.438328,0.428019,0.547308,0.510678,0.447392,0.429990,0.453994,0.429540,0.544348,0.501539,0.462532,0.451491,0.546314,0.516282,0.546948,0.488430,0.453090,0.439919,0.524450,0.496286,0.537997,0.491760,0.455811,0.440305,0.555994,0.528588,0.555011,0.497511,0.463385,0.447254,0.507677,0.487716,0.513836,0.478882
1400,0.435771,0.445944,0.448744,0.446828,0.440094,0.416781,0.559741,0.512766,0.448647,0.418180,0.464150,0.418335,0.556879,0.499858,0.458626,0.440069,0.566235,0.522769,0.564045,0.486706,0.449223,0.425590,0.540174,0.498067,0.554603,0.491621,0.454663,0.424355,0.569592,0.528456,0.574556,0.496443,0.460741,0.431530,0.513800,0.480867,0.524927,0.475499
1600,0.429302,0.437413,0.440813,0.436176,0.448975,0.407698,0.569940,0.512570,0.456024,0.409396,0.482864,0.411796,0.569164,0.497592,0.457417,0.429209,0.588318,0.531002,0.582495,0.485072,0.450270,0.414152,0.556846,0.498103,0.571305,0.490209,0.459993,0.410158,0.583621,0.525683,0.595039,0.495503,0.464360,0.416711,0.521198,0.470765,0.540162,0.472185
1800,0.424123,0.429588,0.435148,0.426835,0.460894,0.401230,0.579069,0.511874,0.466135,0.401354,0.504041,0.409795,0.582140,0.495340,0.460252,0.418846,0.611656,0.538537,0.601530,0.483978,0.456042,0.403231,0.573266,0.497720,0.588862,0.489851,0.471767,0.397705,0.596219,0.519916,0.616631,0.495948,0.475856,0.404855,0.531183,0.463067,0.555821,0.469108
2000,0.420321,0.422961,0.430868,0.418684,0.475875,0.396296,0.587940,0.511019,0.479588,0.395369,0.526917,0.407822,0.593740,0.492614,0.466737,0.409009,0.634923,0.545013,0.622444,0.482458,0.466130,0.394347,0.590627,0.496960,0.606603,0.489006,0.487378,0.387086,0.608195,0.513128,0.636070,0.494708,0.490622,0.394182,0.542271,0.454930,0.571893,0.466051
2200,0.417406,0.415926,0.428597,0.411700,0.494491,0.392395,0.598028,0.511360,0.495837,0.392436,0.551889,0.408940,0.607256,0.490149,0.476261,0.401313,0.658450,0.551011,0.644181,0.481932,0.480207,0.386933,0.609755,0.496529,0.625019,0.487205,0.505788,0.378511,0.622899,0.505634,0.658579,0.493355,0.508700,0.385829,0.556247,0.447178,0.589906,0.463023
2400,0.415383,0.410274,0.426427,0.404334,0.512659,0.389198,0.606677,0.510129,0.511254,0.389476,0.578036,0.411952,0.621614,0.487842,0.487683,0.395013,0.681803,0.557613,0.668048,0.481291,0.495612,0.380583,0.627372,0.492555,0.644926,0.486413,0.525680,0.372029,0.637271,0.498929,0.680595,0.492033,0.527886,0.379828,0.573031,0.440407,0.609421,0.459723
2600,0.414703,0.405112,0.425499,0.397367,0.533430,0.387567,0.614790,0.509516,0.529093,0.388601,0.604935,0.415171,0.634991,0.485551,0.501048,0.388790,0.705159,0.560934,0.690410,0.479580,0.511718,0.376290,0.644811,0.489339,0.665475,0.485562,0.546801,0.367417,0.652210,0.490705,0.702006,0.489215,0.549274,0.375823,0.591162,0.435013,0.628685,0.456763
