step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047694e+02,1.560376e+00,7.620164e-03
200,unembedder.weight,1.053609e+02,1.552584e+01,1.473586e-01
200,layers.0.qk_lut.weights,3.369797e+00,3.202573e+00,9.503755e-01
200,layers.0.qk_lut.log_soft_score_temp,6.965371e-01,3.389955e-03,4.866868e-03
200,layers.0.qk_lut.log_select_temp,6.959577e-01,2.810478e-03,4.038289e-03
200,layers.0.v_lut.weights,6.679008e+00,6.476333e+00,9.696549e-01
200,layers.0.v_lut.log_soft_score_temp,6.960609e-01,2.913713e-03,4.186004e-03
200,layers.0.v_lut.log_select_temp,6.960816e-01,2.934456e-03,4.215678e-03
200,layers.0.out_proj.weights,1.469011e+01,1.440642e+01,9.806886e-01
200,layers.0.out_proj.log_soft_score_temp,6.976194e-01,4.472196e-03,6.410653e-03
200,layers.0.out_proj.log_select_temp,6.977663e-01,4.619122e-03,6.619869e-03
200,layers.0.q_norm.weight,8.011271e+00,1.299653e-02,1.622280e-03
200,layers.0.q_norm.bias,7.958492e-03,7.958492e-03,1.000000e+00
200,layers.0.k_norm.weight,8.011444e+00,1.272900e-02,1.588853e-03
200,layers.0.k_norm.bias,9.432239e-03,9.432239e-03,1.000000e+00
200,layers.1.qk_lut.weights,3.515584e+00,3.365188e+00,9.572203e-01
200,layers.1.qk_lut.log_soft_score_temp,6.930467e-01,1.004338e-04,1.449164e-04
200,layers.1.qk_lut.log_select_temp,6.935912e-01,4.439950e-04,6.401393e-04
200,layers.1.v_lut.weights,5.889200e+00,5.663172e+00,9.616200e-01
200,layers.1.v_lut.log_soft_score_temp,6.945837e-01,1.436532e-03,2.068191e-03
200,layers.1.v_lut.log_select_temp,6.945792e-01,1.432002e-03,2.061682e-03
200,layers.1.out_proj.weights,1.310353e+01,1.278786e+01,9.759098e-01
200,layers.1.out_proj.log_soft_score_temp,6.926827e-01,4.644990e-04,6.705798e-04
200,layers.1.out_proj.log_select_temp,6.929041e-01,2.431273e-04,3.508817e-04
200,layers.1.q_norm.weight,8.008228e+00,1.339409e-02,1.672541e-03
200,layers.1.q_norm.bias,1.109412e-02,1.109412e-02,1.000000e+00
200,layers.1.k_norm.weight,8.007830e+00,1.319603e-02,1.647891e-03
200,layers.1.k_norm.bias,1.532227e-02,1.532227e-02,1.000000e+00
200,layers.2.qk_lut.weights,3.497911e+00,3.345362e+00,9.563885e-01
200,layers.2.qk_lut.log_soft_score_temp,6.930363e-01,1.109242e-04,1.600555e-04
200,layers.2.qk_lut.log_select_temp,6.934664e-01,3.192425e-04,4.603575e-04
200,layers.2.v_lut.weights,5.849909e+00,5.621488e+00,9.609531e-01
200,layers.2.v_lut.log_soft_score_temp,6.944334e-01,1.286209e-03,1.852170e-03
200,layers.2.v_lut.log_select_temp,6.942607e-01,1.113534e-03,1.603913e-03
200,layers.2.out_proj.weights,1.302868e+01,1.270854e+01,9.754280e-01
200,layers.2.out_proj.log_soft_score_temp,6.923036e-01,8.435845e-04,1.218518e-03
200,layers.2.out_proj.log_select_temp,6.925088e-01,6.384254e-04,9.219022e-04
200,layers.2.q_norm.weight,8.007963e+00,1.584866e-02,1.979112e-03
200,layers.2.q_norm.bias,1.216495e-02,1.216495e-02,1.000000e+00
200,layers.2.k_norm.weight,8.007523e+00,1.542961e-02,1.926890e-03
200,layers.2.k_norm.bias,1.539263e-02,1.539263e-02,1.000000e+00
200,layers.3.qk_lut.weights,3.470788e+00,3.316591e+00,9.555730e-01
200,layers.3.qk_lut.log_soft_score_temp,6.916329e-01,1.514316e-03,2.189479e-03
200,layers.3.qk_lut.log_select_temp,6.922015e-01,9.456873e-04,1.366202e-03
200,layers.3.v_lut.weights,6.004124e+00,5.781726e+00,9.629592e-01
200,layers.3.v_lut.log_soft_score_temp,6.938490e-01,7.017851e-04,1.011438e-03
200,layers.3.v_lut.log_select_temp,6.938275e-01,6.803274e-04,9.805426e-04
200,layers.3.out_proj.weights,1.425134e+01,1.396075e+01,9.796090e-01
200,layers.3.out_proj.log_soft_score_temp,6.920981e-01,1.049101e-03,1.515828e-03
200,layers.3.out_proj.log_select_temp,6.921669e-01,9.803176e-04,1.416302e-03
200,layers.3.q_norm.weight,8.002437e+00,1.101112e-02,1.375971e-03
200,layers.3.q_norm.bias,7.008371e-03,7.008371e-03,1.000000e+00
200,layers.3.k_norm.weight,8.002049e+00,1.096534e-02,1.370316e-03
200,layers.3.k_norm.bias,1.155005e-02,1.155005e-02,1.000000e+00
200,layers.4.qk_lut.weights,3.478007e+00,3.323406e+00,9.555490e-01
200,layers.4.qk_lut.log_soft_score_temp,6.931940e-01,4.684925e-05,6.758461e-05
200,layers.4.qk_lut.log_select_temp,6.934074e-01,2.601743e-04,3.752113e-04
200,layers.4.v_lut.weights,6.010560e+00,5.786914e+00,9.627912e-01
200,layers.4.v_lut.log_soft_score_temp,6.936107e-01,4.634857e-04,6.682217e-04
200,layers.4.v_lut.log_select_temp,6.935973e-01,4.501343e-04,6.489850e-04
200,layers.4.out_proj.weights,1.533080e+01,1.505994e+01,9.823326e-01
200,layers.4.out_proj.log_soft_score_temp,6.922765e-01,8.706450e-04,1.257655e-03
200,layers.4.out_proj.log_select_temp,6.922906e-01,8.565784e-04,1.237310e-03
200,layers.4.q_norm.weight,7.999727e+00,8.085125e-03,1.010675e-03
200,layers.4.q_norm.bias,5.545241e-03,5.545241e-03,1.000000e+00
200,layers.4.k_norm.weight,7.999647e+00,7.526358e-03,9.408363e-04
200,layers.4.k_norm.bias,8.005449e-03,8.005449e-03,1.000000e+00
200,layers.5.qk_lut.weights,3.450048e+00,3.293889e+00,9.547372e-01
200,layers.5.qk_lut.log_soft_score_temp,6.922976e-01,8.496046e-04,1.227225e-03
200,layers.5.qk_lut.log_select_temp,6.924864e-01,6.607771e-04,9.542095e-04
200,layers.5.v_lut.weights,5.858092e+00,5.629942e+00,9.610540e-01
200,layers.5.v_lut.log_soft_score_temp,6.935755e-01,4.283190e-04,6.175521e-04
200,layers.5.v_lut.log_select_temp,6.935894e-01,4.422069e-04,6.375629e-04
200,layers.5.out_proj.weights,1.731017e+01,1.706950e+01,9.860969e-01
200,layers.5.out_proj.log_soft_score_temp,6.926929e-01,4.542470e-04,6.557696e-04
200,layers.5.out_proj.log_select_temp,6.926903e-01,4.569292e-04,6.596443e-04
200,layers.5.q_norm.weight,8.006261e+00,1.145054e-02,1.430198e-03
200,layers.5.q_norm.bias,7.729340e-03,7.729340e-03,1.000000e+00
200,layers.5.k_norm.weight,8.005747e+00,1.119669e-02,1.398582e-03
200,layers.5.k_norm.bias,1.028657e-02,1.028657e-02,1.000000e+00
200,read_out_lut.weights,1.087570e+01,1.060907e+01,9.754840e-01
200,read_out_lut.log_soft_score_temp,6.947007e-01,1.553476e-03,2.236180e-03
200,read_out_lut.log_select_temp,6.950670e-01,1.919806e-03,2.762045e-03
200,ln_final.weight,1.974428e+01,1.483745e-01,7.514809e-03
200,ln_final.bias,1.435030e-01,1.435030e-01,1.000000e+00
400,tok_emb_E.weight,2.048189e+02,4.518528e+00,2.206108e-02
400,unembedder.weight,1.112575e+02,2.672987e+01,2.402523e-01
400,layers.0.qk_lut.weights,9.530036e+00,8.134080e+00,8.535204e-01
400,layers.0.qk_lut.log_soft_score_temp,7.073382e-01,1.080102e-02,1.526995e-02
400,layers.0.qk_lut.log_select_temp,7.030451e-01,7.087469e-03,1.008110e-02
400,layers.0.v_lut.weights,1.597851e+01,1.329886e+01,8.322971e-01
400,layers.0.v_lut.log_soft_score_temp,7.070897e-01,1.102877e-02,1.559741e-02
400,layers.0.v_lut.log_select_temp,7.067466e-01,1.066500e-02,1.509027e-02
400,layers.0.out_proj.weights,3.736875e+01,3.022934e+01,8.089470e-01
400,layers.0.out_proj.log_soft_score_temp,7.151314e-01,1.751202e-02,2.448784e-02
400,layers.0.out_proj.log_select_temp,7.151413e-01,1.737499e-02,2.429589e-02
400,layers.0.q_norm.weight,8.085941e+00,8.509120e-02,1.052335e-02
400,layers.0.q_norm.bias,5.330931e-02,4.701051e-02,8.818444e-01
400,layers.0.k_norm.weight,8.084565e+00,8.309071e-02,1.027770e-02
400,layers.0.k_norm.bias,5.854758e-02,5.182000e-02,8.850921e-01
400,layers.1.qk_lut.weights,9.402667e+00,8.253038e+00,8.777338e-01
400,layers.1.qk_lut.log_soft_score_temp,6.847490e-01,8.297741e-03,1.211793e-02
400,layers.1.qk_lut.log_select_temp,6.897986e-01,3.792584e-03,5.498103e-03
400,layers.1.v_lut.weights,1.532454e+01,1.352278e+01,8.824265e-01
400,layers.1.v_lut.log_soft_score_temp,7.039966e-01,9.412885e-03,1.337064e-02
400,layers.1.v_lut.log_select_temp,7.039226e-01,9.343386e-03,1.327331e-02
400,layers.1.out_proj.weights,3.007066e+01,2.617054e+01,8.703014e-01
400,layers.1.out_proj.log_soft_score_temp,6.985082e-01,5.825520e-03,8.339944e-03
400,layers.1.out_proj.log_select_temp,7.000763e-01,7.172227e-03,1.024492e-02
400,layers.1.q_norm.weight,8.043770e+00,5.195703e-02,6.459288e-03
400,layers.1.q_norm.bias,4.557254e-02,3.557495e-02,7.806225e-01
400,layers.1.k_norm.weight,8.041192e+00,5.049209e-02,6.279180e-03
400,layers.1.k_norm.bias,6.421001e-02,5.083038e-02,7.916270e-01
400,layers.2.qk_lut.weights,9.446252e+00,8.303673e+00,8.790442e-01
400,layers.2.qk_lut.log_soft_score_temp,6.884174e-01,4.618883e-03,6.709423e-03
400,layers.2.qk_lut.log_select_temp,6.930376e-01,4.287958e-04,6.187194e-04
400,layers.2.v_lut.weights,1.503446e+01,1.323551e+01,8.803443e-01
400,layers.2.v_lut.log_soft_score_temp,7.054678e-01,1.103443e-02,1.564129e-02
400,layers.2.v_lut.log_select_temp,7.049707e-01,1.070994e-02,1.519204e-02
400,layers.2.out_proj.weights,3.024462e+01,2.636725e+01,8.717997e-01
400,layers.2.out_proj.log_soft_score_temp,6.963678e-01,4.064202e-03,5.836287e-03
400,layers.2.out_proj.log_select_temp,6.983770e-01,5.868196e-03,8.402620e-03
400,layers.2.q_norm.weight,8.050771e+00,5.615916e-02,6.975625e-03
400,layers.2.q_norm.bias,4.410390e-02,3.255520e-02,7.381478e-01
400,layers.2.k_norm.weight,8.048455e+00,5.470707e-02,6.797214e-03
400,layers.2.k_norm.bias,6.219356e-02,4.821078e-02,7.751733e-01
400,layers.3.qk_lut.weights,9.465820e+00,8.334473e+00,8.804808e-01
400,layers.3.qk_lut.log_soft_score_temp,6.841353e-01,7.497549e-03,1.095916e-02
400,layers.3.qk_lut.log_select_temp,6.897928e-01,2.408683e-03,3.491894e-03
400,layers.3.v_lut.weights,1.486930e+01,1.302835e+01,8.761914e-01
400,layers.3.v_lut.log_soft_score_temp,7.008597e-01,7.010758e-03,1.000308e-02
400,layers.3.v_lut.log_select_temp,7.012126e-01,7.385075e-03,1.053186e-02
400,layers.3.out_proj.weights,3.235520e+01,2.798466e+01,8.649201e-01
