step,train_loss,val_bpb
200,8.567588,2.263887
400,6.980515,1.998691
600,6.358687,1.893003
800,6.055247,1.832400
1000,5.870891,1.782471
1200,5.716573,1.744294
1400,5.605152,1.713679
1600,5.508912,1.690078
1800,5.437414,1.672670
2000,5.354089,1.653866
2200,5.324808,1.637936
2400,5.278988,1.623485
2600,5.216099,1.609415
2800,5.185838,1.598753
3000,5.147166,1.587902
3200,5.102664,1.574523
3400,5.065428,1.565445
3600,5.039421,1.558250
3800,5.003307,1.547153
4000,4.979008,1.539794
4200,4.945651,1.531384
4400,4.926859,1.522711
4600,4.897650,1.515131
4800,4.900386,1.506889
5000,4.845618,1.499797
5200,4.828893,1.493992
5400,4.805267,1.488775
5600,4.771056,1.484358
5800,4.765665,1.477874
6000,4.749680,1.473720
6200,4.729661,1.468432
6400,4.723025,1.464844
6600,4.699174,1.461356
6800,4.697656,1.458801
7000,4.696922,1.455993
7200,4.682294,1.453000
7400,4.659552,1.451047
7600,4.643962,1.448772
7800,4.646564,1.445945
8000,4.651013,1.445249
