step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047711e+02,1.545541e+00,7.547652e-03
200,unembedder.weight,1.053625e+02,1.552560e+01,1.473541e-01
200,layers.0.qk_lut.weights,3.365754e+00,3.202192e+00,9.514040e-01
200,layers.0.qk_lut.log_soft_score_temp,6.956981e-01,2.550900e-03,3.666677e-03
200,layers.0.qk_lut.log_select_temp,6.952416e-01,2.094388e-03,3.012461e-03
200,layers.0.v_lut.weights,6.900745e+00,6.704461e+00,9.715561e-01
200,layers.0.v_lut.log_soft_score_temp,6.958281e-01,2.680957e-03,3.852902e-03
200,layers.0.v_lut.log_select_temp,6.958341e-01,2.686918e-03,3.861434e-03
200,layers.0.out_proj.weights,1.457257e+01,1.428680e+01,9.803897e-01
200,layers.0.out_proj.log_soft_score_temp,6.980286e-01,4.881382e-03,6.993098e-03
200,layers.0.out_proj.log_select_temp,6.981542e-01,5.007029e-03,7.171809e-03
200,layers.0.q_norm.weight,8.016126e+00,1.848484e-02,2.305957e-03
200,layers.0.q_norm.bias,1.399252e-02,1.399252e-02,1.000000e+00
200,layers.0.k_norm.weight,8.015713e+00,1.824886e-02,2.276636e-03
200,layers.0.k_norm.bias,1.576889e-02,1.576889e-02,1.000000e+00
200,layers.1.qk_lut.weights,3.465502e+00,3.311712e+00,9.556224e-01
200,layers.1.qk_lut.log_soft_score_temp,6.934669e-01,3.197193e-04,4.610448e-04
200,layers.1.qk_lut.log_select_temp,6.941478e-01,1.000583e-03,1.441456e-03
200,layers.1.v_lut.weights,6.080827e+00,5.862496e+00,9.640952e-01
200,layers.1.v_lut.log_soft_score_temp,6.946578e-01,1.510620e-03,2.174625e-03
200,layers.1.v_lut.log_select_temp,6.946331e-01,1.485884e-03,2.139092e-03
200,layers.1.out_proj.weights,1.335573e+01,1.304630e+01,9.768315e-01
200,layers.1.out_proj.log_soft_score_temp,6.928433e-01,3.039241e-04,4.386621e-04
200,layers.1.out_proj.log_select_temp,6.931129e-01,3.427267e-05,4.944746e-05
200,layers.1.q_norm.weight,8.007868e+00,1.234750e-02,1.541921e-03
200,layers.1.q_norm.bias,8.444270e-03,8.444270e-03,1.000000e+00
200,layers.1.k_norm.weight,8.007091e+00,1.111273e-02,1.387861e-03
200,layers.1.k_norm.bias,1.243673e-02,1.243673e-02,1.000000e+00
200,layers.2.qk_lut.weights,3.558794e+00,3.409313e+00,9.579968e-01
200,layers.2.qk_lut.log_soft_score_temp,6.929001e-01,2.470613e-04,3.565611e-04
200,layers.2.qk_lut.log_select_temp,6.931438e-01,3.337860e-06,4.815537e-06
200,layers.2.v_lut.weights,5.877784e+00,5.650195e+00,9.612797e-01
200,layers.2.v_lut.log_soft_score_temp,6.933439e-01,1.966953e-04,2.836909e-04
200,layers.2.v_lut.log_select_temp,6.933317e-01,1.844764e-04,2.660723e-04
200,layers.2.out_proj.weights,1.374342e+01,1.344280e+01,9.781266e-01
200,layers.2.out_proj.log_soft_score_temp,6.907781e-01,2.369106e-03,3.429619e-03
200,layers.2.out_proj.log_select_temp,6.909281e-01,2.219081e-03,3.211739e-03
200,layers.2.q_norm.weight,8.001344e+00,8.541886e-03,1.067556e-03
200,layers.2.q_norm.bias,6.340514e-03,6.340514e-03,1.000000e+00
200,layers.2.k_norm.weight,8.001229e+00,8.791259e-03,1.098739e-03
200,layers.2.k_norm.bias,8.158357e-03,8.158357e-03,1.000000e+00
200,layers.3.qk_lut.weights,3.462356e+00,3.308862e+00,9.556677e-01
200,layers.3.qk_lut.log_soft_score_temp,6.919774e-01,1.169801e-03,1.690519e-03
200,layers.3.qk_lut.log_select_temp,6.925330e-01,6.141663e-04,8.868404e-04
200,layers.3.v_lut.weights,5.907392e+00,5.681379e+00,9.617407e-01
200,layers.3.v_lut.log_soft_score_temp,6.941843e-01,1.037121e-03,1.494014e-03
200,layers.3.v_lut.log_select_temp,6.941162e-01,9.690523e-04,1.396095e-03
200,layers.3.out_proj.weights,1.494377e+01,1.466712e+01,9.814870e-01
200,layers.3.out_proj.log_soft_score_temp,6.925642e-01,5.829334e-04,8.417030e-04
200,layers.3.out_proj.log_select_temp,6.927083e-01,4.389286e-04,6.336414e-04
200,layers.3.q_norm.weight,8.003388e+00,1.275740e-02,1.594000e-03
200,layers.3.q_norm.bias,7.620664e-03,7.620664e-03,1.000000e+00
200,layers.3.k_norm.weight,8.002923e+00,1.230326e-02,1.537346e-03
200,layers.3.k_norm.bias,1.175962e-02,1.175962e-02,1.000000e+00
200,layers.4.qk_lut.weights,3.533391e+00,3.381129e+00,9.569076e-01
200,layers.4.qk_lut.log_soft_score_temp,6.917332e-01,1.413941e-03,2.044056e-03
200,layers.4.qk_lut.log_select_temp,6.922277e-01,9.195209e-04,1.328350e-03
200,layers.4.v_lut.weights,5.962283e+00,5.737301e+00,9.622658e-01
200,layers.4.v_lut.log_soft_score_temp,6.937991e-01,6.518960e-04,9.396034e-04
200,layers.4.v_lut.log_select_temp,6.937729e-01,6.256700e-04,9.018369e-04
200,layers.4.out_proj.weights,1.674536e+01,1.649721e+01,9.851806e-01
200,layers.4.out_proj.log_soft_score_temp,6.926239e-01,5.232692e-04,7.554882e-04
200,layers.4.out_proj.log_select_temp,6.926627e-01,4.844666e-04,6.994263e-04
200,layers.4.q_norm.weight,8.001877e+00,1.229583e-02,1.536619e-03
200,layers.4.q_norm.bias,1.138248e-02,1.138248e-02,1.000000e+00
200,layers.4.k_norm.weight,8.001975e+00,1.159479e-02,1.448991e-03
200,layers.4.k_norm.bias,1.638203e-02,1.638203e-02,1.000000e+00
200,layers.5.qk_lut.weights,3.426187e+00,3.268411e+00,9.539501e-01
200,layers.5.qk_lut.log_soft_score_temp,6.930640e-01,8.314848e-05,1.199723e-04
200,layers.5.qk_lut.log_select_temp,6.932551e-01,1.078844e-04,1.556201e-04
200,layers.5.v_lut.weights,5.856653e+00,5.629060e+00,9.611393e-01
200,layers.5.v_lut.log_soft_score_temp,6.935147e-01,3.675222e-04,5.299415e-04
200,layers.5.v_lut.log_select_temp,6.935585e-01,4.113317e-04,5.930742e-04
200,layers.5.out_proj.weights,1.797074e+01,1.773961e+01,9.871383e-01
200,layers.5.out_proj.log_soft_score_temp,6.926053e-01,5.418658e-04,7.823587e-04
200,layers.5.out_proj.log_select_temp,6.926089e-01,5.382895e-04,7.771912e-04
200,layers.5.q_norm.weight,8.002229e+00,7.724875e-03,9.653405e-04
200,layers.5.q_norm.bias,5.059072e-03,5.059072e-03,1.000000e+00
200,layers.5.k_norm.weight,8.001777e+00,7.422895e-03,9.276558e-04
200,layers.5.k_norm.bias,6.903448e-03,6.903448e-03,1.000000e+00
200,read_out_lut.weights,1.090194e+01,1.063551e+01,9.755612e-01
200,read_out_lut.log_soft_score_temp,6.946680e-01,1.520813e-03,2.189265e-03
200,read_out_lut.log_select_temp,6.950457e-01,1.898527e-03,2.731514e-03
200,ln_final.weight,1.974415e+01,1.482497e-01,7.508536e-03
200,ln_final.bias,1.436030e-01,1.436030e-01,1.000000e+00
400,tok_emb_E.weight,2.048266e+02,4.765705e+00,2.326703e-02
400,unembedder.weight,1.112471e+02,2.670070e+01,2.400125e-01
400,layers.0.qk_lut.weights,9.474082e+00,8.049623e+00,8.496467e-01
400,layers.0.qk_lut.log_soft_score_temp,7.058809e-01,1.018286e-02,1.442574e-02
400,layers.0.qk_lut.log_select_temp,7.030818e-01,7.840276e-03,1.115130e-02
400,layers.0.v_lut.weights,1.674213e+01,1.350427e+01,8.066039e-01
400,layers.0.v_lut.log_soft_score_temp,7.052143e-01,9.386122e-03,1.330960e-02
400,layers.0.v_lut.log_select_temp,7.047645e-01,8.930385e-03,1.267145e-02
400,layers.0.out_proj.weights,3.742257e+01,3.037914e+01,8.117866e-01
400,layers.0.out_proj.log_soft_score_temp,7.165060e-01,1.847744e-02,2.578826e-02
400,layers.0.out_proj.log_select_temp,7.163993e-01,1.824504e-02,2.546770e-02
400,layers.0.q_norm.weight,8.087132e+00,8.872341e-02,1.097094e-02
400,layers.0.q_norm.bias,7.661255e-02,6.372311e-02,8.317581e-01
400,layers.0.k_norm.weight,8.085245e+00,8.608939e-02,1.064772e-02
400,layers.0.k_norm.bias,7.523009e-02,6.118966e-02,8.133668e-01
400,layers.1.qk_lut.weights,9.471870e+00,8.321262e+00,8.785237e-01
400,layers.1.qk_lut.log_soft_score_temp,6.899418e-01,3.525138e-03,5.109327e-03
400,layers.1.qk_lut.log_select_temp,6.943452e-01,1.974106e-04,2.843119e-04
400,layers.1.v_lut.weights,1.529178e+01,1.342189e+01,8.777194e-01
400,layers.1.v_lut.log_soft_score_temp,7.043834e-01,9.725571e-03,1.380721e-02
400,layers.1.v_lut.log_select_temp,7.044176e-01,9.784520e-03,1.389023e-02
400,layers.1.out_proj.weights,3.035193e+01,2.623717e+01,8.644316e-01
400,layers.1.out_proj.log_soft_score_temp,6.936458e-01,8.025169e-04,1.156955e-03
400,layers.1.out_proj.log_select_temp,6.955735e-01,2.460599e-03,3.537511e-03
400,layers.1.q_norm.weight,8.032853e+00,3.620613e-02,4.507257e-03
400,layers.1.q_norm.bias,2.925965e-02,2.139610e-02,7.312492e-01
400,layers.1.k_norm.weight,8.030658e+00,3.527230e-02,4.392206e-03
400,layers.1.k_norm.bias,5.125294e-02,3.963109e-02,7.732453e-01
400,layers.2.qk_lut.weights,9.403226e+00,8.281296e+00,8.806867e-01
400,layers.2.qk_lut.log_soft_score_temp,6.918154e-01,1.084685e-03,1.567883e-03
400,layers.2.qk_lut.log_select_temp,6.953699e-01,2.226055e-03,3.201253e-03
400,layers.2.v_lut.weights,1.465646e+01,1.293470e+01,8.825256e-01
400,layers.2.v_lut.log_soft_score_temp,7.017677e-01,8.423865e-03,1.200378e-02
400,layers.2.v_lut.log_select_temp,7.011336e-01,7.801950e-03,1.112762e-02
400,layers.2.out_proj.weights,3.159902e+01,2.747289e+01,8.694223e-01
400,layers.2.out_proj.log_soft_score_temp,6.844055e-01,6.372571e-03,9.311104e-03
