step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498527,0.498702,0.499070,0.499069,0.497511,0.497463,0.500732,0.500519,0.498450,0.498676,0.498724,0.498605,0.501002,0.500771,0.499295,0.499361,0.499752,0.499655,0.500098,0.500121,0.499981,0.499967,0.501079,0.501097,0.500333,0.500385,0.499908,0.499902,0.500658,0.500657,0.500084,0.500080,0.499877,0.499864,0.500380,0.500372,0.499260,0.499164
400,0.493414,0.494294,0.497102,0.497105,0.489604,0.489842,0.504964,0.502775,0.491538,0.491896,0.491444,0.491124,0.506429,0.502650,0.493140,0.493217,0.495991,0.495514,0.499101,0.498435,0.498936,0.499130,0.506576,0.506277,0.501084,0.499355,0.499295,0.499334,0.506214,0.506027,0.500988,0.499864,0.499604,0.499539,0.503531,0.503298,0.498498,0.496882
600,0.483765,0.485727,0.492047,0.491945,0.477024,0.477722,0.513779,0.506173,0.479598,0.479412,0.477218,0.476637,0.515884,0.503539,0.481722,0.480957,0.488236,0.486996,0.497950,0.493776,0.493550,0.494202,0.517192,0.515194,0.503422,0.496643,0.494373,0.494377,0.521062,0.520095,0.504711,0.498242,0.496969,0.496535,0.510410,0.508224,0.501064,0.493065
800,0.473500,0.474858,0.482535,0.481339,0.460562,0.460927,0.525573,0.510577,0.464847,0.462718,0.459153,0.457261,0.530902,0.504557,0.466360,0.463171,0.475710,0.472365,0.500867,0.486899,0.482201,0.482488,0.537305,0.532027,0.510290,0.493463,0.483075,0.482209,0.545827,0.543338,0.513157,0.497025,0.490594,0.488218,0.521268,0.512867,0.509058,0.487329
1000,0.464878,0.463052,0.471547,0.466340,0.444498,0.442387,0.540351,0.514764,0.455016,0.446786,0.443834,0.437528,0.548025,0.504597,0.452147,0.444319,0.465664,0.457338,0.507178,0.479212,0.467775,0.466819,0.563475,0.553201,0.518935,0.490294,0.471972,0.469142,0.575894,0.570771,0.524794,0.493679,0.483077,0.475202,0.533220,0.512648,0.523142,0.480643
1200,0.460766,0.453019,0.466098,0.452993,0.434561,0.425520,0.553296,0.517296,0.452701,0.433929,0.438709,0.420450,0.565407,0.504601,0.444955,0.429500,0.462087,0.443876,0.519437,0.475305,0.456241,0.452961,0.591091,0.574605,0.531225,0.487922,0.464448,0.458007,0.606363,0.597189,0.538994,0.492343,0.479247,0.460753,0.544677,0.507499,0.541761,0.474396
1400,0.460266,0.444875,0.466616,0.441243,0.434010,0.412629,0.565548,0.519016,0.457420,0.424504,0.445606,0.406588,0.582434,0.503092,0.442713,0.415502,0.466078,0.432637,0.534090,0.472503,0.446435,0.439600,0.618334,0.593965,0.545246,0.485671,0.458801,0.447046,0.636511,0.620826,0.554855,0.490914,0.480198,0.447028,0.552364,0.497480,0.562797,0.469109
1600,0.462392,0.437694,0.471425,0.429587,0.440298,0.401017,0.577327,0.520986,0.465869,0.417120,0.460361,0.394803,0.598355,0.500166,0.446869,0.404164,0.477742,0.425338,0.549120,0.468474,0.440189,0.428211,0.646321,0.612217,0.560168,0.483311,0.456852,0.437540,0.666543,0.642807,0.572480,0.489332,0.488748,0.433867,0.563105,0.487202,0.587788,0.463604
1800,0.467094,0.432209,0.479621,0.420230,0.452003,0.393676,0.589143,0.522483,0.478108,0.412016,0.479053,0.388575,0.615256,0.498415,0.453144,0.394229,0.492258,0.418709,0.568184,0.466518,0.435127,0.416481,0.672342,0.626719,0.578628,0.483390,0.456651,0.426951,0.695548,0.661789,0.591779,0.488754,0.503394,0.422455,0.573564,0.475610,0.613296,0.458246
2000,0.472244,0.427186,0.491666,0.412636,0.466127,0.387596,0.598283,0.522213,0.492744,0.407727,0.500438,0.385305,0.632825,0.496549,0.463354,0.385701,0.509640,0.415644,0.587506,0.463972,0.433583,0.405404,0.698263,0.638984,0.597228,0.481269,0.458946,0.418600,0.720417,0.674945,0.613359,0.488506,0.522198,0.414228,0.586747,0.463154,0.639494,0.452600
2200,0.478773,0.422497,0.504646,0.404957,0.484749,0.383406,0.607661,0.522406,0.510238,0.405767,0.524257,0.383267,0.646685,0.492061,0.476849,0.379523,0.529221,0.414173,0.607357,0.461232,0.433772,0.395160,0.722444,0.648078,0.618035,0.481034,0.465506,0.411597,0.745246,0.686607,0.634436,0.487905,0.542768,0.408350,0.602677,0.453338,0.667512,0.448156
2400,0.484390,0.417112,0.517416,0.396897,0.504040,0.380887,0.616318,0.522218,0.527431,0.404240,0.548856,0.381953,0.662697,0.489006,0.493000,0.374860,0.550534,0.415077,0.628949,0.459768,0.438671,0.387181,0.743349,0.653887,0.639011,0.479849,0.472628,0.404129,0.764695,0.692833,0.655004,0.486585,0.565447,0.403331,0.619472,0.443375,0.696702,0.442304
2600,0.490655,0.413060,0.532187,0.390358,0.523599,0.378258,0.625156,0.521878,0.544386,0.403061,0.573619,0.382516,0.679061,0.485514,0.507311,0.370478,0.571543,0.415074,0.649691,0.456646,0.444696,0.380434,0.763161,0.657507,0.659751,0.478684,0.480710,0.398372,0.783553,0.697774,0.677110,0.486328,0.588946,0.399720,0.637462,0.434120,0.725378,0.437467
