step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498570,0.498866,0.498499,0.498502,0.497908,0.497907,0.500327,0.500220,0.499888,0.499893,0.501714,0.501624,0.499990,0.499860,0.499753,0.499772,0.501034,0.500987,0.499844,0.499639,0.499685,0.499703,0.500797,0.500764,0.500235,0.500068,0.499725,0.499729,0.500403,0.500382,0.500687,0.500392,0.499628,0.499642,0.499915,0.499925,0.499171,0.499064
400,0.494029,0.496146,0.492700,0.493022,0.489916,0.490168,0.502722,0.501213,0.498313,0.498543,0.506748,0.506005,0.501448,0.499688,0.496479,0.497014,0.503123,0.501964,0.500931,0.498424,0.496670,0.497061,0.503190,0.502123,0.503060,0.500270,0.498565,0.498603,0.502497,0.501888,0.504793,0.501777,0.498360,0.498379,0.498779,0.498842,0.497713,0.496898
600,0.486288,0.491421,0.481411,0.482316,0.476880,0.477319,0.508288,0.502436,0.492070,0.492844,0.515100,0.511304,0.504641,0.498188,0.487057,0.488204,0.510396,0.506128,0.506149,0.496942,0.486131,0.486973,0.507887,0.502887,0.511135,0.499511,0.492935,0.492955,0.508729,0.505732,0.513806,0.502894,0.492530,0.492212,0.493687,0.493708,0.497611,0.493366
800,0.477205,0.485476,0.466643,0.467423,0.460262,0.460180,0.516627,0.503326,0.480155,0.481179,0.529923,0.518562,0.512494,0.496581,0.472680,0.474122,0.528684,0.518181,0.518432,0.495120,0.469585,0.470070,0.520139,0.506579,0.524663,0.497986,0.480367,0.479395,0.521064,0.511375,0.531841,0.504665,0.479460,0.477282,0.482745,0.481428,0.502079,0.488693
1000,0.467976,0.477974,0.451453,0.451071,0.446699,0.443626,0.528784,0.504354,0.464754,0.464696,0.548321,0.524651,0.524065,0.495460,0.457866,0.459104,0.553090,0.534155,0.534683,0.494024,0.451872,0.450678,0.539839,0.513577,0.541898,0.496980,0.463964,0.460785,0.540354,0.518974,0.551955,0.505221,0.463441,0.457016,0.470757,0.465655,0.512708,0.484185
1200,0.461216,0.471572,0.438681,0.435911,0.440502,0.429165,0.540087,0.504812,0.452517,0.449286,0.570310,0.529950,0.535395,0.493213,0.444816,0.445363,0.580022,0.552005,0.550857,0.492911,0.438371,0.433458,0.562072,0.523137,0.559980,0.496956,0.449279,0.442621,0.561325,0.525578,0.571703,0.505219,0.451238,0.436899,0.463360,0.450238,0.527676,0.480036
1400,0.455363,0.465092,0.429058,0.422208,0.444051,0.419392,0.551260,0.503950,0.442272,0.434111,0.595052,0.535561,0.547666,0.491213,0.433377,0.432224,0.608833,0.569997,0.566885,0.490710,0.428066,0.417434,0.586603,0.531583,0.579374,0.496587,0.437750,0.424155,0.583995,0.528912,0.593569,0.504785,0.445249,0.419594,0.458748,0.434206,0.544882,0.476256
1600,0.450717,0.459611,0.421652,0.409488,0.455563,0.411903,0.563052,0.503937,0.436115,0.421152,0.621881,0.541856,0.561564,0.490154,0.423682,0.419444,0.636493,0.584912,0.585201,0.491262,0.421843,0.403597,0.612874,0.540599,0.599139,0.495900,0.432792,0.408565,0.605295,0.529762,0.616369,0.505091,0.446043,0.404264,0.460830,0.418493,0.565138,0.472183
1800,0.446642,0.453981,0.417113,0.398307,0.472414,0.408490,0.573584,0.502598,0.434568,0.409908,0.650865,0.548119,0.576808,0.488943,0.416355,0.407594,0.665888,0.598929,0.603437,0.489640,0.422161,0.391414,0.638884,0.548465,0.619716,0.495035,0.436276,0.394690,0.626520,0.526571,0.640322,0.506042,0.453466,0.391501,0.467082,0.404790,0.585958,0.468189
2000,0.443284,0.448847,0.415644,0.389402,0.491299,0.406899,0.583898,0.500908,0.437682,0.399532,0.680102,0.552398,0.590840,0.486915,0.411638,0.396815,0.695049,0.611320,0.621698,0.488857,0.424652,0.381354,0.664617,0.553631,0.641699,0.493629,0.441919,0.381745,0.647375,0.521214,0.665167,0.505078,0.462754,0.380979,0.478392,0.392266,0.606386,0.463655
2200,0.440462,0.443677,0.415860,0.381574,0.512681,0.405688,0.594572,0.499867,0.444337,0.390479,0.709834,0.556454,0.605501,0.485004,0.409923,0.386239,0.723552,0.621527,0.641347,0.488727,0.432060,0.373017,0.691536,0.558986,0.663390,0.492126,0.451749,0.371520,0.670424,0.517230,0.691771,0.505205,0.477410,0.372764,0.493881,0.382549,0.629431,0.459139
2400,0.438521,0.439433,0.417773,0.374520,0.534452,0.406647,0.604963,0.498409,0.453845,0.383566,0.740665,0.559124,0.621616,0.484845,0.411165,0.377504,0.753361,0.631690,0.660804,0.487798,0.441306,0.365982,0.717721,0.562900,0.684990,0.490094,0.463476,0.363409,0.691931,0.511140,0.717885,0.504685,0.493370,0.366737,0.511326,0.372965,0.652660,0.454073
2600,0.436927,0.435168,0.421323,0.368992,0.557713,0.408889,0.615283,0.497887,0.464591,0.377292,0.772684,0.562061,0.637089,0.483053,0.413650,0.369624,0.780894,0.638423,0.679116,0.485755,0.453060,0.360440,0.743696,0.566028,0.706443,0.488637,0.478710,0.358056,0.714008,0.506910,0.744384,0.503966,0.509786,0.362455,0.531654,0.364444,0.675446,0.449317
2800,0.435985,0.431376,0.425099,0.363730,0.580438,0.410696,0.624557,0.495382,0.477679,0.373117,0.803619,0.564550,0.654574,0.483359,0.419000,0.364260,0.807464,0.644385,0.697308,0.484786,0.465556,0.355466,0.768319,0.568398,0.726836,0.487414,0.495980,0.354310,0.736024,0.500912,0.771745,0.503972,0.528413,0.360913,0.552671,0.358621,0.699406,0.443913
3000,0.434858,0.427655,0.430158,0.359916,0.604275,0.414401,0.634851,0.493496,0.493016,0.369650,0.834824,0.564402,0.670070,0.480673,0.426463,0.358638,0.832812,0.647378,0.717396,0.485463,0.479154,0.352925,0.794273,0.570464,0.747235,0.484809,0.513317,0.352158,0.757672,0.495110,0.798373,0.502356,0.546648,0.359119,0.574650,0.353310,0.723503,0.438821
3200,0.434677,0.424837,0.435215,0.356282,0.627906,0.417467,0.644082,0.492059,0.507860,0.366584,0.867729,0.566152,0.688147,0.480611,0.434867,0.353865,0.858602,0.650235,0.734537,0.483652,0.492819,0.350650,0.819241,0.571808,0.768137,0.483498,0.531917,0.349782,0.780688,0.488665,0.826025,0.501097,0.564858,0.357559,0.596221,0.348717,0.748313,0.433012
3400,0.433739,0.421635,0.439973,0.353368,0.651886,0.421396,0.653037,0.490767,0.524105,0.365360,0.898790,0.568486,0.704332,0.480379,0.445332,0.350037,0.880458,0.649040,0.752575,0.482615,0.508205,0.349023,0.842685,0.572976,0.787400,0.481732,0.549843,0.348725,0.801431,0.482241,0.853677,0.500218,0.583539,0.357050,0.617706,0.344840,0.771523,0.427513
3600,0.433846,0.419238,0.445294,0.350539,0.674234,0.424571,0.660260,0.489094,0.540100,0.364569,0.929684,0.569756,0.719991,0.478828,0.455870,0.347251,0.902956,0.649869,0.769308,0.481051,0.523902,0.347827,0.865385,0.572678,0.804995,0.478677,0.568180,0.347188,0.823651,0.476324,0.880094,0.498039,0.602776,0.357021,0.639594,0.341517,0.795339,0.421395
3800,0.433814,0.416897,0.449954,0.348321,0.696594,0.427947,0.666570,0.487066,0.556160,0.365051,0.959413,0.570644,0.736929,0.478292,0.467663,0.345303,0.922076,0.646883,0.783279,0.479319,0.538957,0.347052,0.886770,0.571910,0.822447,0.476758,0.585698,0.347285,0.847445,0.473422,0.907103,0.494622,0.620411,0.357614,0.661752,0.338546,0.817774,0.415305
4000,0.433565,0.414805,0.454240,0.346134,0.717076,0.430091,0.673495,0.485827,0.571450,0.364982,0.988647,0.571038,0.754064,0.478083,0.479191,0.343385,0.939894,0.643808,0.797356,0.478116,0.553174,0.346184,0.905842,0.570469,0.838922,0.474923,0.603227,0.347066,0.869627,0.470116,0.932069,0.492334,0.638407,0.358174,0.683216,0.337112,0.839058,0.409278
