step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,read_out_lut.T_soft,read_out_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497152,0.497348,0.498176,0.498194,0.498187,0.498111,0.498268,0.498284,0.499237,0.499264,0.499657,0.499631,0.500180,0.500175,0.499167,0.499286,0.500809,0.500731,0.499615,0.499513,0.499608,0.499668,0.501076,0.501035,0.499931,0.499917,0.499914,0.499907,0.500854,0.500840,0.500299,0.500221,0.499455,0.499508,0.500116,0.500099,0.498715,0.498692
400,0.488288,0.489737,0.490824,0.491206,0.490371,0.490532,0.495701,0.495176,0.495063,0.495258,0.499471,0.499387,0.499722,0.499685,0.492367,0.492871,0.503217,0.502504,0.497479,0.496928,0.494000,0.494230,0.502966,0.502258,0.498843,0.498570,0.495781,0.496111,0.504879,0.504609,0.500960,0.499717,0.495106,0.495347,0.498715,0.498646,0.495251,0.495227
600,0.474653,0.478254,0.477011,0.478260,0.476714,0.477043,0.492710,0.490330,0.484269,0.484598,0.499301,0.498042,0.498162,0.497325,0.479505,0.480606,0.509435,0.506744,0.493009,0.491204,0.481674,0.481851,0.504088,0.501575,0.494683,0.493713,0.485410,0.486059,0.515452,0.513761,0.502549,0.497208,0.482250,0.482622,0.491269,0.490878,0.490288,0.489565
800,0.458935,0.464678,0.459056,0.460968,0.457766,0.458283,0.491608,0.485487,0.466975,0.467512,0.507228,0.500751,0.496663,0.493395,0.461009,0.462579,0.521597,0.514328,0.492027,0.485841,0.463867,0.464117,0.507878,0.499210,0.489730,0.486276,0.470322,0.471126,0.536477,0.531934,0.509043,0.494723,0.462589,0.462592,0.475986,0.474857,0.486105,0.482318
1000,0.443884,0.451459,0.442062,0.443915,0.439044,0.439885,0.493563,0.481733,0.447129,0.447622,0.524038,0.507986,0.495524,0.489134,0.441656,0.443542,0.538519,0.524292,0.493034,0.479453,0.445068,0.445312,0.514914,0.495492,0.486767,0.479458,0.453991,0.455118,0.561737,0.552825,0.519240,0.492638,0.440375,0.439504,0.457852,0.455103,0.486109,0.476167
1200,0.433737,0.442153,0.429120,0.429811,0.424395,0.424426,0.495554,0.478311,0.430168,0.429891,0.545068,0.518686,0.496835,0.485869,0.424495,0.425874,0.556907,0.533920,0.497187,0.475552,0.428245,0.428019,0.528295,0.495174,0.486848,0.473962,0.439347,0.440726,0.590177,0.576612,0.530563,0.491757,0.421200,0.418282,0.441511,0.435040,0.490557,0.471773
1400,0.426994,0.435355,0.419747,0.417540,0.415266,0.412128,0.499170,0.476384,0.414608,0.413377,0.568371,0.530665,0.498633,0.482439,0.409646,0.409910,0.578903,0.544687,0.504078,0.473449,0.413018,0.411809,0.544300,0.493629,0.492138,0.471342,0.426260,0.427386,0.620906,0.601553,0.544197,0.491139,0.405623,0.398676,0.430523,0.416445,0.499274,0.468859
1600,0.421632,0.429356,0.413269,0.406991,0.411698,0.400854,0.503400,0.474820,0.401147,0.398479,0.592280,0.542177,0.501932,0.479772,0.397271,0.395548,0.601578,0.556018,0.512512,0.470993,0.400602,0.397261,0.564697,0.494875,0.497858,0.468874,0.413329,0.413977,0.652193,0.626240,0.557417,0.491187,0.395857,0.381297,0.428889,0.399479,0.511053,0.467043
1800,0.417896,0.424576,0.410783,0.398874,0.416298,0.394781,0.507632,0.473500,0.389838,0.385402,0.617247,0.553777,0.506359,0.477649,0.386361,0.382040,0.623625,0.564619,0.523415,0.471252,0.389829,0.383322,0.585244,0.494875,0.507064,0.468907,0.401575,0.401655,0.683331,0.650328,0.571974,0.491542,0.394707,0.366407,0.436997,0.386709,0.523072,0.465772
