step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,2.047687e+02,1.555786e+00,7.597773e-03
200,unembedder.weight,1.053658e+02,1.550752e+01,1.471779e-01
200,layers.0.qk_lut.log_soft_score_temp,6.981834e-01,5.036175e-03,7.213256e-03
200,layers.0.qk_lut.log_select_temp,6.977368e-01,4.589617e-03,6.577863e-03
200,layers.0.qk_lut.weights,3.423444e+00,3.258030e+00,9.516820e-01
200,layers.0.v_lut.log_soft_score_temp,6.958320e-01,2.684832e-03,3.858448e-03
200,layers.0.v_lut.log_select_temp,6.955633e-01,2.416134e-03,3.473636e-03
200,layers.0.v_lut.weights,7.286714e+00,6.991872e+00,9.595371e-01
200,layers.0.out_proj.log_soft_score_temp,6.963717e-01,3.224492e-03,4.630418e-03
200,layers.0.out_proj.log_select_temp,6.965867e-01,3.439546e-03,4.937713e-03
200,layers.0.out_proj.weights,1.264658e+01,1.231392e+01,9.736959e-01
200,layers.0.q_norm.weight,8.006910e+00,9.390801e-03,1.172837e-03
200,layers.0.q_norm.bias,8.863575e-03,8.863575e-03,1.000000e+00
200,layers.0.k_norm.weight,8.006551e+00,9.181107e-03,1.146699e-03
200,layers.0.k_norm.bias,1.014085e-02,1.014085e-02,1.000000e+00
200,layers.1.qk_lut.log_soft_score_temp,6.973993e-01,4.252076e-03,6.097047e-03
200,layers.1.qk_lut.log_select_temp,6.976684e-01,4.521191e-03,6.480430e-03
200,layers.1.qk_lut.weights,3.599951e+00,3.449566e+00,9.582258e-01
200,layers.1.v_lut.log_soft_score_temp,6.946315e-01,1.484275e-03,2.136780e-03
200,layers.1.v_lut.log_select_temp,6.945742e-01,1.427054e-03,2.054574e-03
200,layers.1.v_lut.weights,7.484555e+00,7.197387e+00,9.616320e-01
200,layers.1.out_proj.log_soft_score_temp,6.925355e-01,6.117225e-04,8.833085e-04
200,layers.1.out_proj.log_select_temp,6.925285e-01,6.186366e-04,8.933012e-04
200,layers.1.out_proj.weights,1.317353e+01,1.285558e+01,9.758646e-01
200,layers.1.q_norm.weight,8.006257e+00,7.416855e-03,9.263823e-04
200,layers.1.q_norm.bias,4.848026e-03,4.848026e-03,1.000000e+00
200,layers.1.k_norm.weight,8.006213e+00,7.109045e-03,8.879410e-04
200,layers.1.k_norm.bias,6.335466e-03,6.335466e-03,1.000000e+00
200,layers.2.qk_lut.log_soft_score_temp,6.947292e-01,1.582026e-03,2.277184e-03
200,layers.2.qk_lut.log_select_temp,6.949654e-01,1.818180e-03,2.616217e-03
200,layers.2.qk_lut.weights,3.528585e+00,3.377955e+00,9.573116e-01
200,layers.2.v_lut.log_soft_score_temp,6.961826e-01,3.035426e-03,4.360100e-03
200,layers.2.v_lut.log_select_temp,6.959739e-01,2.826691e-03,4.061490e-03
200,layers.2.v_lut.weights,7.525745e+00,7.241502e+00,9.622306e-01
200,layers.2.out_proj.log_soft_score_temp,6.945174e-01,1.370192e-03,1.972869e-03
200,layers.2.out_proj.log_select_temp,6.945097e-01,1.362562e-03,1.961905e-03
200,layers.2.out_proj.weights,1.306445e+01,1.274396e+01,9.754687e-01
200,layers.2.q_norm.weight,8.011664e+00,1.599194e-02,1.996082e-03
200,layers.2.q_norm.bias,1.105590e-02,1.105590e-02,1.000000e+00
200,layers.2.k_norm.weight,8.011190e+00,1.558449e-02,1.945340e-03
200,layers.2.k_norm.bias,1.659820e-02,1.659820e-02,1.000000e+00
200,layers.3.qk_lut.log_soft_score_temp,6.940679e-01,9.207129e-04,1.326546e-03
200,layers.3.qk_lut.log_select_temp,6.943623e-01,1.215160e-03,1.750037e-03
200,layers.3.qk_lut.weights,3.589012e+00,3.440022e+00,9.584872e-01
200,layers.3.v_lut.log_soft_score_temp,6.955101e-01,2.362907e-03,3.397373e-03
200,layers.3.v_lut.log_select_temp,6.951855e-01,2.038360e-03,2.932109e-03
200,layers.3.v_lut.weights,7.431161e+00,7.143460e+00,9.612846e-01
200,layers.3.out_proj.log_soft_score_temp,6.931672e-01,1.996756e-05,2.880626e-05
200,layers.3.out_proj.log_select_temp,6.931661e-01,1.889467e-05,2.725851e-05
200,layers.3.out_proj.weights,1.446383e+01,1.417371e+01,9.799412e-01
200,layers.3.q_norm.weight,8.005261e+00,1.041125e-02,1.300551e-03
200,layers.3.q_norm.bias,7.252267e-03,7.252267e-03,1.000000e+00
200,layers.3.k_norm.weight,8.004970e+00,1.013970e-02,1.266676e-03
200,layers.3.k_norm.bias,1.243155e-02,1.243155e-02,1.000000e+00
200,layers.4.qk_lut.log_soft_score_temp,6.951224e-01,1.975179e-03,2.841483e-03
200,layers.4.qk_lut.log_select_temp,6.948912e-01,1.743972e-03,2.509706e-03
200,layers.4.qk_lut.weights,3.769422e+00,3.626886e+00,9.621863e-01
200,layers.4.v_lut.log_soft_score_temp,6.939130e-01,7.658601e-04,1.103683e-03
