step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.238968e+01,5.879359e-01,8.121819e-03
200,unembedder.weight,1.054367e+02,1.563177e+01,1.482574e-01
200,layers.0.qkv_lut.weights,1.936622e+00,1.855873e+00,9.583041e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.975726e-01,4.425406e-03,6.344009e-03
200,layers.0.qkv_lut.log_select_temp,6.975955e-01,4.448354e-03,6.376695e-03
200,layers.0.v_lut.weights,1.545841e+00,1.457487e+00,9.428444e-01
200,layers.0.v_lut.log_soft_score_temp,6.983855e-01,5.238295e-03,7.500578e-03
200,layers.0.v_lut.log_select_temp,6.983953e-01,5.248070e-03,7.514469e-03
200,layers.0.out_proj.weights,2.068927e+00,1.942808e+00,9.390412e-01
200,layers.0.out_proj.log_soft_score_temp,6.978773e-01,4.730165e-03,6.777932e-03
200,layers.0.out_proj.log_select_temp,6.978754e-01,4.728198e-03,6.775132e-03
200,layers.0.residual_lut.weights,2.552692e+00,2.450940e+00,9.601394e-01
200,layers.0.residual_lut.log_soft_score_temp,6.993559e-01,6.208718e-03,8.877766e-03
200,layers.0.residual_lut.log_select_temp,6.993638e-01,6.216586e-03,8.888916e-03
200,layers.0.q_norm.weight,8.018019e+00,1.889247e-02,2.356252e-03
200,layers.0.q_norm.bias,1.231824e-02,1.231824e-02,1.000000e+00
200,layers.0.k_norm.weight,8.017759e+00,1.859966e-02,2.319808e-03
200,layers.0.k_norm.bias,1.637097e-02,1.637097e-02,1.000000e+00
200,layers.0.ln_e.weight,6.934374e+00,7.243528e-03,1.044583e-03
200,layers.0.ln_e.bias,5.219321e-03,5.219321e-03,1.000000e+00
200,layers.1.qkv_lut.weights,1.758209e+00,1.672195e+00,9.510781e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.934851e-01,3.378987e-04,4.872473e-04
200,layers.1.qkv_lut.log_select_temp,6.949311e-01,1.783907e-03,2.567028e-03
200,layers.1.v_lut.weights,1.160174e+00,1.040791e+00,8.970995e-01
200,layers.1.v_lut.log_soft_score_temp,6.958102e-01,2.663016e-03,3.827217e-03
200,layers.1.v_lut.log_select_temp,6.957799e-01,2.632678e-03,3.783779e-03
200,layers.1.out_proj.weights,1.612636e+00,1.441119e+00,8.936421e-01
200,layers.1.out_proj.log_soft_score_temp,6.955926e-01,2.445459e-03,3.515649e-03
200,layers.1.out_proj.log_select_temp,6.955965e-01,2.449274e-03,3.521113e-03
200,layers.1.residual_lut.weights,1.568162e+00,1.401684e+00,8.938388e-01
200,layers.1.residual_lut.log_soft_score_temp,6.919764e-01,1.170814e-03,1.691986e-03
200,layers.1.residual_lut.log_select_temp,6.919563e-01,1.190841e-03,1.720977e-03
200,layers.1.q_norm.weight,8.005795e+00,8.213631e-03,1.025961e-03
200,layers.1.q_norm.bias,6.850815e-03,6.850815e-03,1.000000e+00
200,layers.1.k_norm.weight,8.005704e+00,7.951457e-03,9.932240e-04
200,layers.1.k_norm.bias,1.194049e-02,1.194049e-02,1.000000e+00
200,layers.1.ln_e.weight,6.927038e+00,3.479819e-03,5.023531e-04
200,layers.1.ln_e.bias,2.142679e-03,2.142679e-03,1.000000e+00
200,layers.2.qkv_lut.weights,1.458718e+00,1.353614e+00,9.279474e-01
200,layers.2.qkv_lut.log_soft_score_temp,6.947922e-01,1.644969e-03,2.367570e-03
200,layers.2.qkv_lut.log_select_temp,6.948977e-01,1.750469e-03,2.519032e-03
200,layers.2.v_lut.weights,9.066716e-01,7.494548e-01,8.266001e-01
200,layers.2.v_lut.log_soft_score_temp,6.940828e-01,9.356141e-04,1.347986e-03
200,layers.2.v_lut.log_select_temp,6.938847e-01,7.375479e-04,1.062926e-03
