step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.499236,0.499244,0.497831,0.497836,0.496778,0.496776,0.496867,0.496846,0.500779,0.500179,0.498480,0.498358,0.498484,0.498477,0.499048,0.498851,0.499383,0.499218,0.499269,0.499374,0.500110,0.500131,0.503112,0.503189,0.500124,0.500189,0.499844,0.499921,0.500783,0.500782,0.502735,0.502782,0.500285,0.500424,0.500171,0.500354,0.500898,0.500899,0.502245,0.502369,0.499785,0.499829,0.499930,0.499906,0.499693,0.499681,0.502698,0.502747
400,0.493924,0.493967,0.490175,0.490231,0.485839,0.485830,0.488449,0.488229,0.508278,0.505659,0.491608,0.490915,0.489496,0.489454,0.494810,0.493324,0.500913,0.500214,0.496390,0.496470,0.501268,0.501349,0.511433,0.511343,0.503797,0.504126,0.503003,0.503308,0.504073,0.503951,0.508906,0.508491,0.498258,0.498473,0.499556,0.499881,0.500211,0.499979,0.505455,0.505705,0.500731,0.500812,0.500058,0.500569,0.504031,0.504178,0.510722,0.510882
600,0.482167,0.482306,0.473126,0.473201,0.468674,0.468628,0.477654,0.476742,0.523102,0.517478,0.483717,0.480661,0.474105,0.473902,0.492018,0.486766,0.506445,0.503336,0.493328,0.493087,0.496692,0.496637,0.514868,0.514504,0.499588,0.499111,0.497026,0.497369,0.500126,0.498634,0.513271,0.512779,0.494309,0.494319,0.493462,0.493787,0.498828,0.497149,0.507551,0.508343,0.498318,0.498524,0.497304,0.498208,0.503853,0.502284,0.515979,0.515540
800,0.463272,0.463535,0.449326,0.449414,0.446547,0.446409,0.466015,0.463487,0.544750,0.534322,0.477477,0.468940,0.454501,0.453914,0.491298,0.479862,0.518307,0.511338,0.488731,0.487790,0.491751,0.491476,0.517668,0.516556,0.495601,0.494578,0.490652,0.490812,0.493617,0.491050,0.516864,0.515955,0.487224,0.486482,0.486532,0.486413,0.495573,0.491958,0.508192,0.509521,0.494889,0.495106,0.492195,0.492289,0.502024,0.497418,0.519411,0.518149
1000,0.442462,0.442886,0.423590,0.423686,0.423316,0.423026,0.457802,0.452499,0.568845,0.551668,0.482000,0.463044,0.437695,0.435688,0.495685,0.476601,0.535128,0.523069,0.482131,0.479852,0.485970,0.484956,0.519402,0.517180,0.490427,0.489611,0.487859,0.487866,0.488455,0.485865,0.517347,0.516696,0.480471,0.477852,0.480778,0.480193,0.493297,0.485924,0.507674,0.509597,0.490526,0.491471,0.486910,0.487103,0.498678,0.492415,0.520186,0.518478
1200,0.422020,0.422576,0.399759,0.399850,0.403713,0.402904,0.451386,0.442520,0.591854,0.566227,0.489225,0.460728,0.429860,0.424566,0.502513,0.474594,0.554325,0.535645,0.476201,0.471796,0.482337,0.480436,0.521477,0.518051,0.488748,0.487693,0.486868,0.486732,0.484433,0.481378,0.516836,0.516742,0.476606,0.472966,0.474119,0.473367,0.489985,0.479016,0.507224,0.509434,0.487081,0.488128,0.481373,0.481859,0.496915,0.488121,0.521272,0.519293
1400,0.403629,0.404304,0.377676,0.377768,0.387848,0.385740,0.447779,0.434380,0.614219,0.579153,0.501865,0.463789,0.428430,0.418724,0.510952,0.473125,0.573586,0.547270,0.472153,0.464972,0.478236,0.474890,0.523374,0.518506,0.488472,0.486900,0.486335,0.486151,0.481803,0.478353,0.515917,0.515453,0.473073,0.468546,0.468973,0.467805,0.484363,0.471867,0.506727,0.509264,0.483753,0.484401,0.477005,0.477397,0.493568,0.483365,0.521783,0.520141
1600,0.386021,0.386866,0.357159,0.357264,0.378443,0.373533,0.445848,0.427377,0.632826,0.587766,0.513166,0.466103,0.431439,0.415545,0.521122,0.472562,0.592810,0.558734,0.468355,0.458075,0.474798,0.469109,0.525246,0.518681,0.488436,0.486636,0.485358,0.485064,0.480793,0.477006,0.515367,0.514630,0.469279,0.463932,0.464446,0.463013,0.479165,0.464298,0.506109,0.509144,0.482803,0.482806,0.472806,0.472086,0.488896,0.477878,0.521111,0.519709
1800,0.370706,0.371653,0.338237,0.338353,0.376567,0.367836,0.444986,0.421415,0.648991,0.592435,0.527058,0.470224,0.437764,0.415576,0.530177,0.471713,0.609271,0.567010,0.466855,0.453382,0.471620,0.463740,0.526599,0.518436,0.487677,0.485567,0.485252,0.484932,0.481187,0.476613,0.515814,0.514896,0.467195,0.460838,0.460193,0.457721,0.471631,0.455451,0.505329,0.508715,0.480607,0.480850,0.470895,0.469890,0.485160,0.473370,0.519929,0.518778
