step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.238966e+01,5.917827e-01,8.174963e-03
200,unembedder.weight,1.054227e+02,1.560556e+01,1.480285e-01
200,layers.0.qkv_lut.weights,1.944132e+00,1.863861e+00,9.587114e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.946769e-01,1.529694e-03,2.202022e-03
200,layers.0.qkv_lut.log_select_temp,6.946600e-01,1.512825e-03,2.177793e-03
200,layers.0.v_lut.weights,1.811337e+00,1.735808e+00,9.583022e-01
200,layers.0.v_lut.log_soft_score_temp,6.974954e-01,4.348218e-03,6.234046e-03
200,layers.0.v_lut.log_select_temp,6.974840e-01,4.336834e-03,6.217826e-03
200,layers.0.out_proj.weights,1.865052e+00,1.724804e+00,9.248021e-01
200,layers.0.out_proj.log_soft_score_temp,6.996129e-01,6.465733e-03,9.241872e-03
200,layers.0.out_proj.log_select_temp,6.996171e-01,6.469905e-03,9.247781e-03
200,layers.0.residual_lut.weights,2.555079e+00,2.455275e+00,9.609389e-01
200,layers.0.residual_lut.log_soft_score_temp,6.994334e-01,6.286263e-03,8.987651e-03
200,layers.0.residual_lut.log_select_temp,6.994750e-01,6.327868e-03,9.046595e-03
200,layers.0.q_norm.weight,8.020739e+00,2.238499e-02,2.790889e-03
200,layers.0.q_norm.bias,1.273214e-02,1.273214e-02,1.000000e+00
200,layers.0.k_norm.weight,8.020038e+00,2.170466e-02,2.706304e-03
200,layers.0.k_norm.bias,1.638001e-02,1.638001e-02,1.000000e+00
200,layers.0.ln_e.weight,6.933961e+00,6.981857e-03,1.006907e-03
200,layers.0.ln_e.bias,4.425576e-03,4.425576e-03,1.000000e+00
200,layers.1.qkv_lut.weights,1.738456e+00,1.652469e+00,9.505387e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.915897e-01,1.557529e-03,2.252100e-03
200,layers.1.qkv_lut.log_select_temp,6.927894e-01,3.577471e-04,5.163865e-04
200,layers.1.v_lut.weights,1.250219e+00,1.141178e+00,9.127828e-01
200,layers.1.v_lut.log_soft_score_temp,6.961926e-01,3.045440e-03,4.374421e-03
200,layers.1.v_lut.log_select_temp,6.964364e-01,3.289223e-03,4.722933e-03
200,layers.1.out_proj.weights,1.625638e+00,1.458410e+00,8.971309e-01
