step,train_loss,val_bpb
200,8.655430,2.290120
400,7.102159,2.043008
600,6.525493,1.953340
800,6.268446,1.905274
1000,6.127487,1.866674
1200,6.007663,1.835247
1400,5.923799,1.813297
1600,5.847225,1.794955
1800,5.787363,1.780037
2000,5.718204,1.760818
2200,5.692042,1.749084
2400,5.657261,1.741247
2600,5.599047,1.725159
2800,5.571437,1.716476
3000,5.539321,1.705344
3200,5.497762,1.695022
3400,5.468416,1.685768
3600,5.444319,1.680130
3800,5.413041,1.669635
4000,5.388410,1.662864
4200,5.363655,1.656404
4400,5.349621,1.649834
4600,5.320236,1.644140
4800,5.325298,1.637488
5000,5.280590,1.629333
5200,5.263893,1.627018
5400,5.244246,1.620832
5600,5.220892,1.617796
5800,5.215690,1.611485
6000,5.199533,1.608822
6200,5.180642,1.604892
6400,5.179640,1.601483
6600,5.158705,1.599274
6800,5.154062,1.596695
7000,5.157657,1.594443
7200,5.143918,1.592243
7400,5.122243,1.590693
7600,5.112964,1.589165
7800,5.113179,1.587433
8000,5.118630,1.586549
