step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.499181,0.499193,0.498275,0.498278,0.497491,0.497480,0.496894,0.496868,0.500862,0.500155,0.498292,0.498204,0.497390,0.497388,0.499254,0.499049,0.500243,0.499910,0.499002,0.499004,0.499702,0.499703,0.502829,0.502872,0.499861,0.499898,0.500417,0.500451,0.500087,0.500085,0.502321,0.502324,0.498673,0.498626,0.498875,0.498830,0.499375,0.499373,0.502869,0.502952,0.499737,0.499852,0.500168,0.500353,0.500986,0.500992,0.502593,0.502746
400,0.493312,0.493398,0.489494,0.489528,0.486903,0.486882,0.488267,0.487994,0.509648,0.506990,0.492842,0.492067,0.487477,0.487441,0.494219,0.492769,0.502906,0.501059,0.495436,0.495119,0.495775,0.495727,0.508831,0.508167,0.497938,0.497426,0.498091,0.498186,0.498387,0.498368,0.506792,0.506817,0.495520,0.495329,0.496308,0.496764,0.501724,0.501659,0.508623,0.508946,0.498661,0.499095,0.498171,0.498548,0.503250,0.503205,0.511454,0.511571
600,0.479306,0.479487,0.472403,0.472481,0.469346,0.469296,0.476947,0.475863,0.525715,0.520411,0.484931,0.481530,0.471468,0.471329,0.489806,0.484797,0.513540,0.508459,0.486709,0.485633,0.487550,0.487276,0.512824,0.510643,0.495864,0.494699,0.495646,0.495606,0.496010,0.495871,0.510005,0.510279,0.491388,0.491583,0.491529,0.492373,0.499860,0.498436,0.513872,0.513685,0.494614,0.494889,0.493417,0.493576,0.501886,0.501008,0.518862,0.518457
800,0.459390,0.459689,0.448343,0.448433,0.446809,0.446665,0.465101,0.462321,0.549446,0.540238,0.481294,0.471296,0.452009,0.451523,0.486679,0.475661,0.530718,0.520096,0.474834,0.472313,0.476420,0.475674,0.516250,0.512139,0.499936,0.496977,0.492152,0.492243,0.494896,0.494580,0.512280,0.512978,0.487288,0.487221,0.489246,0.490148,0.497693,0.494843,0.518663,0.517801,0.488039,0.487760,0.486529,0.485864,0.496530,0.493197,0.521998,0.521057
1000,0.437485,0.437966,0.422837,0.422944,0.423857,0.423505,0.456891,0.451086,0.575861,0.561036,0.489760,0.470749,0.436175,0.434240,0.489625,0.470221,0.552393,0.535583,0.464971,0.459903,0.466487,0.464529,0.519118,0.512351,0.504864,0.499545,0.488901,0.489029,0.493746,0.493392,0.513048,0.513871,0.485531,0.485187,0.486544,0.487323,0.493173,0.490193,0.519366,0.518386,0.481239,0.480655,0.478141,0.476294,0.489522,0.484554,0.522994,0.521764
1200,0.416514,0.417047,0.399183,0.399298,0.403563,0.402803,0.451922,0.441794,0.600686,0.578318,0.504477,0.476000,0.429380,0.423834,0.495634,0.466951,0.573216,0.549282,0.457309,0.449567,0.460596,0.456597,0.521307,0.511312,0.508919,0.501540,0.487450,0.487016,0.494049,0.493419,0.514774,0.515506,0.482678,0.482143,0.484397,0.485629,0.491294,0.487962,0.519459,0.518566,0.476178,0.475085,0.472989,0.470386,0.481318,0.475228,0.523984,0.523097
1400,0.397773,0.398399,0.377027,0.377156,0.389041,0.386898,0.448671,0.434867,0.623092,0.592076,0.518590,0.479836,0.427968,0.418337,0.500740,0.464545,0.593995,0.561539,0.453438,0.441725,0.456431,0.450135,0.522978,0.509822,0.515320,0.504921,0.484510,0.484087,0.494102,0.493203,0.515986,0.516079,0.481462,0.481804,0.482786,0.484180,0.489202,0.485745,0.519316,0.518516,0.471808,0.470643,0.467537,0.464713,0.473943,0.465885,0.524169,0.523612
1600,0.380901,0.381650,0.356606,0.356747,0.381383,0.376152,0.446599,0.428108,0.644441,0.602933,0.532649,0.484728,0.433315,0.417501,0.508916,0.463701,0.613660,0.571150,0.452781,0.436630,0.454604,0.445771,0.525325,0.508709,0.519450,0.506395,0.481236,0.480639,0.494602,0.492899,0.516408,0.516077,0.482222,0.483008,0.482855,0.484307,0.487649,0.483984,0.519391,0.518780,0.467782,0.466256,0.462786,0.459365,0.467978,0.459903,0.524353,0.524247
1800,0.366063,0.366955,0.337801,0.337966,0.379665,0.370406,0.444938,0.421677,0.661394,0.609120,0.548740,0.491656,0.440799,0.418934,0.517448,0.463116,0.632899,0.579928,0.451542,0.430780,0.453975,0.442045,0.526857,0.506738,0.527052,0.511589,0.477404,0.476389,0.494502,0.491952,0.518294,0.517180,0.481850,0.482303,0.480774,0.482260,0.486716,0.482887,0.519001,0.518584,0.463478,0.461724,0.458547,0.454481,0.462307,0.454451,0.524477,0.524873
