step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.239003e+01,5.900210e-01,8.150584e-03
200,unembedder.weight,1.054288e+02,1.563624e+01,1.483109e-01
200,layers.0.qkv_lut.weights,1.954090e+00,1.870749e+00,9.573504e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.947860e-01,1.638770e-03,2.358669e-03
200,layers.0.qkv_lut.log_select_temp,6.947621e-01,1.614928e-03,2.324433e-03
200,layers.0.v_lut.weights,1.659876e+00,1.578188e+00,9.507871e-01
200,layers.0.v_lut.log_soft_score_temp,6.966027e-01,3.455520e-03,4.960532e-03
200,layers.0.v_lut.log_select_temp,6.965976e-01,3.450453e-03,4.953295e-03
200,layers.0.out_proj.weights,1.859319e+00,1.719032e+00,9.245491e-01
200,layers.0.out_proj.log_soft_score_temp,6.981780e-01,5.030811e-03,7.205628e-03
200,layers.0.out_proj.log_select_temp,6.981995e-01,5.052269e-03,7.236139e-03
200,layers.0.residual_lut.weights,2.516972e+00,2.415183e+00,9.595592e-01
200,layers.0.residual_lut.log_soft_score_temp,6.993786e-01,6.231368e-03,8.909864e-03
200,layers.0.residual_lut.log_select_temp,6.994302e-01,6.283045e-03,8.983090e-03
200,layers.0.q_norm.weight,8.015308e+00,1.636893e-02,2.042208e-03
200,layers.0.q_norm.bias,8.518888e-03,8.518888e-03,1.000000e+00
200,layers.0.k_norm.weight,8.014973e+00,1.597850e-02,1.993582e-03
200,layers.0.k_norm.bias,1.009456e-02,1.009456e-02,1.000000e+00
200,layers.0.ln_e.weight,6.933899e+00,7.373332e-03,1.063375e-03
200,layers.0.ln_e.bias,4.570245e-03,4.570245e-03,1.000000e+00
200,layers.1.qkv_lut.weights,1.733982e+00,1.648580e+00,9.507479e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.914250e-01,1.722157e-03,2.490736e-03
200,layers.1.qkv_lut.log_select_temp,6.928372e-01,3.099442e-04,4.473549e-04
200,layers.1.v_lut.weights,1.272128e+00,1.165094e+00,9.158620e-01
200,layers.1.v_lut.log_soft_score_temp,6.965698e-01,3.422618e-03,4.913532e-03
200,layers.1.v_lut.log_select_temp,6.967449e-01,3.597736e-03,5.163635e-03
200,layers.1.out_proj.weights,1.543242e+00,1.366468e+00,8.854529e-01
200,layers.1.out_proj.log_soft_score_temp,6.983811e-01,5.233884e-03,7.494309e-03
200,layers.1.out_proj.log_select_temp,6.983843e-01,5.237103e-03,7.498884e-03
200,layers.1.residual_lut.weights,1.781149e+00,1.638946e+00,9.201626e-01
200,layers.1.residual_lut.log_soft_score_temp,6.946400e-01,1.492858e-03,2.149110e-03
200,layers.1.residual_lut.log_select_temp,6.950520e-01,1.904786e-03,2.740494e-03
