step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000,0.500000,0.250000
200,0.498001,0.249005,0.497469,0.248733,0.497639,0.248830,0.497113,0.248512,0.501608,0.250748,0.501290,0.250680,0.501773,0.250853,0.502025,0.250995,0.502527,0.251279,0.502579,0.251302,0.502743,0.251371,0.502418,0.251226,0.502615,0.251320,0.502710,0.251358,0.502742,0.251370,0.502367,0.251198,0.502717,0.251371,0.502869,0.251438,0.502938,0.251468,0.502566,0.251305,0.502696,0.251358,0.502807,0.251409,0.502853,0.251426,0.502563,0.251298
400,0.489248,0.244665,0.488815,0.244478,0.491848,0.246156,0.488126,0.243925,0.510523,0.254855,0.502252,0.250805,0.506544,0.252541,0.508988,0.253497,0.510003,0.255184,0.510081,0.255200,0.511658,0.255842,0.512095,0.256187,0.509720,0.254975,0.509883,0.255037,0.510868,0.255449,0.512038,0.256178,0.509410,0.254879,0.509487,0.254848,0.511076,0.255568,0.512390,0.256362,0.508129,0.254171,0.509570,0.254952,0.510616,0.255346,0.512160,0.256257
600,0.474052,0.237171,0.471598,0.235893,0.479008,0.240000,0.482437,0.240113,0.527811,0.263251,0.504556,0.249963,0.506620,0.250288,0.521806,0.257445,0.520007,0.260345,0.509966,0.254768,0.517076,0.258040,0.526505,0.263117,0.511832,0.256087,0.513488,0.256923,0.514361,0.256848,0.525170,0.262599,0.510329,0.255303,0.510510,0.255319,0.512005,0.255699,0.526874,0.263562,0.508063,0.254128,0.512595,0.256516,0.513276,0.256490,0.525959,0.263043
800,0.457595,0.229243,0.449768,0.224995,0.459993,0.230620,0.485273,0.239269,0.553303,0.275589,0.520926,0.255889,0.519710,0.254597,0.545052,0.267027,0.543079,0.271895,0.512110,0.254819,0.524410,0.261370,0.534384,0.266817,0.511241,0.255847,0.517339,0.258895,0.515952,0.256782,0.540954,0.270427,0.506862,0.253543,0.509426,0.254717,0.507740,0.253532,0.541193,0.270584,0.500858,0.250556,0.511382,0.255856,0.505146,0.252493,0.542280,0.271118
1000,0.444422,0.223061,0.427021,0.213629,0.441140,0.220932,0.493548,0.240017,0.582952,0.289813,0.541914,0.264184,0.542503,0.264217,0.573663,0.279094,0.572435,0.286564,0.520479,0.256722,0.532129,0.264498,0.541065,0.269581,0.510660,0.255675,0.522446,0.261620,0.518996,0.257657,0.565484,0.282801,0.503108,0.251561,0.509920,0.254803,0.503078,0.250823,0.561820,0.280901,0.492247,0.246229,0.507616,0.253861,0.494691,0.247245,0.563946,0.282103
1200,0.434602,0.218711,0.407713,0.203995,0.428882,0.213967,0.503919,0.241786,0.612404,0.303671,0.563640,0.272537,0.565779,0.273623,0.604179,0.291686,0.604645,0.302612,0.533470,0.260401,0.542373,0.268715,0.547262,0.271910,0.510902,0.256010,0.528451,0.264834,0.522906,0.258859,0.587246,0.293873,0.503242,0.251414,0.512328,0.255723,0.499664,0.248663,0.582142,0.291225,0.484057,0.242133,0.505237,0.252492,0.485005,0.242147,0.583983,0.292304
1400,0.427919,0.215717,0.392863,0.196632,0.426098,0.211048,0.513509,0.243458,0.642173,0.317259,0.583683,0.279625,0.588993,0.282358,0.634038,0.303197,0.637817,0.318819,0.548236,0.264832,0.553711,0.273322,0.551746,0.273308,0.511427,0.256441,0.532923,0.267214,0.525893,0.259734,0.603781,0.302467,0.503096,0.251106,0.516033,0.257214,0.496704,0.246694,0.597449,0.299120,0.479864,0.240020,0.503410,0.251459,0.479470,0.239246,0.600473,0.300905
1600,0.419522,0.211860,0.379542,0.190024,0.429899,0.211223,0.523295,0.245261,0.669718,0.329310,0.602922,0.286338,0.612913,0.291020,0.666095,0.315272,0.672202,0.335639,0.565169,0.270521,0.566323,0.278471,0.555964,0.274480,0.510633,0.256165,0.536324,0.269040,0.527693,0.260209,0.618838,0.310386,0.502856,0.250742,0.520640,0.259116,0.495066,0.245318,0.608867,0.305226,0.475867,0.238001,0.502083,0.250640,0.474673,0.236701,0.614454,0.308348
1800,0.414300,0.209484,0.369532,0.185057,0.436741,0.212777,0.533849,0.247538,0.695991,0.340343,0.619777,0.291741,0.635712,0.298315,0.696219,0.325262,0.707026,0.352326,0.582153,0.275872,0.579774,0.283877,0.560153,0.275438,0.510187,0.256098,0.538255,0.270078,0.528773,0.260335,0.631991,0.317388,0.503654,0.250882,0.524212,0.260503,0.493925,0.244410,0.622346,0.312346,0.473274,0.236656,0.499591,0.249294,0.470980,0.234608,0.629476,0.315881
