step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.237914e+01,5.842360e-01,8.071884e-03
200,unembedder.weight,1.054287e+02,1.560208e+01,1.479871e-01
200,layers.0.qkv_lut.weights,1.890728e+00,1.807379e+00,9.559172e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.936426e-01,4.953742e-04,7.141635e-04
200,layers.0.qkv_lut.log_select_temp,6.934995e-01,3.523231e-04,5.080365e-04
200,layers.0.v_lut.weights,1.423386e+00,1.326282e+00,9.317798e-01
200,layers.0.v_lut.log_soft_score_temp,6.958302e-01,2.683043e-03,3.855888e-03
200,layers.0.v_lut.log_select_temp,6.958018e-01,2.654612e-03,3.815184e-03
200,layers.0.out_proj.weights,2.306157e+00,2.194292e+00,9.514927e-01
200,layers.0.out_proj.log_soft_score_temp,6.957045e-01,2.557337e-03,3.675896e-03
200,layers.0.out_proj.log_select_temp,6.957521e-01,2.604961e-03,3.744094e-03
200,layers.0.residual_lut.weights,2.690533e+00,2.594893e+00,9.644530e-01
200,layers.0.residual_lut.log_soft_score_temp,6.994079e-01,6.260693e-03,8.951419e-03
200,layers.0.residual_lut.log_select_temp,6.994359e-01,6.288707e-03,8.991113e-03
200,layers.0.q_norm.weight,8.018393e+00,1.928558e-02,2.405168e-03
200,layers.0.q_norm.bias,9.895299e-03,9.895299e-03,1.000000e+00
200,layers.0.k_norm.weight,8.017726e+00,1.858515e-02,2.318008e-03
200,layers.0.k_norm.bias,1.374938e-02,1.374938e-02,1.000000e+00
200,layers.0.ln_e.weight,6.937853e+00,1.070377e-02,1.542807e-03
200,layers.0.ln_e.bias,6.279029e-03,6.279029e-03,1.000000e+00
200,layers.1.qkv_lut.weights,1.916427e+00,1.838159e+00,9.591597e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.936837e-01,5.365014e-04,7.734093e-04
200,layers.1.qkv_lut.log_select_temp,6.946043e-01,1.457095e-03,2.097734e-03
200,layers.1.v_lut.weights,1.431745e+00,1.337015e+00,9.338357e-01
200,layers.1.v_lut.log_soft_score_temp,6.958731e-01,2.725959e-03,3.917322e-03
