step,train_loss,val_bpb
200,8.640816,2.292198
400,7.104943,2.046170
600,6.526453,1.947313
800,6.263686,1.902675
1000,6.119176,1.860031
1200,5.992501,1.832162
1400,5.903693,1.804321
1600,5.818841,1.781588
1800,5.756178,1.768466
2000,5.685819,1.754122
2200,5.664267,1.741059
2400,5.630548,1.734574
2600,5.573060,1.716800
2800,5.546149,1.705089
3000,5.514341,1.695631
3200,5.475061,1.688138
3400,5.446034,1.680275
3600,5.424409,1.674447
3800,5.395424,1.664667
4000,5.373460,1.658047
4200,5.348936,1.653054
4400,5.334246,1.644649
4600,5.306696,1.638342
4800,5.312352,1.632593
5000,5.268481,1.627503
5200,5.252344,1.623916
5400,5.232370,1.618482
5600,5.207868,1.613855
5800,5.206121,1.608756
6000,5.187781,1.604146
6200,5.170105,1.601866
6400,5.168048,1.598506
6600,5.148093,1.595710
6800,5.145055,1.592755
7000,5.148348,1.590823
7200,5.134576,1.589365
7400,5.112709,1.587144
7600,5.103715,1.586116
7800,5.103914,1.583971
8000,5.108736,1.583532
