step,L0.qkv_lut.T_soft,L0.qkv_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qkv_lut.T_soft,L1.qkv_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qkv_lut.T_soft,L2.qkv_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qkv_lut.T_soft,L3.qkv_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qkv_lut.T_soft,L4.qkv_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qkv_lut.T_soft,L5.qkv_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497244,0.497458,0.497870,0.497901,0.499963,0.499763,0.496952,0.496864,0.498117,0.497678,0.497342,0.497341,0.500194,0.500091,0.497901,0.497444,0.498319,0.497851,0.497448,0.497463,0.500015,0.499933,0.499437,0.498461,0.498192,0.497938,0.498194,0.498201,0.500702,0.500669,0.500496,0.499671,0.498416,0.498115,0.498022,0.498006,0.500523,0.500486,0.500945,0.500421,0.498328,0.498132,0.498711,0.498598,0.500632,0.500622,0.501253,0.500882
400,0.492079,0.492894,0.487706,0.487779,0.489787,0.489301,0.486824,0.486367,0.502479,0.497021,0.489113,0.488588,0.495407,0.494392,0.495173,0.489440,0.500926,0.495795,0.488922,0.488554,0.494709,0.493639,0.507885,0.500539,0.499138,0.496845,0.492344,0.491962,0.502405,0.501790,0.510739,0.508062,0.498515,0.496258,0.492235,0.491942,0.499689,0.499170,0.511391,0.509828,0.499160,0.497448,0.494273,0.493802,0.501249,0.500975,0.511762,0.510675
600,0.485409,0.490812,0.470634,0.470859,0.472345,0.471698,0.473846,0.471322,0.513682,0.499776,0.478014,0.475231,0.487601,0.484922,0.500627,0.484049,0.509361,0.496746,0.476450,0.474806,0.485157,0.482448,0.519827,0.503735,0.503088,0.494428,0.479115,0.477974,0.498642,0.496374,0.526517,0.518970,0.501968,0.495611,0.482365,0.481501,0.496147,0.494455,0.527271,0.521695,0.498699,0.494578,0.486135,0.485315,0.498932,0.497700,0.527991,0.523191
800,0.478194,0.495576,0.447974,0.448419,0.450488,0.449407,0.468693,0.455918,0.529683,0.504380,0.465520,0.457476,0.478365,0.472129,0.512132,0.481079,0.524337,0.500312,0.460733,0.456416,0.475153,0.470003,0.535544,0.506522,0.508401,0.491099,0.463000,0.460071,0.492503,0.487347,0.545506,0.526201,0.505203,0.492712,0.468800,0.466953,0.491250,0.488161,0.544499,0.529129,0.499625,0.491596,0.473938,0.472674,0.493315,0.490452,0.544204,0.528816
1000,0.474815,0.508434,0.424549,0.425110,0.432337,0.428645,0.476272,0.446889,0.551228,0.512392,0.457617,0.438996,0.471131,0.459142,0.527726,0.481899,0.541680,0.503580,0.445989,0.437032,0.466452,0.457642,0.552535,0.506761,0.515611,0.487803,0.447025,0.441905,0.484822,0.475893,0.564566,0.527882,0.510947,0.489594,0.453996,0.450796,0.486785,0.481656,0.561005,0.530606,0.501249,0.487455,0.461891,0.459863,0.487008,0.482167,0.558983,0.528136
1200,0.476694,0.523885,0.404035,0.404417,0.429447,0.415767,0.489829,0.443484,0.571002,0.518237,0.458518,0.423749,0.465987,0.445843,0.544185,0.483179,0.560485,0.507839,0.436943,0.420924,0.460239,0.445840,0.568195,0.506063,0.525669,0.486807,0.434638,0.426517,0.478069,0.465381,0.578928,0.523760,0.516163,0.486503,0.442563,0.436972,0.481028,0.473790,0.574041,0.527281,0.503245,0.484042,0.449411,0.446410,0.481384,0.474329,0.571135,0.523721
1400,0.479254,0.539385,0.386712,0.386354,0.439135,0.412481,0.505124,0.441423,0.593613,0.526625,0.467080,0.411892,0.467480,0.435820,0.560934,0.484111,0.578642,0.512249,0.434351,0.407693,0.458308,0.436319,0.581782,0.504355,0.534946,0.484086,0.424200,0.411684,0.469815,0.452807,0.593370,0.518819,0.523844,0.484987,0.430739,0.422295,0.475764,0.465686,0.586477,0.522852,0.506234,0.480488,0.438453,0.433773,0.473899,0.464409,0.581160,0.517334
1600,0.480817,0.553628,0.372195,0.370355,0.454288,0.413679,0.520198,0.438212,0.613472,0.532317,0.480571,0.405509,0.475097,0.428981,0.577392,0.484229,0.597090,0.516153,0.435096,0.396682,0.458886,0.427743,0.597408,0.503389,0.547206,0.482741,0.414933,0.397531,0.462547,0.440669,0.609295,0.513587,0.532696,0.482318,0.421436,0.408677,0.470663,0.457108,0.599154,0.516522,0.508400,0.477247,0.428472,0.422091,0.464869,0.452662,0.592101,0.510026
1800,0.482998,0.568345,0.361990,0.357231,0.470409,0.416247,0.533599,0.434140,0.632232,0.537512,0.493511,0.400276,0.485896,0.423821,0.593530,0.483591,0.613400,0.519243,0.440041,0.388652,0.463707,0.420965,0.611545,0.501975,0.559956,0.482894,0.408810,0.385610,0.458885,0.431099,0.624766,0.510039,0.541609,0.481573,0.412029,0.394991,0.465785,0.448184,0.610688,0.509721,0.511361,0.474120,0.418635,0.410012,0.456852,0.441701,0.602510,0.501804
