step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.240450e+01,6.071002e-01,8.384842e-03
200,unembedder.weight,1.053855e+02,1.563033e+01,1.483157e-01
200,layers.0.qkv_lut.weights,3.453423e+00,3.276204e+00,9.486830e-01
200,layers.0.qkv_lut.log_soft_score_temp,6.980975e-01,4.950345e-03,7.091193e-03
200,layers.0.qkv_lut.log_select_temp,6.976588e-01,4.511595e-03,6.466764e-03
200,layers.0.v_lut.weights,1.536648e+00,1.447286e+00,9.418460e-01
200,layers.0.v_lut.log_soft_score_temp,6.957743e-01,2.627134e-03,3.775843e-03
200,layers.0.v_lut.log_select_temp,6.956918e-01,2.544582e-03,3.657628e-03
200,layers.0.out_proj.weights,2.497168e+00,2.412729e+00,9.661862e-01
200,layers.0.out_proj.log_soft_score_temp,6.936890e-01,5.418658e-04,7.811365e-04
200,layers.0.out_proj.log_select_temp,6.940020e-01,8.548498e-04,1.231768e-03
200,layers.0.residual_lut.weights,2.966440e+00,2.899786e+00,9.775307e-01
200,layers.0.residual_lut.log_soft_score_temp,6.989124e-01,5.765200e-03,8.248816e-03
200,layers.0.residual_lut.log_select_temp,6.991717e-01,6.024480e-03,8.616596e-03
200,layers.0.q_norm.weight,8.011977e+00,1.356301e-02,1.692841e-03
200,layers.0.q_norm.bias,8.205751e-03,8.205751e-03,1.000000e+00
200,layers.0.k_norm.weight,8.011675e+00,1.330205e-02,1.660334e-03
200,layers.0.k_norm.bias,9.684969e-03,9.684969e-03,1.000000e+00
200,layers.1.qkv_lut.weights,3.551999e+00,3.386205e+00,9.533239e-01
200,layers.1.qkv_lut.log_soft_score_temp,6.959050e-01,2.757788e-03,3.962880e-03
200,layers.1.qkv_lut.log_select_temp,6.974474e-01,4.300237e-03,6.165679e-03
200,layers.1.v_lut.weights,1.524371e+00,1.433927e+00,9.406677e-01
200,layers.1.v_lut.log_soft_score_temp,6.954071e-01,2.259910e-03,3.249766e-03
200,layers.1.v_lut.log_select_temp,6.953791e-01,2.231956e-03,3.209696e-03
200,layers.1.out_proj.weights,2.556442e+00,2.467967e+00,9.653913e-01
200,layers.1.out_proj.log_soft_score_temp,6.922541e-01,8.931160e-04,1.290156e-03
200,layers.1.out_proj.log_select_temp,6.924114e-01,7.357597e-04,1.062605e-03
200,layers.1.residual_lut.weights,2.889064e+00,2.821839e+00,9.767312e-01
200,layers.1.residual_lut.log_soft_score_temp,6.971532e-01,4.006028e-03,5.746267e-03
200,layers.1.residual_lut.log_select_temp,6.980789e-01,4.931748e-03,7.064743e-03
200,layers.1.q_norm.weight,8.009195e+00,1.172799e-02,1.464315e-03
200,layers.1.q_norm.bias,6.753353e-03,6.753353e-03,1.000000e+00
200,layers.1.k_norm.weight,8.008992e+00,1.153820e-02,1.440656e-03
200,layers.1.k_norm.bias,8.812311e-03,8.812311e-03,1.000000e+00
200,layers.2.qkv_lut.weights,3.459073e+00,3.290071e+00,9.511424e-01
200,layers.2.qkv_lut.log_soft_score_temp,6.948724e-01,1.725256e-03,2.482839e-03
200,layers.2.qkv_lut.log_select_temp,6.964817e-01,3.334522e-03,4.787667e-03
200,layers.2.v_lut.weights,1.553901e+00,1.466403e+00,9.436913e-01
200,layers.2.v_lut.log_soft_score_temp,6.969979e-01,3.850758e-03,5.524777e-03
200,layers.2.v_lut.log_select_temp,6.970276e-01,3.880441e-03,5.567127e-03
200,layers.2.out_proj.weights,2.674965e+00,2.588212e+00,9.675688e-01
200,layers.2.out_proj.log_soft_score_temp,6.938477e-01,7.005334e-04,1.009636e-03
200,layers.2.out_proj.log_select_temp,6.940485e-01,9.013414e-04,1.298672e-03
200,layers.2.residual_lut.weights,2.831668e+00,2.763887e+00,9.760631e-01
200,layers.2.residual_lut.log_soft_score_temp,6.936761e-01,5.289316e-04,7.625052e-04
200,layers.2.residual_lut.log_select_temp,6.956702e-01,2.523005e-03,3.626726e-03
200,layers.2.q_norm.weight,8.011672e+00,1.362231e-02,1.700308e-03
200,layers.2.q_norm.bias,1.050000e-02,1.050000e-02,1.000000e+00
200,layers.2.k_norm.weight,8.011346e+00,1.343342e-02,1.676799e-03
200,layers.2.k_norm.bias,1.463785e-02,1.463785e-02,1.000000e+00
200,layers.3.qkv_lut.weights,3.445491e+00,3.276398e+00,9.509235e-01
200,layers.3.qkv_lut.log_soft_score_temp,6.945229e-01,1.375735e-03,1.980834e-03
200,layers.3.qkv_lut.log_select_temp,6.962170e-01,3.069818e-03,4.409283e-03
200,layers.3.v_lut.weights,1.554778e+00,1.466097e+00,9.429623e-01
200,layers.3.v_lut.log_soft_score_temp,6.976116e-01,4.464447e-03,6.399617e-03
200,layers.3.v_lut.log_select_temp,6.977629e-01,4.615724e-03,6.615032e-03
200,layers.3.out_proj.weights,2.811589e+00,2.726129e+00,9.696042e-01
200,layers.3.out_proj.log_soft_score_temp,6.939759e-01,8.286834e-04,1.194110e-03
200,layers.3.out_proj.log_select_temp,6.941078e-01,9.605885e-04,1.383918e-03
200,layers.3.residual_lut.weights,2.796958e+00,2.729957e+00,9.760451e-01
200,layers.3.residual_lut.log_soft_score_temp,6.918141e-01,1.333058e-03,1.926902e-03
200,layers.3.residual_lut.log_select_temp,6.932762e-01,1.290441e-04,1.861366e-04
200,layers.3.q_norm.weight,8.015790e+00,1.968562e-02,2.455855e-03
200,layers.3.q_norm.bias,1.138857e-02,1.138857e-02,1.000000e+00
200,layers.3.k_norm.weight,8.015298e+00,1.919719e-02,2.395069e-03
200,layers.3.k_norm.bias,1.629742e-02,1.629742e-02,1.000000e+00
200,layers.4.qkv_lut.weights,3.388192e+00,3.214618e+00,9.487708e-01
200,layers.4.qkv_lut.log_soft_score_temp,6.948658e-01,1.718640e-03,2.473341e-03
200,layers.4.qkv_lut.log_select_temp,6.962711e-01,3.123939e-03,4.486670e-03
200,layers.4.v_lut.weights,1.558318e+00,1.472040e+00,9.446344e-01
200,layers.4.v_lut.log_soft_score_temp,6.967933e-01,3.646135e-03,5.232736e-03
200,layers.4.v_lut.log_select_temp,6.968576e-01,3.710449e-03,5.324543e-03
200,layers.4.out_proj.weights,3.768539e+00,3.702256e+00,9.824115e-01
200,layers.4.out_proj.log_soft_score_temp,6.933431e-01,1.959205e-04,2.825736e-04
200,layers.4.out_proj.log_select_temp,6.933936e-01,2.464056e-04,3.553618e-04
200,layers.4.residual_lut.weights,2.776385e+00,2.708870e+00,9.756823e-01
200,layers.4.residual_lut.log_soft_score_temp,6.908939e-01,2.253234e-03,3.261332e-03
200,layers.4.residual_lut.log_select_temp,6.918666e-01,1.280546e-03,1.850857e-03
200,layers.4.q_norm.weight,8.011206e+00,1.472700e-02,1.838300e-03
200,layers.4.q_norm.bias,1.204405e-02,1.204405e-02,1.000000e+00
200,layers.4.k_norm.weight,8.010875e+00,1.432058e-02,1.787642e-03
200,layers.4.k_norm.bias,1.370052e-02,1.370052e-02,1.000000e+00
200,layers.5.qkv_lut.weights,3.437471e+00,3.266221e+00,9.501814e-01
200,layers.5.qkv_lut.log_soft_score_temp,6.949871e-01,1.839876e-03,2.647353e-03
200,layers.5.qkv_lut.log_select_temp,6.960393e-01,2.892137e-03,4.155134e-03
200,layers.5.v_lut.weights,1.593248e+00,1.508117e+00,9.465677e-01
200,layers.5.v_lut.log_soft_score_temp,6.950658e-01,1.918614e-03,2.760334e-03
200,layers.5.v_lut.log_select_temp,6.951421e-01,1.994908e-03,2.869784e-03
200,layers.5.out_proj.weights,4.005975e+00,3.943190e+00,9.843271e-01
200,layers.5.out_proj.log_soft_score_temp,6.924959e-01,6.513000e-04,9.405109e-04
200,layers.5.out_proj.log_select_temp,6.925209e-01,6.263256e-04,9.044141e-04
200,layers.5.residual_lut.weights,2.761377e+00,2.694603e+00,9.758185e-01
200,layers.5.residual_lut.log_soft_score_temp,6.903511e-01,2.796113e-03,4.050278e-03
200,layers.5.residual_lut.log_select_temp,6.911259e-01,2.021313e-03,2.924667e-03
200,layers.5.q_norm.weight,8.005091e+00,7.236362e-03,9.039700e-04
200,layers.5.q_norm.bias,4.393724e-03,4.393724e-03,1.000000e+00
200,layers.5.k_norm.weight,8.005048e+00,7.009123e-03,8.755878e-04
200,layers.5.k_norm.bias,7.895709e-03,7.895709e-03,1.000000e+00
200,ln_final.weight,1.974459e+01,1.486886e-01,7.530595e-03
200,ln_final.bias,1.447925e-01,1.447925e-01,1.000000e+00
400,tok_emb_E.weight,7.248421e+01,1.629236e+00,2.247711e-02
400,unembedder.weight,1.113260e+02,2.659874e+01,2.389267e-01
400,layers.0.qkv_lut.weights,9.883122e+00,8.685417e+00,8.788131e-01
400,layers.0.qkv_lut.log_soft_score_temp,7.130035e-01,1.490593e-02,2.090583e-02
400,layers.0.qkv_lut.log_select_temp,7.110398e-01,1.338100e-02,1.881893e-02
400,layers.0.v_lut.weights,4.852734e+00,4.347931e+00,8.959755e-01
400,layers.0.v_lut.log_soft_score_temp,7.155569e-01,1.978260e-02,2.764644e-02
400,layers.0.v_lut.log_select_temp,7.153165e-01,1.962471e-02,2.743500e-02
400,layers.0.out_proj.weights,6.745033e+00,6.258388e+00,9.278513e-01
400,layers.0.out_proj.log_soft_score_temp,7.090776e-01,1.538855e-02,2.170221e-02
400,layers.0.out_proj.log_select_temp,7.109828e-01,1.698077e-02,2.388351e-02
400,layers.0.residual_lut.weights,7.834504e+00,6.548842e+00,8.358975e-01
400,layers.0.residual_lut.log_soft_score_temp,7.184465e-01,1.953411e-02,2.718937e-02
400,layers.0.residual_lut.log_select_temp,7.200078e-01,2.083617e-02,2.893882e-02
400,layers.0.q_norm.weight,8.104450e+00,1.003502e-01,1.238211e-02
400,layers.0.q_norm.bias,6.780641e-02,6.116074e-02,9.019905e-01
400,layers.0.k_norm.weight,8.103061e+00,9.906211e-02,1.222527e-02
400,layers.0.k_norm.bias,6.841224e-02,6.523971e-02,9.536264e-01
400,layers.1.qkv_lut.weights,1.005075e+01,8.997057e+00,8.951627e-01
