step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.497711,0.497925,0.498011,0.498042,0.499709,0.499311,0.496897,0.496747,0.500703,0.499844,0.499640,0.499671,0.501916,0.501872,0.498092,0.497390,0.500524,0.499800,0.499709,0.499712,0.501212,0.501195,0.500183,0.498992,0.500628,0.499940,0.499305,0.499340,0.501280,0.501247,0.501024,0.500477,0.500552,0.499945,0.499134,0.499099,0.501034,0.501025,0.501470,0.501120,0.499986,0.499476,0.499192,0.499173,0.500681,0.500669,0.501718,0.501452
400,0.499514,0.501011,0.487925,0.488122,0.489017,0.488347,0.487684,0.486936,0.511048,0.509132,0.494786,0.494728,0.504995,0.502744,0.497475,0.490881,0.510064,0.508785,0.497764,0.497553,0.506831,0.506057,0.508467,0.502313,0.508296,0.507190,0.498980,0.498934,0.508119,0.507791,0.510996,0.508940,0.507372,0.506210,0.498241,0.498099,0.505903,0.505509,0.511726,0.510521,0.505363,0.504638,0.497589,0.497477,0.504046,0.503881,0.512307,0.511628
600,0.505504,0.509075,0.471990,0.472953,0.472150,0.471244,0.476824,0.473531,0.529391,0.526002,0.485463,0.484133,0.502448,0.496177,0.499648,0.483896,0.527206,0.523804,0.491904,0.490305,0.509933,0.506875,0.519158,0.503421,0.521101,0.517782,0.494028,0.493807,0.515849,0.513994,0.526119,0.518878,0.518044,0.515400,0.495152,0.494678,0.513684,0.512164,0.527569,0.522848,0.516513,0.514541,0.494285,0.494204,0.507909,0.507197,0.528126,0.524771
800,0.514619,0.521145,0.451007,0.453421,0.451855,0.450060,0.468992,0.459179,0.554582,0.547521,0.477205,0.471611,0.502697,0.489723,0.504178,0.476266,0.550951,0.542042,0.482934,0.478908,0.511886,0.504549,0.527406,0.500011,0.539565,0.530281,0.485581,0.485152,0.524042,0.519347,0.537906,0.520995,0.530271,0.524129,0.487938,0.487236,0.520191,0.516862,0.541219,0.528553,0.531309,0.526563,0.489148,0.489244,0.512278,0.510166,0.543543,0.533519
1000,0.524513,0.533520,0.428614,0.432663,0.435331,0.429679,0.468431,0.447236,0.582462,0.568613,0.471290,0.458469,0.505633,0.482648,0.511972,0.469359,0.577858,0.560014,0.474498,0.466998,0.513489,0.499825,0.535750,0.493692,0.560470,0.541368,0.472880,0.471806,0.531818,0.522757,0.547247,0.519163,0.544056,0.532017,0.480228,0.479156,0.524992,0.518979,0.553188,0.528982,0.544838,0.534605,0.481842,0.481850,0.514771,0.510862,0.556424,0.536525
1200,0.531885,0.542723,0.409542,0.415273,0.435904,0.418115,0.473114,0.438359,0.610912,0.588219,0.472295,0.447653,0.511173,0.476105,0.522741,0.465055,0.602259,0.570788,0.467473,0.455344,0.511739,0.490163,0.542611,0.486071,0.582881,0.551354,0.459347,0.457007,0.535918,0.522000,0.553921,0.512673,0.558083,0.538701,0.470566,0.468872,0.526823,0.517720,0.561441,0.523966,0.560137,0.543131,0.476806,0.476757,0.518890,0.512844,0.567051,0.535950
1400,0.538703,0.551414,0.394020,0.401142,0.446995,0.414477,0.479286,0.431144,0.637280,0.603063,0.478514,0.439118,0.520183,0.470360,0.533019,0.460959,0.626538,0.578614,0.462971,0.444245,0.511194,0.480913,0.550939,0.479538,0.604203,0.557328,0.449439,0.444546,0.539656,0.519719,0.561035,0.506842,0.571527,0.543153,0.462480,0.459759,0.527432,0.514545,0.567733,0.517372,0.572714,0.548035,0.469955,0.469684,0.520194,0.511282,0.575246,0.531895
1600,0.544843,0.558884,0.380950,0.388648,0.465058,0.416956,0.484776,0.422232,0.661458,0.613324,0.485673,0.433010,0.534166,0.467123,0.543173,0.456613,0.647228,0.579894,0.459241,0.433821,0.509737,0.470208,0.560416,0.473099,0.622911,0.559156,0.439609,0.431761,0.542799,0.516417,0.569877,0.500540,0.585847,0.548132,0.453762,0.449859,0.525538,0.508596,0.574988,0.510236,0.586077,0.551777,0.463639,0.463038,0.522519,0.510135,0.582771,0.525814
1800,0.551098,0.566627,0.371786,0.378922,0.482103,0.420243,0.489798,0.414107,0.683346,0.620327,0.495037,0.429605,0.549120,0.465763,0.553541,0.452043,0.667143,0.580038,0.458142,0.425331,0.512300,0.461455,0.569700,0.467106,0.639048,0.558557,0.431058,0.420184,0.544939,0.512242,0.578388,0.494241,0.598431,0.550528,0.445189,0.439657,0.522918,0.501143,0.582146,0.501727,0.595985,0.553452,0.456495,0.455494,0.523131,0.507142,0.589414,0.518375
