step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.241325e+01,6.257949e-01,8.641994e-03
200,unembedder.weight,1.053925e+02,1.564177e+01,1.484144e-01
200,layers.0.qk_lut.weights,1.649514e+00,1.567971e+00,9.505657e-01
200,layers.0.qk_lut.log_soft_score_temp,6.977348e-01,4.587650e-03,6.575063e-03
200,layers.0.qk_lut.log_select_temp,6.973052e-01,4.158020e-03,5.962984e-03
200,layers.0.v_lut.weights,1.327559e+00,1.222305e+00,9.207165e-01
200,layers.0.v_lut.log_soft_score_temp,6.971335e-01,3.986359e-03,5.718214e-03
200,layers.0.v_lut.log_select_temp,6.970711e-01,3.923893e-03,5.629115e-03
200,layers.0.out_proj.weights,1.579781e+00,1.523867e+00,9.646063e-01
200,layers.0.out_proj.log_soft_score_temp,6.937303e-01,5.831122e-04,8.405460e-04
200,layers.0.out_proj.log_select_temp,6.945264e-01,1.379251e-03,1.985888e-03
200,layers.0.residual_lut.weights,3.043729e+00,2.980106e+00,9.790972e-01
200,layers.0.residual_lut.log_soft_score_temp,6.993725e-01,6.225288e-03,8.901248e-03
200,layers.0.residual_lut.log_select_temp,6.996748e-01,6.527603e-03,9.329481e-03
200,layers.0.q_norm.weight,8.025421e+00,2.742936e-02,3.417810e-03
200,layers.0.q_norm.bias,1.747476e-02,1.747476e-02,1.000000e+00
200,layers.0.k_norm.weight,8.025043e+00,2.709775e-02,3.376648e-03
200,layers.0.k_norm.bias,1.951516e-02,1.951516e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.673505e+00,1.596204e+00,9.538090e-01
200,layers.1.qk_lut.log_soft_score_temp,6.917419e-01,1.405239e-03,2.031450e-03
200,layers.1.qk_lut.log_select_temp,6.934592e-01,3.119707e-04,4.498761e-04
200,layers.1.v_lut.weights,1.253422e+00,1.143967e+00,9.126754e-01
200,layers.1.v_lut.log_soft_score_temp,6.938671e-01,7.199645e-04,1.037611e-03
200,layers.1.v_lut.log_select_temp,6.938052e-01,6.579757e-04,9.483580e-04
200,layers.1.out_proj.weights,1.703744e+00,1.644327e+00,9.651257e-01
200,layers.1.out_proj.log_soft_score_temp,6.893220e-01,3.825188e-03,5.549203e-03
200,layers.1.out_proj.log_select_temp,6.894106e-01,3.736615e-03,5.420014e-03
200,layers.1.residual_lut.weights,2.910846e+00,2.847461e+00,9.782245e-01
200,layers.1.residual_lut.log_soft_score_temp,6.969698e-01,3.822625e-03,5.484635e-03
200,layers.1.residual_lut.log_select_temp,6.983812e-01,5.234063e-03,7.494564e-03
200,layers.1.q_norm.weight,8.009700e+00,1.261824e-02,1.575370e-03
200,layers.1.q_norm.bias,6.213382e-03,6.213382e-03,1.000000e+00
200,layers.1.k_norm.weight,8.009692e+00,1.242095e-02,1.550740e-03
200,layers.1.k_norm.bias,8.883800e-03,8.883800e-03,1.000000e+00
200,layers.2.qk_lut.weights,1.662232e+00,1.582562e+00,9.520709e-01
200,layers.2.qk_lut.log_soft_score_temp,6.920989e-01,1.048267e-03,1.514620e-03
200,layers.2.qk_lut.log_select_temp,6.935478e-01,4.006028e-04,5.776139e-04
200,layers.2.v_lut.weights,1.328463e+00,1.226860e+00,9.235184e-01
200,layers.2.v_lut.log_soft_score_temp,6.937293e-01,5.820990e-04,8.390866e-04
200,layers.2.v_lut.log_select_temp,6.937224e-01,5.751848e-04,8.291283e-04
200,layers.2.out_proj.weights,1.858759e+00,1.800190e+00,9.684904e-01
200,layers.2.out_proj.log_soft_score_temp,6.907257e-01,2.421498e-03,3.505731e-03
200,layers.2.out_proj.log_select_temp,6.907610e-01,2.386212e-03,3.454469e-03
200,layers.2.residual_lut.weights,2.820842e+00,2.756474e+00,9.771815e-01
200,layers.2.residual_lut.log_soft_score_temp,6.927816e-01,3.656149e-04,5.277492e-04
200,layers.2.residual_lut.log_select_temp,6.951658e-01,2.018631e-03,2.903812e-03
200,layers.2.q_norm.weight,8.004849e+00,7.390826e-03,9.232936e-04
200,layers.2.q_norm.bias,5.917763e-03,5.917763e-03,1.000000e+00
200,layers.2.k_norm.weight,8.005011e+00,7.295196e-03,9.113288e-04
200,layers.2.k_norm.bias,8.512297e-03,8.512297e-03,1.000000e+00
200,layers.3.qk_lut.weights,1.602981e+00,1.521266e+00,9.490231e-01
200,layers.3.qk_lut.log_soft_score_temp,6.918918e-01,1.255333e-03,1.814349e-03
200,layers.3.qk_lut.log_select_temp,6.932682e-01,1.210570e-04,1.746179e-04
200,layers.3.v_lut.weights,1.373600e+00,1.274683e+00,9.279871e-01
200,layers.3.v_lut.log_soft_score_temp,6.945375e-01,1.390278e-03,2.001733e-03
200,layers.3.v_lut.log_select_temp,6.944686e-01,1.321375e-03,1.902714e-03
200,layers.3.out_proj.weights,1.992401e+00,1.935522e+00,9.714519e-01
200,layers.3.out_proj.log_soft_score_temp,6.905910e-01,2.556145e-03,3.701388e-03
200,layers.3.out_proj.log_select_temp,6.906562e-01,2.490997e-03,3.606711e-03
200,layers.3.residual_lut.weights,2.752493e+00,2.687728e+00,9.764707e-01
200,layers.3.residual_lut.log_soft_score_temp,6.911013e-01,2.045929e-03,2.960390e-03
200,layers.3.residual_lut.log_select_temp,6.921926e-01,9.545684e-04,1.379050e-03
200,layers.3.q_norm.weight,8.004523e+00,6.979719e-03,8.719718e-04
200,layers.3.q_norm.bias,4.880006e-03,4.880006e-03,1.000000e+00
200,layers.3.k_norm.weight,8.004360e+00,6.956744e-03,8.691193e-04
200,layers.3.k_norm.bias,8.387769e-03,8.387769e-03,1.000000e+00
200,layers.4.qk_lut.weights,1.630825e+00,1.549792e+00,9.503120e-01
200,layers.4.qk_lut.log_soft_score_temp,6.920431e-01,1.104057e-03,1.595358e-03
200,layers.4.qk_lut.log_select_temp,6.932562e-01,1.090169e-04,1.572534e-04
200,layers.4.v_lut.weights,1.420940e+00,1.325265e+00,9.326678e-01
200,layers.4.v_lut.log_soft_score_temp,6.948801e-01,1.732886e-03,2.493791e-03
200,layers.4.v_lut.log_select_temp,6.949518e-01,1.804590e-03,2.596713e-03
200,layers.4.out_proj.weights,2.133910e+00,2.078530e+00,9.740475e-01
200,layers.4.out_proj.log_soft_score_temp,6.910807e-01,2.066493e-03,2.990234e-03
200,layers.4.out_proj.log_select_temp,6.910994e-01,2.047777e-03,2.963072e-03
200,layers.4.residual_lut.weights,2.713223e+00,2.648264e+00,9.760584e-01
200,layers.4.residual_lut.log_soft_score_temp,6.902111e-01,2.936065e-03,4.253865e-03
200,layers.4.residual_lut.log_select_temp,6.909104e-01,2.236784e-03,3.237444e-03
200,layers.4.q_norm.weight,8.002400e+00,5.358160e-03,6.695690e-04
200,layers.4.q_norm.bias,4.397344e-03,4.397344e-03,1.000000e+00
200,layers.4.k_norm.weight,8.002376e+00,5.571594e-03,6.962424e-04
200,layers.4.k_norm.bias,6.274890e-03,6.274890e-03,1.000000e+00
200,layers.5.qk_lut.weights,1.610587e+00,1.529343e+00,9.495559e-01
200,layers.5.qk_lut.log_soft_score_temp,6.931753e-01,2.813339e-05,4.058626e-05
200,layers.5.qk_lut.log_select_temp,6.941965e-01,1.049340e-03,1.511589e-03
200,layers.5.v_lut.weights,1.493534e+00,1.402933e+00,9.393378e-01
200,layers.5.v_lut.log_soft_score_temp,6.947641e-01,1.616955e-03,2.327344e-03
200,layers.5.v_lut.log_select_temp,6.948028e-01,1.655638e-03,2.382889e-03
200,layers.5.out_proj.weights,2.504631e+00,2.454996e+00,9.801830e-01
200,layers.5.out_proj.log_soft_score_temp,6.917862e-01,1.361012e-03,1.967389e-03
200,layers.5.out_proj.log_select_temp,6.918107e-01,1.336515e-03,1.931909e-03
200,layers.5.residual_lut.weights,2.698276e+00,2.634674e+00,9.764287e-01
200,layers.5.residual_lut.log_soft_score_temp,6.897174e-01,3.429770e-03,4.972718e-03
200,layers.5.residual_lut.log_select_temp,6.902477e-01,2.899468e-03,4.200619e-03
200,layers.5.q_norm.weight,8.003277e+00,5.860521e-03,7.322651e-04
200,layers.5.q_norm.bias,3.486538e-03,3.486538e-03,1.000000e+00
200,layers.5.k_norm.weight,8.003407e+00,5.358121e-03,6.694800e-04
200,layers.5.k_norm.bias,5.066185e-03,5.066185e-03,1.000000e+00
200,ln_final.weight,1.974441e+01,1.485060e-01,7.521418e-03
200,ln_final.bias,1.447788e-01,1.447788e-01,1.000000e+00
400,tok_emb_E.weight,7.246012e+01,1.635628e+00,2.257280e-02
