step,param_name,weight_norm,delta_norm,rel_delta
200,tok_emb_E.weight,7.239213e+01,6.576745e-01,9.084890e-03
200,unembedder.weight,1.053911e+02,1.554002e+01,1.474509e-01
200,layers.0.qk_lut.weights,1.653293e+00,1.572135e+00,9.509113e-01
200,layers.0.qk_lut.log_soft_score_temp,6.976537e-01,4.506528e-03,6.459549e-03
200,layers.0.qk_lut.log_select_temp,6.971082e-01,3.961027e-03,5.682083e-03
200,layers.0.v_lut.weights,1.473315e+00,1.377460e+00,9.349392e-01
200,layers.0.v_lut.log_soft_score_temp,6.971372e-01,3.990054e-03,5.723484e-03
200,layers.0.v_lut.log_select_temp,6.970556e-01,3.908396e-03,5.607007e-03
200,layers.0.out_proj.weights,1.854463e+00,1.792457e+00,9.665639e-01
200,layers.0.out_proj.log_soft_score_temp,6.941317e-01,9.845495e-04,1.418390e-03
200,layers.0.out_proj.log_select_temp,6.944959e-01,1.348734e-03,1.942033e-03
200,layers.0.residual_lut.weights,3.326486e+00,3.254104e+00,9.782407e-01
200,layers.0.residual_lut.log_soft_score_temp,6.989008e-01,5.753577e-03,8.232323e-03
200,layers.0.residual_lut.log_select_temp,6.990223e-01,5.875111e-03,8.404754e-03
200,layers.0.q_norm.weight,8.021844e+00,2.372716e-02,2.957818e-03
200,layers.0.q_norm.bias,1.282984e-02,1.282984e-02,1.000000e+00
200,layers.0.k_norm.weight,8.021619e+00,2.342172e-02,2.919824e-03
200,layers.0.k_norm.bias,1.449128e-02,1.449128e-02,1.000000e+00
200,layers.1.qk_lut.weights,1.686934e+00,1.614822e+00,9.572524e-01
200,layers.1.qk_lut.log_soft_score_temp,6.907505e-01,2.396703e-03,3.469708e-03
200,layers.1.qk_lut.log_select_temp,6.927919e-01,3.553033e-04,5.128572e-04
200,layers.1.v_lut.weights,1.464887e+00,1.372253e+00,9.367639e-01
200,layers.1.v_lut.log_soft_score_temp,6.953259e-01,2.178729e-03,3.133392e-03
200,layers.1.v_lut.log_select_temp,6.952657e-01,2.118528e-03,3.047077e-03
200,layers.1.out_proj.weights,1.832579e+00,1.769062e+00,9.653401e-01
200,layers.1.out_proj.log_soft_score_temp,6.926374e-01,5.097985e-04,7.360251e-04
200,layers.1.out_proj.log_select_temp,6.927474e-01,3.998280e-04,5.771627e-04
200,layers.1.residual_lut.weights,3.203468e+00,3.128311e+00,9.765390e-01
200,layers.1.residual_lut.log_soft_score_temp,6.977781e-01,4.630923e-03,6.636670e-03
200,layers.1.residual_lut.log_select_temp,6.980097e-01,4.862487e-03,6.966218e-03
200,layers.1.q_norm.weight,8.017173e+00,2.114929e-02,2.637998e-03
200,layers.1.q_norm.bias,1.364918e-02,1.364918e-02,1.000000e+00
200,layers.1.k_norm.weight,8.017125e+00,2.108046e-02,2.629429e-03
200,layers.1.k_norm.bias,1.744717e-02,1.744717e-02,1.000000e+00
200,layers.2.qk_lut.weights,1.639192e+00,1.564446e+00,9.544010e-01
200,layers.2.qk_lut.log_soft_score_temp,6.906547e-01,2.492487e-03,3.608876e-03
200,layers.2.qk_lut.log_select_temp,6.932428e-01,9.566545e-05,1.379970e-04
200,layers.2.v_lut.weights,1.504653e+00,1.413494e+00,9.394150e-01
200,layers.2.v_lut.log_soft_score_temp,6.966361e-01,3.488958e-03,5.008293e-03
200,layers.2.v_lut.log_select_temp,6.966595e-01,3.512323e-03,5.041664e-03
