step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498336,0.498419,0.498530,0.498570,0.501243,0.501005,0.496737,0.496639,0.500947,0.500004,0.499096,0.499121,0.501414,0.501379,0.497817,0.497257,0.500716,0.500080,0.499191,0.499234,0.501207,0.501185,0.499788,0.498676,0.500805,0.499853,0.498976,0.498999,0.500816,0.500789,0.500674,0.500077,0.500656,0.499741,0.499255,0.499256,0.500946,0.500934,0.501228,0.500846,0.499639,0.499180,0.498504,0.498505,0.500466,0.500452,0.501579,0.501319
400,0.498443,0.499482,0.488550,0.488683,0.492480,0.491441,0.488002,0.487122,0.511706,0.510045,0.495803,0.494751,0.504026,0.502520,0.496027,0.490989,0.510566,0.509110,0.497678,0.497064,0.504864,0.504418,0.504462,0.499720,0.508363,0.505716,0.497099,0.497036,0.503828,0.503561,0.506668,0.504425,0.504721,0.502499,0.498045,0.497926,0.502814,0.502697,0.508519,0.507122,0.500178,0.498885,0.497648,0.497632,0.501233,0.501093,0.510627,0.509465
600,0.503253,0.506825,0.471785,0.472495,0.475816,0.474618,0.479716,0.475795,0.530249,0.527159,0.488801,0.484774,0.501106,0.496588,0.494012,0.483276,0.527791,0.524205,0.491473,0.489193,0.507308,0.504930,0.507260,0.496949,0.522030,0.516121,0.491817,0.491238,0.509812,0.508622,0.511536,0.505775,0.516928,0.511954,0.491936,0.491693,0.505508,0.504717,0.514840,0.510813,0.503857,0.500307,0.494796,0.494642,0.502388,0.501479,0.520877,0.517089
800,0.513092,0.519233,0.450476,0.452168,0.454565,0.452723,0.476280,0.465741,0.556682,0.551327,0.482186,0.471040,0.499669,0.489344,0.493658,0.472784,0.551904,0.543154,0.482760,0.476392,0.508627,0.502205,0.512458,0.491853,0.543975,0.532804,0.482113,0.480685,0.517216,0.513912,0.518053,0.504019,0.534975,0.525907,0.482762,0.481668,0.508216,0.505716,0.521712,0.511057,0.512250,0.505214,0.491278,0.490816,0.504721,0.502598,0.532261,0.523213
1000,0.523835,0.532308,0.428554,0.431390,0.436488,0.431407,0.479357,0.458159,0.587983,0.578671,0.480339,0.458057,0.502567,0.481921,0.499302,0.464053,0.580588,0.563546,0.474036,0.461881,0.510544,0.498215,0.519967,0.485666,0.567823,0.548243,0.472086,0.468841,0.527400,0.520416,0.527787,0.500720,0.556119,0.540760,0.471068,0.468841,0.510358,0.504744,0.529636,0.508314,0.526560,0.515490,0.487430,0.486719,0.509861,0.505563,0.543144,0.526949
1200,0.532630,0.543531,0.410155,0.414035,0.432698,0.416418,0.487860,0.455210,0.617860,0.600902,0.485182,0.448936,0.511773,0.477307,0.507338,0.457008,0.608319,0.579031,0.469381,0.449800,0.511515,0.490864,0.528334,0.478999,0.591031,0.560011,0.462280,0.456418,0.536047,0.524306,0.535766,0.494500,0.574424,0.551119,0.460810,0.457118,0.513966,0.504320,0.535440,0.502281,0.538916,0.522030,0.483842,0.482841,0.516873,0.509273,0.552020,0.527511
1400,0.541387,0.554024,0.396441,0.400830,0.442022,0.410226,0.497103,0.452098,0.646563,0.619249,0.493455,0.442376,0.525173,0.476606,0.520872,0.452571,0.635521,0.589284,0.466461,0.437605,0.512659,0.483278,0.539246,0.472274,0.614538,0.569670,0.454040,0.444254,0.542671,0.525535,0.543767,0.488025,0.592466,0.560149,0.449516,0.444080,0.512850,0.498451,0.539641,0.494407,0.551952,0.527790,0.479202,0.477791,0.522719,0.511815,0.560445,0.526164
1600,0.546970,0.561302,0.385661,0.389376,0.458975,0.409867,0.506081,0.448016,0.674460,0.634871,0.502823,0.437193,0.540119,0.475084,0.533726,0.448120,0.659291,0.593604,0.467713,0.427973,0.515867,0.476543,0.549626,0.466123,0.634294,0.574566,0.445756,0.431988,0.547217,0.523733,0.553290,0.481986,0.610302,0.566766,0.440272,0.432404,0.514533,0.494314,0.546948,0.486883,0.564742,0.532507,0.474974,0.473509,0.527513,0.513854,0.567558,0.522767
1800,0.552049,0.567728,0.380287,0.381831,0.477755,0.413078,0.515264,0.443507,0.697925,0.643204,0.514282,0.434231,0.556632,0.475886,0.546628,0.444146,0.681891,0.596991,0.469262,0.418933,0.519127,0.469138,0.559898,0.460224,0.653889,0.578313,0.437677,0.420075,0.550308,0.519832,0.561278,0.474757,0.627400,0.572048,0.431807,0.421187,0.515851,0.489420,0.553453,0.479284,0.577583,0.534786,0.470214,0.468506,0.531156,0.513843,0.572831,0.518053
2000,0.556548,0.573022,0.376378,0.374976,0.496645,0.415559,0.521734,0.437399,0.720069,0.650414,0.525498,0.432006,0.574316,0.476868,0.557194,0.439089,0.702930,0.595077,0.473583,0.411919,0.523828,0.462851,0.570122,0.454105,0.670717,0.577483,0.433634,0.410815,0.552499,0.515448,0.569619,0.468581,0.640862,0.574650,0.424857,0.410050,0.518100,0.484498,0.559059,0.470503,0.591477,0.538864,0.465724,0.463891,0.535616,0.515005,0.578577,0.513571
