step,L0.qk_lut.T_soft,L0.qk_lut.T_sel,L0.v_lut.T_soft,L0.v_lut.T_sel,L0.out_proj.T_soft,L0.out_proj.T_sel,L0.residual_lut.T_soft,L0.residual_lut.T_sel,L1.qk_lut.T_soft,L1.qk_lut.T_sel,L1.v_lut.T_soft,L1.v_lut.T_sel,L1.out_proj.T_soft,L1.out_proj.T_sel,L1.residual_lut.T_soft,L1.residual_lut.T_sel,L2.qk_lut.T_soft,L2.qk_lut.T_sel,L2.v_lut.T_soft,L2.v_lut.T_sel,L2.out_proj.T_soft,L2.out_proj.T_sel,L2.residual_lut.T_soft,L2.residual_lut.T_sel,L3.qk_lut.T_soft,L3.qk_lut.T_sel,L3.v_lut.T_soft,L3.v_lut.T_sel,L3.out_proj.T_soft,L3.out_proj.T_sel,L3.residual_lut.T_soft,L3.residual_lut.T_sel,L4.qk_lut.T_soft,L4.qk_lut.T_sel,L4.v_lut.T_soft,L4.v_lut.T_sel,L4.out_proj.T_soft,L4.out_proj.T_sel,L4.residual_lut.T_soft,L4.residual_lut.T_sel,L5.qk_lut.T_soft,L5.qk_lut.T_sel,L5.v_lut.T_soft,L5.v_lut.T_sel,L5.out_proj.T_soft,L5.out_proj.T_sel,L5.residual_lut.T_soft,L5.residual_lut.T_sel
0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
200,0.498429,0.498489,0.498690,0.498712,0.501357,0.501109,0.496856,0.496700,0.500679,0.499925,0.498959,0.498993,0.501309,0.501259,0.498398,0.497398,0.501242,0.500702,0.498778,0.498770,0.501320,0.501300,0.500614,0.499416,0.500147,0.499789,0.499287,0.499299,0.501026,0.501012,0.501355,0.500817,0.500090,0.499770,0.499060,0.499011,0.500835,0.500819,0.501694,0.501343,0.499608,0.498968,0.499060,0.499071,0.500333,0.500324,0.501984,0.501731
400,0.499609,0.500632,0.489020,0.489149,0.495220,0.493569,0.489669,0.487901,0.511415,0.509717,0.496031,0.494523,0.505775,0.504536,0.502431,0.494266,0.512111,0.511228,0.495629,0.494930,0.503456,0.502534,0.506908,0.502365,0.505328,0.504686,0.500549,0.500364,0.506276,0.506186,0.509486,0.507430,0.506804,0.505758,0.498164,0.498178,0.503644,0.503506,0.510538,0.509211,0.501177,0.500059,0.498745,0.498943,0.501382,0.501315,0.511931,0.511325
600,0.505948,0.509092,0.472824,0.473545,0.479122,0.477210,0.485642,0.477734,0.529765,0.526195,0.490618,0.485436,0.506793,0.502268,0.509286,0.490998,0.530363,0.528151,0.488628,0.485124,0.499183,0.496509,0.510823,0.498049,0.517729,0.513904,0.496362,0.495786,0.515773,0.515001,0.516577,0.508697,0.520888,0.516382,0.493927,0.493866,0.507393,0.506616,0.520660,0.515014,0.505599,0.502549,0.495366,0.495688,0.502902,0.502481,0.524752,0.522147
800,0.517681,0.523014,0.451785,0.453323,0.458467,0.455714,0.486339,0.467914,0.555322,0.547081,0.482389,0.471109,0.508939,0.497696,0.520182,0.487691,0.556549,0.551888,0.479226,0.470236,0.492183,0.486476,0.518680,0.492164,0.539129,0.529122,0.487102,0.485559,0.530783,0.527742,0.526294,0.508049,0.540493,0.529731,0.484594,0.484378,0.512341,0.509933,0.531962,0.518531,0.515214,0.507888,0.492078,0.492395,0.506687,0.505162,0.536179,0.528916
1000,0.529235,0.536736,0.430538,0.432891,0.440954,0.434907,0.494434,0.460369,0.583545,0.567345,0.478312,0.455716,0.514450,0.493158,0.535288,0.485351,0.586209,0.575427,0.471551,0.453447,0.487213,0.476260,0.531271,0.485463,0.563372,0.542925,0.476301,0.473428,0.547325,0.540684,0.538704,0.505810,0.562949,0.542976,0.473898,0.473301,0.517184,0.511687,0.543428,0.517554,0.525827,0.513121,0.487160,0.487778,0.511650,0.508143,0.546575,0.532124
1200,0.539667,0.548968,0.413555,0.416644,0.436005,0.419917,0.502317,0.454718,0.610208,0.583139,0.478591,0.445198,0.524211,0.489030,0.549736,0.483021,0.615032,0.594578,0.472920,0.440318,0.486572,0.467004,0.543981,0.479646,0.586244,0.552821,0.467741,0.462724,0.559342,0.547675,0.550209,0.502001,0.584288,0.553247,0.464427,0.462962,0.521064,0.512062,0.553178,0.513614,0.538997,0.519789,0.482650,0.483327,0.517185,0.511149,0.554564,0.532332
1400,0.548824,0.560055,0.401940,0.404388,0.445850,0.414088,0.510742,0.448555,0.635718,0.595732,0.483814,0.436586,0.532585,0.482435,0.565361,0.480864,0.643173,0.608715,0.479229,0.429484,0.491473,0.460307,0.558571,0.474983,0.608991,0.560162,0.458430,0.451194,0.565684,0.548559,0.561799,0.497430,0.603577,0.560120,0.453106,0.450246,0.521009,0.507570,0.561051,0.507388,0.548542,0.522671,0.478059,0.479099,0.522425,0.513302,0.561621,0.530742
1600,0.556650,0.569447,0.395189,0.395557,0.461571,0.413388,0.518365,0.441023,0.660379,0.605726,0.492471,0.430786,0.545416,0.480297,0.581611,0.478264,0.669629,0.618039,0.488571,0.421836,0.500387,0.456497,0.573095,0.468999,0.628210,0.562571,0.449839,0.440230,0.568633,0.545233,0.573273,0.492398,0.621378,0.564112,0.442795,0.437841,0.521544,0.502906,0.568279,0.500673,0.559519,0.525278,0.473139,0.474254,0.525943,0.513954,0.568104,0.527808
1800,0.562011,0.576480,0.392128,0.389127,0.480517,0.415867,0.526817,0.434141,0.681580,0.611109,0.502765,0.425992,0.559106,0.478014,0.595241,0.474400,0.693631,0.621833,0.499388,0.415486,0.511223,0.454629,0.587617,0.464322,0.644965,0.561884,0.442734,0.430027,0.569381,0.540110,0.585077,0.487840,0.638380,0.565982,0.434234,0.426886,0.520907,0.496128,0.574540,0.492589,0.572519,0.528088,0.468541,0.469670,0.529471,0.513719,0.572677,0.523587
